seed,method,top_k,critical_found,critical_path_recall,notes
20260724,rerank_physical_stress,20,19,0.3220338983050847,rerank top-300 PIO candidates
20260724,rerank_physical_stress,50,28,0.4745762711864407,rerank top-300 PIO candidates
20260724,rerank_physical_stress,100,34,0.576271186440678,rerank top-300 PIO candidates
20260724,rerank_physical_stress,200,35,0.5932203389830508,rerank top-300 PIO candidates
20260724,LODF_yP,20,2,0.0338983050847457,physical-rule ranking baseline
20260724,LODF_yP,50,8,0.135593220338983,physical-rule ranking baseline
20260724,LODF_yP,100,14,0.2372881355932203,physical-rule ranking baseline
20260724,LODF_yP,200,22,0.3728813559322034,physical-rule ranking baseline
20260725,PIO_GCN,20,10,0.19230769230769232,baseline
20260725,PIO_GCN,50,16,0.3076923076923077,baseline
20260725,PIO_GCN,100,21,0.40384615384615385,baseline
20260725,PIO_GCN,200,24,0.46153846153846156,baseline
20260725,paper_GCN_path_prob_strong,20,8,0.15384615384615385,baseline
20260725,paper_GCN_path_prob_strong,50,12,0.23076923076923078,baseline
20260725,paper_GCN_path_prob_strong,100,16,0.3076923076923077,baseline
20260725,paper_GCN_path_prob_strong,200,28,0.5384615384615384,baseline
20260725,oracle,20,20,0.38461538461538464,baseline
20260725,oracle,50,50,0.9615384615384616,baseline
20260725,oracle,100,52,1.0,baseline
20260725,oracle,200,52,1.0,baseline
20260725,rerank_pio_dominant,20,14,0.2692307692307692,rerank top-300 PIO candidates
20260725,rerank_pio_dominant,50,19,0.36538461538461536,rerank top-300 PIO candidates
20260725,rerank_pio_dominant,100,23,0.4423076923076923,rerank top-300 PIO candidates
20260725,rerank_pio_dominant,200,26,0.5,rerank top-300 PIO candidates
20260725,rerank_balanced,20,16,0.3076923076923077,rerank top-300 PIO candidates
20260725,rerank_balanced,50,21,0.40384615384615385,rerank top-300 PIO candidates
20260725,rerank_balanced,100,24,0.46153846153846156,rerank top-300 PIO candidates
20260725,rerank_balanced,200,26,0.5,rerank top-300 PIO candidates
20260725,rerank_physical_stress,20,16,0.3076923076923077,rerank top-300 PIO candidates
20260725,rerank_physical_stress,50,24,0.46153846153846156,rerank top-300 PIO candidates
20260725,rerank_physical_stress,100,25,0.4807692307692308,rerank top-300 PIO candidates
20260725,rerank_physical_stress,200,27,0.5192307692307693,rerank top-300 PIO candidates
20260725,LODF_yP,20,2,0.0384615384615384,physical-rule ranking baseline
20260725,LODF_yP,50,6,0.1153846153846153,physical-rule ranking baseline
20260725,LODF_yP,100,10,0.1923076923076923,physical-rule ranking baseline
20260725,LODF_yP,200,16,0.3076923076923077,physical-rule ranking baseline
20260726,PIO_GCN,20,14,0.2153846153846154,baseline
20260726,PIO_GCN,50,23,0.35384615384615387,baseline
20260726,PIO_GCN,100,29,0.4461538461538462,baseline
20260726,PIO_GCN,200,37,0.5692307692307692,baseline
20260726,paper_GCN_path_prob_strong,20,12,0.18461538461538463,baseline
20260726,paper_GCN_path_prob_strong,50,16,0.24615384615384617,baseline
20260726,paper_GCN_path_prob_strong,100,25,0.38461538461538464,baseline
20260726,paper_GCN_path_prob_strong,200,38,0.5846153846153846,baseline
20260726,oracle,20,20,0.3076923076923077,baseline
20260726,oracle,50,50,0.7692307692307693,baseline
20260726,oracle,100,65,1.0,baseline
20260726,oracle,200,65,1.0,baseline
20260726,rerank_pio_dominant,20,16,0.24615384615384617,rerank top-300 PIO candidates
20260726,rerank_pio_dominant,50,26,0.4,rerank top-300 PIO candidates
20260726,rerank_pio_dominant,100,33,0.5076923076923077,rerank top-300 PIO candidates
20260726,rerank_pio_dominant,200,39,0.6,rerank top-300 PIO candidates
20260726,rerank_balanced,20,19,0.2923076923076923,rerank top-300 PIO candidates
20260726,rerank_balanced,50,26,0.4,rerank top-300 PIO candidates
20260726,rerank_balanced,100,36,0.5538461538461539,rerank top-300 PIO candidates
20260726,rerank_balanced,200,42,0.6461538461538462,rerank top-300 PIO candidates
20260726,rerank_physical_stress,20,17,0.26153846153846155,rerank top-300 PIO candidates
20260726,rerank_physical_stress,50,27,0.4153846153846154,rerank top-300 PIO candidates
20260726,rerank_physical_stress,100,36,0.5538461538461539,rerank top-300 PIO candidates
20260726,rerank_physical_stress,200,43,0.6615384615384615,rerank top-300 PIO candidates
20260726,LODF_yP,20,2,0.0307692307692307,physical-rule ranking baseline
20260726,LODF_yP,50,8,0.123076923076923,physical-rule ranking baseline
20260726,LODF_yP,100,14,0.2153846153846154,physical-rule ranking baseline
20260726,LODF_yP,200,24,0.3692307692307692,physical-rule ranking baseline
