epoch,train_loss,total_accuracy,hit_rate,cover_rate,precision,recall,f1,pr_auc,average_precision,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels
11,0.8018655508555949,0.7304261645193261,0.12919463087248323,0.7549019607843137,0.12919463087248323,0.7549019607843137,0.22063037249283668,0.32123381345760316,0.32123381345760316,0.6804511931918301,0.3167440192488283,0.36370717394300184,0.29534192269573833,0.06491575817641229,77,1397,519,25,2018,102
12,0.7728310397632441,0.8042616451932606,0.16780045351473924,0.7254901960784313,0.16780045351473924,0.7254901960784313,0.2725598526703499,0.3471839680427578,0.3471839680427578,0.6576731895803082,0.2726063715967431,0.38506681798356507,0.21853320118929634,0.049554013875123884,74,1549,367,28,2018,102
13,0.7468134731583045,0.7462834489593657,0.13780918727915195,0.7647058823529411,0.13780918727915195,0.7647058823529411,0.23353293413173656,0.3487451503160985,0.3487451503160985,0.7045083423590233,0.30975196802791194,0.3947563743311113,0.2804757185332012,0.0753221010901883,78,1428,488,24,2018,102
14,0.7213570177227034,0.8042616451932606,0.16930022573363432,0.7352941176470589,0.16930022573363432,0.7352941176470589,0.27522935779816515,0.3895496218065384,0.3895496218065384,0.6752736127670562,0.26263899843788824,0.412634614329168,0.2195242814667988,0.057482656095143705,75,1548,368,27,2018,102
15,0.6955161472404754,0.7616451932606542,0.14711359404096835,0.7745098039215687,0.14711359404096835,0.7745098039215687,0.24726134585289516,0.3942757318289283,0.3942757318289283,0.7137091461712878,0.2927408122477919,0.42096833392349586,0.26610505450941524,0.07482656095143707,79,1458,458,23,2018,102
16,0.6777224820382204,0.8315163528245788,0.19329896907216496,0.7352941176470589,0.19329896907216496,0.7352941176470589,0.3061224489795919,0.4329997912505569,0.4329997912505569,0.678503663359009,0.24456928639544376,0.4339343769635653,0.19226957383548068,0.058969276511397425,75,1603,313,27,2018,102
17,0.662953342521663,0.777998017839445,0.162109375,0.8137254901960784,0.162109375,0.8137254901960784,0.27035830618892503,0.43670078420124764,0.43670078420124764,0.725650758333002,0.282403057327364,0.443247701005638,0.2537165510406343,0.08424182358771061,83,1487,429,19,2018,102
18,0.6436353335453728,0.8364717542120912,0.20618556701030927,0.7843137254901961,0.20618556701030927,0.7843137254901961,0.32653061224489793,0.4503451829333088,0.4503451829333088,0.6953901648395877,0.2396911929988804,0.4556989718407073,0.19226957383548068,0.06095143706640238,80,1608,308,22,2018,102
19,0.6304656704687541,0.819623389494549,0.19248826291079812,0.803921568627451,0.19248826291079812,0.803921568627451,0.3106060606060606,0.45381179648775616,0.45381179648775616,0.7092629553403194,0.2481346964525172,0.4611282588878022,0.21110009910802774,0.07433102081268583,82,1572,344,20,2018,102
20,0.6175937367648049,0.8270564915758176,0.2009685230024213,0.8137254901960784,0.2009685230024213,0.8137254901960784,0.32233009708737864,0.4747698848439147,0.4747698848439147,0.7136281030503667,0.2413816215390656,0.4722464815113011,0.20465807730426164,0.06491575817641229,83,1586,330,19,2018,102
