sample_index,seed,split,sample_type,current_outage_labels,num_candidate_labels,num_positive_labels
86,20260705,train,S1,"L030,L032,L182",183,10
87,20260705,train,S1,L035,185,14
88,20260705,train,S1,L026,185,11
89,20260705,train,S1,L110,185,11
90,20260705,train,S1,L012,185,11
91,20260705,train,S1,L067,185,11
92,20260705,train,S1,"L137,L140",184,12
93,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L134,L140,L143,L155,L176",175,12
94,20260705,train,S1,"L093,L102",184,11
95,20260705,train,S1,L006,185,12
96,20260705,train,S1,L087,185,10
97,20260705,train,S1,L081,185,12
98,20260705,train,S1,L003,185,11
99,20260705,train,S1,L132,185,10
100,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L118,L134,L140,L143,L155,L156,L186",173,12
101,20260705,train,S1,L103,185,11
102,20260705,train,S1,"L023,L026,L030,L045",182,11
103,20260705,train,S1,L123,185,10
104,20260705,train,S1,L104,185,11
105,20260706,train,S0,,186,9
106,20260706,train,S1,L084,185,9
107,20260706,train,S1,L121,185,12
108,20260706,train,S1,L060,185,12
109,20260706,train,S1,L055,185,10
110,20260706,train,S1,L136,185,9
111,20260706,train,S1,"L030,L045,L046,L113,L134,L155,L156",179,10
112,20260706,train,S1,L085,185,8
113,20260706,train,S1,L101,185,9
114,20260706,train,S1,"L029,L030",184,10
115,20260706,train,S1,L014,185,9
116,20260706,train,S1,L011,185,9
117,20260706,train,S1,L173,185,13
118,20260706,train,S1,"L023,L026,L030,L045",182,9
119,20260706,train,S1,"L030,L116",184,8
120,20260706,train,S1,L171,185,12
121,20260706,train,S1,L092,185,10
122,20260706,train,S1,"L030,L096,L102,L104,L111",181,8
123,20260706,train,S1,L012,185,9
124,20260706,train,S1,L154,185,8
125,20260706,train,S1,L043,185,9
126,20260707,train,S0,,186,7
127,20260707,train,S1,L121,185,11
128,20260707,train,S1,"L076,L102",184,7
129,20260707,train,S1,"L087,L102",184,8
130,20260707,train,S1,"L067,L102",184,7
131,20260707,train,S1,L167,185,8
132,20260707,train,S1,"L102,L127",184,8
133,20260707,train,S1,L111,185,7
134,20260707,train,S1,"L095,L102",184,9
135,20260707,train,S1,"L018,L019,L025,L026,L030,L038,L039,L045,L102,L109,L110,L111,L113,L134,L155,L156,L178,L179",168,12
136,20260707,train,S1,L164,185,8
137,20260707,train,S1,L027,185,11
138,20260707,train,S1,"L132,L156",184,10
139,20260707,train,S1,L040,185,11
140,20260707,train,S1,L056,185,9
141,20260707,train,S1,"L150,L156",184,7
142,20260707,train,S1,L078,185,8
143,20260707,train,S1,"L130,L156",184,9
144,20260707,train,S1,L088,185,9
145,20260707,train,S1,"L142,L156",184,8
146,20260707,train,S1,"L018,L045,L102,L109,L110,L111,L113,L134,L155,L156,L176",175,10
147,20260708,test,S0,,186,9
148,20260708,test,S1,L170,185,7
149,20260708,test,S1,L083,185,8
150,20260708,test,S1,"L151,L156",184,9
151,20260708,test,S1,L179,185,8
152,20260708,test,S1,L030,185,7
153,20260708,test,S1,L079,185,8
154,20260708,test,S1,L115,185,8
155,20260708,test,S1,"L035,L182",184,10
156,20260708,test,S1,L169,185,8
157,20260708,test,S1,L019,185,8
158,20260708,test,S1,L065,185,8
159,20260708,test,S1,L160,185,10
160,20260708,test,S1,L114,185,8
161,20260708,test,S1,"L018,L019,L021,L045",182,11
162,20260708,test,S1,"L018,L019,L020,L036,L045,L046,L102,L109,L110,L111,L113,L134,L155,L156,L178,L179,L182",169,11
163,20260708,test,S1,"L018,L019,L020,L037,L045,L046,L102,L109,L110,L111,L113,L134,L155,L156,L178,L179,L182",169,10
164,20260708,test,S1,L080,185,10
165,20260708,test,S1,"L150,L156",184,8
166,20260708,test,S1,"L018,L029,L045",183,12
167,20260708,test,S1,L186,185,9
168,20260709,train,S0,,186,8
169,20260709,train,S1,"L137,L156",184,11
170,20260709,train,S1,L130,185,10
171,20260709,train,S1,L010,185,9
172,20260709,train,S1,L151,185,10
173,20260709,train,S1,L064,185,10
174,20260709,train,S1,L018,185,10
175,20260709,train,S1,L005,185,10
176,20260709,train,S1,L180,185,10
177,20260709,train,S1,L142,185,9
178,20260709,train,S1,L117,185,9
179,20260709,train,S1,"L030,L032",184,10
180,20260709,train,S1,L025,185,12
181,20260709,train,S1,"L030,L045,L046,L102,L113,L134,L156",179,10
182,20260709,train,S1,L043,185,10
183,20260709,train,S1,L144,185,10
184,20260709,train,S1,L140,185,9
185,20260709,train,S1,"L030,L045,L096,L102,L111",181,10
186,20260709,train,S1,L060,185,10
187,20260709,train,S1,"L030,L038,L045,L046,L102,L104,L110,L111,L113,L115,L134,L156,L178,L179,L182",171,12
188,20260709,train,S1,"L150,L156",184,9
189,20260710,validation,S0,,186,9
190,20260710,validation,S1,L075,185,9
191,20260710,validation,S1,L058,185,10
192,20260710,validation,S1,L093,185,8
193,20260710,validation,S1,"L018,L030,L045,L104,L113,L115,L134,L139,L140,L143,L155,L178,L179,L186",172,11
194,20260710,validation,S1,L186,185,9
195,20260710,validation,S1,"L030,L104,L105",183,8
196,20260710,validation,S1,"L155,L161",184,10
197,20260710,validation,S1,L070,185,10
198,20260710,validation,S1,L138,185,9
199,20260710,validation,S1,"L126,L155,L186",183,9
