scenario_id,initial_outages,initial_outage_type,initial_outage_order,chronic_index,load_scale,gen_scale,do_nothing_negative_return,best_negative_return,best_improvement,best_action,best_action_line,pf_failed,num_line_outages,load_shed_MW
19,18,N-1,1,969,1.1537622213363647,1.144697904586792,105.06011577988488,0.1,104.96011577988489,16,15,True,5,32.76684708595276
20,"10,12",common_bus_N-2,2,812,0.8710940480232239,1.0588315725326538,-0.0,-0.0,0.0,0,,False,2,0.0
21,"7,13",common_bus_N-2,2,10,0.9378674626350403,0.9588439464569092,100.0,100.0,0.0,0,,True,2,0.0
22,0,N-1,1,16,0.9803067445755005,0.9704387187957764,102.95544664514918,100.1,2.8554466451491862,2,1,True,4,0.0
23,"1,9",common_bus_N-2,2,1059,0.9595842361450195,1.0373347997665405,104.8770575499286,100.1,4.7770575499286,1,0,True,7,0.0
24,"11,18",common_bus_N-2,2,518,0.8731944561004639,1.0156975984573364,100.0,100.0,0.0,0,,True,2,5.326486182212829
25,"4,9",common_bus_N-2,2,1540,1.0765823125839233,0.9811170101165771,105.97219529022377,100.1,5.872195290223772,14,13,True,8,41.44841903448105
26,2,N-1,1,929,1.1163771152496338,0.956062376499176,106.8230128641651,100.1,6.723012864165099,14,13,True,8,18.040952682495117
27,"9,11",common_bus_N-2,2,1622,0.9102328419685364,0.8970938324928284,104.99095716382821,100.1,4.890957163828219,14,13,True,7,26.851868838071823
28,"8,16",common_bus_N-2,2,765,0.9900871515274048,1.0203508138656616,-0.0,-0.0,0.0,0,,False,2,0.0
29,"11,12",common_bus_N-2,2,1915,0.9392572045326233,0.9965989589691162,101.12822125828782,100.1,1.0282212582878287,14,13,True,3,32.4043735563755
30,11,N-1,1,1694,0.746529221534729,1.0572673082351685,-0.0,-0.0,0.0,0,,False,1,0.0
31,5,N-1,1,1419,0.7850341796875,1.0367796421051025,-0.0,-0.0,0.0,0,,False,1,0.0
32,"11,18",common_bus_N-2,2,1764,0.9741971492767334,1.1556346416473389,100.0,100.0,0.0,0,,True,2,5.942602610588073
33,1,N-1,1,1167,0.9096714854240417,1.0451463460922241,-0.0,-0.0,0.0,0,,False,1,0.0
34,"4,6",common_bus_N-2,2,1704,0.766674280166626,0.9093575477600098,-0.0,-0.0,0.0,0,,False,2,0.0
35,5,N-1,1,756,1.031290054321289,1.1195441484451294,-0.0,-0.0,0.0,0,,False,1,0.0
36,19,N-1,1,852,0.8987851738929749,1.0022695064544678,-0.0,-0.0,0.0,0,,False,1,0.0
37,"3,5",common_bus_N-2,2,1449,0.8267381191253662,0.9274436831474304,108.86142614027987,0.1,108.76142614027988,9,8,True,10,22.652624464035036
38,"2,3",common_bus_N-2,2,147,1.1808416843414307,0.98993980884552,103.96108154246336,100.1,3.861081542463367,2,1,True,6,12.24130578041077
39,"1,9",common_bus_N-2,2,1071,0.8694882988929749,1.1694544553756714,103.92105608476768,100.1,3.82105608476769,1,0,True,6,0.0
40,1,N-1,1,1356,0.8439089059829712,1.1736316680908203,105.97016591949085,100.1,5.870165919490859,1,0,True,5,0.0
41,0,N-1,1,513,0.935403048992157,1.0758899450302124,102.95544664514918,100.1,2.8554466451491862,2,1,True,4,0.0
42,8,N-1,1,1450,0.8136893510818481,0.9947353601455688,-0.0,-0.0,0.0,0,,False,1,0.0
43,0,N-1,1,1016,1.090595006942749,0.8466175198554993,103.92105608476768,100.1,3.82105608476769,2,1,True,5,0.0
44,"7,13",common_bus_N-2,2,1533,1.123239517211914,0.9767398834228516,100.0,100.0,0.0,0,,True,2,0.0
45,"3,8",common_bus_N-2,2,661,1.2598727941513062,0.9729523658752441,104.8770575499286,100.1,4.7770575499286,14,13,True,7,0.0
46,"6,9",common_bus_N-2,2,532,0.9120969772338867,0.9682214260101318,105.82354664157512,100.1,5.723546641575126,1,0,True,8,0.0
47,16,N-1,1,1439,0.8043987154960632,1.032936930656433,-0.0,-0.0,0.0,0,,False,1,0.0
48,"6,7",common_bus_N-2,2,97,1.195702314376831,0.8811305165290833,103.95435961382503,100.1,3.8543596138250393,1,0,True,6,10.313666653633106
49,"9,11",common_bus_N-2,2,760,1.0253416299819946,1.0969252586364746,104.8770575499286,100.1,4.7770575499286,14,13,True,7,0.0
50,"1,6",common_bus_N-2,2,808,0.848474383354187,0.9912871718406677,107.86142040951546,100.1,7.761420409515466,1,0,True,9,9.418065655231477
51,"3,4",common_bus_N-2,2,637,1.1992298364639282,0.9858830571174622,102.95544664514918,100.1,2.8554466451491862,1,0,True,5,0.0
52,"18,19",common_bus_N-2,2,1596,1.015506386756897,0.9976686835289001,-0.0,-0.0,0.0,0,,False,2,0.0
53,"10,12",common_bus_N-2,2,159,1.1469807624816895,1.083871603012085,110.96386482602769,100.1,10.863864826027694,14,13,True,12,87.74402832984924
54,"16,19",common_bus_N-2,2,1353,0.83614182472229,1.109630823135376,100.0,100.0,0.0,0,,True,2,12.458513188362122
55,"1,6",common_bus_N-2,2,1156,0.8664811849594116,0.9275153875350952,104.95046327023238,100.1,4.850463270232382,1,0,True,6,0.0
56,"7,14",common_bus_N-2,2,1733,0.8663966059684753,1.0480602979660034,100.0,100.0,0.0,0,,True,2,0.0
57,"15,16",common_bus_N-2,2,1804,1.0471974611282349,1.0718952417373657,101.98013266932448,0.1,101.88013266932448,5,4,True,4,0.0
58,"6,9",common_bus_N-2,2,1421,0.7835744619369507,0.9872149229049683,102.95544664514918,100.1,2.8554466451491862,14,13,True,5,0.0
59,"11,12",common_bus_N-2,2,1546,1.0572782754898071,1.1166061162948608,103.08865127835381,100.1,2.9886512783538137,14,13,True,5,36.476100504398346
60,"7,14",common_bus_N-2,2,1149,0.8569464683532715,0.9778178334236145,100.0,100.0,0.0,0,,True,2,0.0
61,"8,14",common_bus_N-2,2,2009,0.9007729887962341,1.031672716140747,103.9345695982812,100.1,3.834569598281206,8,7,True,6,3.1527054607868195
62,"1,6",common_bus_N-2,2,1908,0.9491145014762878,0.9704237580299377,-0.0,-0.0,0.0,0,,False,2,0.0
63,"12,18",common_bus_N-2,2,1256,1.1464381217956543,0.8946281671524048,101.1046691347357,100.1,1.0046691347357068,14,13,True,3,32.55884265899658
64,8,N-1,1,1812,1.1442358493804932,1.2037513256072998,101.98013266932448,100.1,1.8801326693244818,14,13,True,3,0.0
65,"5,7",common_bus_N-2,2,1818,1.1123132705688477,1.080499529838562,102.95544664514918,100.1,2.8554466451491862,3,2,True,5,0.0
66,"8,15",common_bus_N-2,2,1795,1.0970855951309204,1.068925380706787,101.98013266932448,100.1,1.8801326693244818,14,13,True,4,0.0
67,"11,12",common_bus_N-2,2,1528,1.0544283390045166,0.9071642756462097,103.08865127835381,100.1,2.9886512783538137,14,13,True,5,36.37777769565582
68,"3,8",common_bus_N-2,2,97,1.195702314376831,0.8811305165290833,107.1077881870779,100.1,7.007788187077907,14,13,True,9,107.51405589580536
69,"1,4",common_bus_N-2,2,1283,1.0745242834091187,0.9023954272270203,102.95544664514918,100.1,2.8554466451491862,1,0,True,5,0.0
70,"0,1",common_bus_N-2,2,1028,1.0370984077453613,0.8514464497566223,100.0,100.0,0.0,0,,True,2,0.0
71,"2,3",common_bus_N-2,2,1540,1.0765823125839233,0.9811170101165771,104.88890095186123,100.1,4.788900951861237,7,6,True,7,3.302352833747861
72,"3,6",common_bus_N-2,2,826,0.8536897897720337,0.9746043682098389,104.89057106344211,100.1,4.7905710634421155,3,2,True,7,2.987914264202118
73,"8,15",common_bus_N-2,2,956,1.1715812683105469,0.9422303438186646,101.98013266932448,100.1,1.8801326693244818,14,13,True,4,0.0
74,"12,19",common_bus_N-2,2,394,1.2563092708587646,0.8512576818466187,103.03112232082485,100.1,2.931122320824855,14,13,True,5,24.623661708831786
75,4,N-1,1,100,1.1953749656677246,1.0886414051055908,107.88858333615548,100.1,7.788583336155483,14,13,True,8,3.7401812553405733
76,"14,16",common_bus_N-2,2,1905,0.9457692503929138,0.9090006351470947,109.09904610626639,100.1,8.999046106266391,8,7,True,10,72.3513476550579
77,"4,6",common_bus_N-2,2,704,1.2190965414047241,1.0486445426940918,102.95544664514918,100.1,2.8554466451491862,1,0,True,5,0.0
78,"0,4",common_bus_N-2,2,1217,1.0585684776306152,0.9885810017585754,103.95039971411131,100.1,3.850399714111319,2,1,True,6,8.045120429992675
79,"7,13",common_bus_N-2,2,32,1.0236585140228271,0.9941830635070801,100.0,100.0,0.0,0,,True,2,0.0
80,"5,6",common_bus_N-2,2,1683,0.7464935779571533,1.0414464473724365,-0.0,-0.0,0.0,0,,False,2,0.0
81,16,N-1,1,821,0.8547070026397705,1.0366754531860352,-0.0,-0.0,0.0,0,,False,1,0.0
82,"0,2",common_bus_N-2,2,847,0.8494371175765991,0.9688622951507568,102.95544664514918,100.1,2.8554466451491862,2,1,True,5,0.0
83,"8,15",common_bus_N-2,2,464,1.101873517036438,0.8450368046760559,101.98013266932448,100.1,1.8801326693244818,14,13,True,4,0.0
84,"5,8",common_bus_N-2,2,156,1.1326639652252197,1.0761469602584839,101.98013266932448,100.1,1.8801326693244818,3,2,True,4,0.0
85,"3,7",common_bus_N-2,2,568,0.9319664239883423,0.9660317301750183,108.85194185916214,100.1,8.751941859162145,14,13,True,10,11.649580299854279
86,"0,3",common_bus_N-2,2,1510,1.044352412223816,1.0671693086624146,102.95544664514918,100.1,2.8554466451491862,2,1,True,5,0.0
87,"9,11",common_bus_N-2,2,1863,1.0737890005111694,1.105629563331604,105.93744625547474,100.1,5.837446255474745,14,13,True,8,31.6767755150795
88,"1,6",common_bus_N-2,2,372,1.2815512418746948,0.9411174058914185,102.95544664514918,100.1,2.8554466451491862,1,0,True,5,0.0
89,"0,2",common_bus_N-2,2,266,0.8701493740081787,1.005503535270691,102.95544664514918,100.1,2.8554466451491862,2,1,True,5,0.0
90,"12,19",common_bus_N-2,2,1956,0.8627386093139648,0.9901641011238098,-0.0,-0.0,0.0,0,,False,2,0.0
91,17,N-1,1,1347,0.8385999798774719,1.0572506189346313,-0.0,-0.0,0.0,0,,False,1,0.0
92,14,N-1,1,1756,0.9096870422363281,0.9714100360870361,105.9295862233644,100.1,5.829586223364402,8,7,True,6,3.1839046478271484
93,"8,15",common_bus_N-2,2,240,0.8506438136100769,0.8632306456565857,-0.0,-0.0,0.0,0,,False,2,0.0
94,"6,8",common_bus_N-2,2,166,1.114060640335083,1.1124401092529297,111.97701663969023,100.1,11.87701663969024,1,0,True,13,96.14343326091766
95,3,N-1,1,1667,0.7664573192596436,1.1034725904464722,-0.0,-0.0,0.0,0,,False,1,0.0
96,5,N-1,1,726,1.1698144674301147,1.0273349285125732,101.01964855465184,100.1,0.9196485546518431,14,13,True,2,7.463029980659485
97,"1,4",common_bus_N-2,2,1041,0.9861953258514404,1.0033767223358154,102.95544664514918,100.1,2.8554466451491862,1,0,True,5,0.0
98,"10,17",common_bus_N-2,2,740,1.1316784620285034,0.9961150884628296,100.0,100.0,0.0,0,,True,2,3.960874617099762
99,"1,9",common_bus_N-2,2,773,0.9984408617019653,0.9798105359077454,107.80226497523604,100.1,7.702264975236048,1,0,True,10,29.454005420207977
100,"9,12",common_bus_N-2,2,462,1.101702332496643,1.0346003770828247,105.93744625547474,100.1,5.837446255474745,14,13,True,8,32.50021880865097
101,"0,1",common_bus_N-2,2,658,1.2793697118759155,0.9653898477554321,100.0,100.0,0.0,0,,True,2,0.0
102,15,N-1,1,1799,1.0563340187072754,1.1309643983840942,-0.0,-0.0,0.0,0,,False,1,0.0
103,"10,11",common_bus_N-2,2,281,0.9317677021026611,0.9482012391090393,106.21143950521767,0.1,106.11143950521767,5,4,True,7,71.28022921085358
104,"12,18",common_bus_N-2,2,1957,0.8178005218505859,1.1602017879486084,101.1046691347357,100.1,1.0046691347357068,14,13,True,3,23.22553482055664
105,5,N-1,1,859,0.9221050143241882,0.9740338921546936,-0.0,-0.0,0.0,0,,False,1,0.0
106,3,N-1,1,1324,0.9460721611976624,0.9211009740829468,107.83207678017183,0.1,107.73207678017184,6,5,True,8,3.3112525641918182
107,"7,13",common_bus_N-2,2,299,0.9738112688064575,0.9988391399383545,100.0,100.0,0.0,0,,True,2,0.0
108,"0,3",common_bus_N-2,2,1395,0.7240285277366638,1.25,101.98013266932448,100.1,1.8801326693244818,2,1,True,4,0.0
109,"5,6",common_bus_N-2,2,1641,0.8312221169471741,0.9435737133026123,-0.0,-0.0,0.0,0,,False,2,0.0
110,9,N-1,1,369,1.2897690534591675,0.989523708820343,109.67842035856621,100.1,9.57842035856622,1,0,True,11,54.170300245285034
111,"11,18",common_bus_N-2,2,1011,1.150207757949829,1.0351742506027222,100.0,100.0,0.0,0,,True,2,7.016267323493957
112,"2,5",common_bus_N-2,2,1869,1.0593581199645996,1.060583233833313,100.0,100.0,0.0,0,,True,2,0.0
113,"13,14",common_bus_N-2,2,625,1.1460816860198975,1.056533694267273,100.0,100.0,0.0,0,,True,2,0.0
114,"10,11",common_bus_N-2,2,184,1.0015182495117188,0.9649069309234619,106.21143950521767,0.1,106.11143950521767,5,4,True,7,76.61614608764648
115,"8,14",common_bus_N-2,2,301,1.0174009799957275,1.1142818927764893,103.9345695982812,100.1,3.834569598281206,8,7,True,6,3.5609034299850464
116,15,N-1,1,1811,1.1081712245941162,0.9249861836433411,-0.0,-0.0,0.0,0,,False,1,0.0
117,"9,11",common_bus_N-2,2,540,0.882165253162384,0.9850046038627625,104.99095716382821,100.1,4.890957163828219,14,13,True,7,26.02387496829033
118,3,N-1,1,997,1.1510529518127441,1.0731773376464844,103.92105608476768,100.1,3.82105608476769,14,13,True,5,0.0
119,"5,6",common_bus_N-2,2,1259,1.1468347311019897,1.0673354864120483,104.8814284288793,100.1,4.781428428879309,1,0,True,7,1.2982830286025973
120,"1,9",common_bus_N-2,2,1310,0.964120090007782,0.9838278889656067,108.75553012152582,100.1,8.655530121525828,1,0,True,11,37.118623465299606
121,"18,19",common_bus_N-2,2,456,1.1062037944793701,0.9073981046676636,-0.0,-0.0,0.0,0,,False,2,0.0
122,13,N-1,1,1760,0.9811785817146301,0.9446844458580017,100.0,100.0,0.0,0,,True,1,0.0
123,"15,16",common_bus_N-2,2,284,0.9506692886352539,1.081951379776001,-0.0,-0.0,0.0,0,,False,2,0.0
124,5,N-1,1,1535,1.091231346130371,1.0508137941360474,-0.0,-0.0,0.0,0,,False,1,0.0
125,"6,8",common_bus_N-2,2,549,0.8657208681106567,1.0125715732574463,-0.0,-0.0,0.0,0,,False,2,0.0
126,"5,7",common_bus_N-2,2,422,1.2225359678268433,0.9843705892562866,104.92988093753253,100.1,4.829880937532536,14,13,True,7,16.725829243659973
127,"13,14",common_bus_N-2,2,440,1.2089000940322876,1.0684622526168823,100.0,100.0,0.0,0,,True,2,0.0
128,19,N-1,1,252,0.8487054109573364,1.0088975429534912,-0.0,-0.0,0.0,0,,False,1,0.0
129,"13,14",common_bus_N-2,2,1569,1.0624240636825562,0.958547830581665,100.0,100.0,0.0,0,,True,2,0.0
130,"7,13",common_bus_N-2,2,1616,0.9563680291175842,1.0326274633407593,100.0,100.0,0.0,0,,True,2,0.0
131,"12,19",common_bus_N-2,2,1730,0.8452004790306091,1.0329960584640503,-0.0,-0.0,0.0,0,,False,2,0.0
132,13,N-1,1,1540,1.0765823125839233,0.9811170101165771,100.0,100.0,0.0,0,,True,1,0.0
133,"9,11",common_bus_N-2,2,123,1.1981439590454102,0.9908793568611145,106.90926665805382,100.1,6.809266658053829,14,13,True,9,46.12854242324829
134,"15,16",common_bus_N-2,2,916,1.0796785354614258,1.0038936138153076,101.98013266932448,100.1,1.8801326693244818,10,9,True,4,0.0
135,3,N-1,1,912,1.098281979560852,1.0393102169036865,108.81719282441311,100.1,8.717192824413118,14,13,True,9,3.843986928462982
136,"1,4",common_bus_N-2,2,991,1.174997091293335,1.128631830215454,102.95544664514918,100.1,2.8554466451491862,1,0,True,5,0.0
137,"6,9",common_bus_N-2,2,1664,0.797984778881073,0.9764906764030457,104.8770575499286,100.1,4.7770575499286,14,13,True,7,0.0
138,6,N-1,1,1431,0.7974621057510376,0.9468720555305481,-0.0,-0.0,0.0,0,,False,1,0.0
139,"3,7",common_bus_N-2,2,1284,1.0858652591705322,0.9371393918991089,105.85289027091875,100.1,5.752890270918755,14,13,True,8,8.252575969696045
140,"6,8",common_bus_N-2,2,165,1.0613220930099487,0.933975100517273,108.14095284772291,100.1,8.04095284772292,14,13,True,9,88.61922889947891
141,"9,11",common_bus_N-2,2,466,1.0879045724868774,1.116381287574768,105.93744625547474,100.1,5.837446255474745,14,13,True,8,32.093184888362885
142,"14,16",common_bus_N-2,2,51,1.0560909509658813,0.979896068572998,109.09904610626639,100.1,8.999046106266391,8,7,True,10,80.79095774888992
143,"2,3",common_bus_N-2,2,1904,0.9583234786987305,0.9979668259620667,103.92105608476768,100.1,3.82105608476769,6,5,True,6,0.0
144,"2,5",common_bus_N-2,2,1651,0.8119759559631348,0.9191039800643921,100.0,100.0,0.0,0,,True,2,0.0
145,"3,5",common_bus_N-2,2,84,1.2078478336334229,1.0722895860671997,103.94199478346384,100.1,3.8419947834638464,14,13,True,6,6.550307321548459
146,"15,17",common_bus_N-2,2,1896,0.993648111820221,0.9645316004753113,100.0,100.0,0.0,0,,True,2,8.942833006381989
147,12,N-1,1,1196,1.0220582485198975,1.0002063512802124,-0.0,-0.0,0.0,0,,False,1,0.0
148,"3,6",common_bus_N-2,2,1592,0.9919793605804443,1.0459554195404053,105.83706015508864,100.1,5.737060155088642,3,2,True,8,3.471927762031555
149,3,N-1,1,1733,0.8663966059684753,1.0480602979660034,107.85719021925307,100.1,7.757190219253076,14,13,True,8,0.0
150,"2,4",common_bus_N-2,2,228,0.9071699976921082,0.9365076422691345,102.95544664514918,100.1,2.8554466451491862,6,5,True,5,0.0
151,"15,16",common_bus_N-2,2,206,0.9457024335861206,0.9627801179885864,100.9950166250832,100.1,0.8950166250832012,10,9,True,3,0.0
152,"6,7",common_bus_N-2,2,221,0.9088091254234314,1.0579614639282227,106.01486867786568,0.1,105.91486867786568,6,5,True,7,23.254749417304993
153,"0,4",common_bus_N-2,2,521,0.9051382541656494,0.9782193303108215,102.95544664514918,100.1,2.8554466451491862,2,1,True,5,0.0
154,"18,19",common_bus_N-2,2,1056,0.9045149683952332,0.9784230589866638,-0.0,-0.0,0.0,0,,False,2,0.0
155,"5,8",common_bus_N-2,2,1916,0.9732741117477417,1.0935994386672974,107.09176529470291,0.1,106.99176529470292,11,10,True,8,55.3792969584465
156,"15,16",common_bus_N-2,2,1278,1.0837208032608032,0.8933243155479431,105.083667903437,100.1,4.983667903437009,10,9,True,6,37.38836771249771
157,1,N-1,1,1583,1.038562297821045,1.0244439840316772,105.91607270985088,100.1,5.816072709850886,1,0,True,6,0.0
158,"3,4",common_bus_N-2,2,74,1.1326537132263184,0.9713066220283508,103.92105608476768,100.1,3.82105608476769,3,2,True,6,0.0
159,"11,12",common_bus_N-2,2,822,0.8599629998207092,0.9785169363021851,101.12822125828782,100.1,1.0282212582878287,14,13,True,3,29.66872349381447
160,"9,11",common_bus_N-2,2,960,1.202815294265747,1.0603069067001343,107.85052752349858,100.1,7.75052752349859,14,13,True,10,50.51824235916138
161,"1,9",common_bus_N-2,2,869,0.9571573734283447,1.1108860969543457,106.79536704415422,100.1,6.695367044154224,1,0,True,9,8.614416360855103
162,"3,6",common_bus_N-2,2,633,1.1573773622512817,0.9243261814117432,105.8924120652779,100.1,5.792412065277901,1,0,True,8,20.64315015077591
163,"2,3",common_bus_N-2,2,990,1.166979432106018,0.8882518410682678,103.99088053765425,100.1,3.8908805376542546,5,4,True,6,21.104278397560122
164,"3,8",common_bus_N-2,2,1396,0.7726818323135376,0.9758315682411194,104.95046327023238,0.1,104.85046327023238,6,5,True,6,0.0
165,15,N-1,1,16,0.9803067445755005,0.9704387187957764,-0.0,-0.0,0.0,0,,False,1,0.0
166,"9,12",common_bus_N-2,2,1983,0.7978817224502563,0.9886881113052368,102.95544664514918,100.1,2.8554466451491862,14,13,True,5,0.0
167,5,N-1,1,1028,1.0370984077453613,0.8514464497566223,101.04173899467696,100.1,0.9417389946769674,14,13,True,2,12.550025033950803
168,"2,3",common_bus_N-2,2,1287,1.0616481304168701,0.8750707507133484,103.96651675792394,100.1,3.8665167579239466,7,6,True,6,12.500178813934326
169,18,N-1,1,331,1.1313672065734863,0.877303957939148,104.08480180406018,0.1,103.98480180406018,11,10,True,4,32.13082866668701
170,"8,16",common_bus_N-2,2,1281,1.0792852640151978,0.9100831151008606,110.96386482602769,100.1,10.863864826027694,14,13,True,12,82.56532269716263
171,"9,10",common_bus_N-2,2,1157,0.8440515398979187,1.157164216041565,105.09674866961971,100.1,4.99674866961972,14,13,True,7,48.026532620191574
172,"8,14",common_bus_N-2,2,1484,0.9437078833580017,1.0151419639587402,103.9345695982812,100.1,3.834569598281206,8,7,True,6,3.302977591753006
173,"14,16",common_bus_N-2,2,128,1.1777000427246094,0.8953607082366943,103.00051919322001,100.1,2.9005191932200205,8,7,True,5,13.748222923278803
174,"14,16",common_bus_N-2,2,548,0.9170563817024231,1.038902997970581,106.07823487201304,100.1,5.978234872013047,8,7,True,7,38.51636803150177
175,12,N-1,1,546,0.8983272314071655,1.0879380702972412,-0.0,-0.0,0.0,0,,False,1,0.0
176,7,N-1,1,552,0.8950700759887695,1.0497058629989624,104.95046327023238,0.1,104.85046327023238,7,6,True,5,0.0
177,8,N-1,1,1062,0.8974122405052185,0.9912442564964294,-0.0,-0.0,0.0,0,,False,1,0.0
178,"8,16",common_bus_N-2,2,1141,0.8405909538269043,1.0849498510360718,-0.0,-0.0,0.0,0,,False,2,0.0
179,"16,19",common_bus_N-2,2,1939,0.8489304184913635,1.0712580680847168,100.0,100.0,0.0,0,,True,2,12.649063235521316
180,"14,16",common_bus_N-2,2,1266,1.14292311668396,1.0361899137496948,101.98013266932448,100.1,1.8801326693244818,8,7,True,4,0.0
181,"7,13",common_bus_N-2,2,2008,0.8162672519683838,0.9017705321311951,100.0,100.0,0.0,0,,True,2,0.0
182,"15,17",common_bus_N-2,2,1134,0.7726748585700989,0.9717826247215271,100.0,100.0,0.0,0,,True,2,6.95407372713089
183,"12,18",common_bus_N-2,2,211,0.9133310914039612,1.0573676824569702,-0.0,-0.0,0.0,0,,False,2,0.0
184,0,N-1,1,95,1.1958285570144653,0.9942011833190918,103.92105608476768,100.1,3.82105608476769,2,1,True,5,0.0
185,7,N-1,1,1654,0.8122956156730652,1.0448814630508423,105.9295862233644,0.1,105.8295862233644,4,3,True,6,2.843034654855728
186,"12,18",common_bus_N-2,2,1371,0.7974680662155151,0.9799745678901672,101.1046691347357,100.1,1.0046691347357068,14,13,True,3,22.64809308052063
187,5,N-1,1,1801,1.0685688257217407,0.986992359161377,-0.0,-0.0,0.0,0,,False,1,0.0
188,"16,19",common_bus_N-2,2,1164,0.8723664879798889,1.030394196510315,100.0,100.0,0.0,0,,True,2,12.998260670900345
189,"10,17",common_bus_N-2,2,1432,0.7891136407852173,0.8559601902961731,100.0,100.0,0.0,0,,True,2,2.7618977427482605
190,"15,17",common_bus_N-2,2,1503,1.0392848253250122,1.115281343460083,100.0,100.0,0.0,0,,True,2,9.35356342792511
191,"0,4",common_bus_N-2,2,1576,1.0581480264663696,0.967424750328064,103.95039971411131,100.1,3.850399714111319,2,1,True,6,8.041925001144408
192,9,N-1,1,1515,1.0372694730758667,0.9050804376602173,105.85829567632416,100.1,5.758295676324167,14,13,True,7,9.3354252576828
193,"3,8",common_bus_N-2,2,618,1.1373872756958008,1.0031501054763794,103.92105608476768,100.1,3.82105608476769,14,13,True,6,0.0
194,"16,19",common_bus_N-2,2,1059,0.9595842361450195,1.0373347997665405,100.0,100.0,0.0,0,,True,2,14.297805118560792
195,"1,4",common_bus_N-2,2,72,1.1706146001815796,1.0009948015213013,102.95544664514918,100.1,2.8554466451491862,1,0,True,5,0.0
196,"12,19",common_bus_N-2,2,901,1.0618470907211304,1.05545973777771,101.07069230075886,100.1,0.9706923007588699,14,13,True,3,20.812202978134156
197,"1,6",common_bus_N-2,2,1095,0.849143922328949,1.009649634361267,106.90141780435542,100.1,6.801417804355424,1,0,True,8,6.453493809700012
198,"10,17",common_bus_N-2,2,1494,0.9893352389335632,1.1075149774551392,100.0,100.0,0.0,0,,True,2,3.4626733362674713
199,15,N-1,1,1066,0.9075133204460144,0.9316777586936951,-0.0,-0.0,0.0,0,,False,1,0.0
200,"3,5",common_bus_N-2,2,1947,0.8001322150230408,0.9611524939537048,-0.0,-0.0,0.0,0,,False,2,0.0
201,"0,2",common_bus_N-2,2,1609,0.9295580387115479,0.8997071385383606,102.95544664514918,100.1,2.8554466451491862,2,1,True,5,0.0
202,15,N-1,1,729,1.1400291919708252,1.0435445308685303,-0.0,-0.0,0.0,0,,False,1,0.0
203,"12,19",common_bus_N-2,2,1168,0.894485592842102,1.1386818885803223,-0.0,-0.0,0.0,0,,False,2,0.0
204,"10,11",common_bus_N-2,2,1329,0.9324966669082642,0.9287049174308777,106.21143950521767,0.1,106.11143950521767,5,4,True,7,71.33599501848221
