candidate_evaluations,critical_paths_found,relay_cascade_paths_found,captured_load_shed_mw,critical_recall,relay_cascade_recall,query_precision
53,18,2,642.834400065664,0.00964630225080386,0.0011587485515643105,0.33962264150943394
54,19,2,663.8156421745873,0.010182207931404072,0.0011587485515643105,0.35185185185185186
55,20,2,684.7968842835106,0.010718113612004287,0.0011587485515643105,0.36363636363636365
56,21,2,702.1165233473187,0.011254019292604502,0.0011587485515643105,0.375
57,22,2,719.4361624111267,0.011789924973204717,0.0011587485515643105,0.38596491228070173
58,23,2,736.7558014749347,0.01232583065380493,0.0011587485515643105,0.39655172413793105
59,24,2,754.0754405387428,0.012861736334405145,0.0011587485515643105,0.4067796610169492
60,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.4166666666666667
61,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.4098360655737705
62,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.4032258064516129
63,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.3968253968253968
64,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.390625
65,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.38461538461538464
66,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.3787878787878788
67,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.373134328358209
68,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.36764705882352944
69,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.36231884057971014
70,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.35714285714285715
71,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.352112676056338
72,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.3472222222222222
73,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.3424657534246575
74,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.33783783783783783
75,25,2,771.3950796025508,0.01339764201500536,0.0011587485515643105,0.3333333333333333
76,26,3,802.9328890862953,0.013933547695605574,0.0017381228273464658,0.34210526315789475
77,27,4,834.4706985700398,0.014469453376205787,0.002317497103128621,0.35064935064935066
78,28,5,866.0085080537842,0.015005359056806002,0.0028968713789107765,0.358974358974359
79,29,5,897.5463175375287,0.015541264737406217,0.0028968713789107765,0.3670886075949367
80,30,6,929.0841270212732,0.01607717041800643,0.0034762456546929316,0.375
81,31,6,937.2481653264696,0.016613076098606645,0.0034762456546929316,0.38271604938271603
82,32,6,945.412203631666,0.01714898177920686,0.0034762456546929316,0.3902439024390244
83,33,6,953.5762419368624,0.017684887459807074,0.0034762456546929316,0.39759036144578314
84,34,6,961.7402802420588,0.01822079314040729,0.0034762456546929316,0.40476190476190477
85,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.4117647058823529
86,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.4069767441860465
87,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.40229885057471265
88,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.3977272727272727
89,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.39325842696629215
90,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.3888888888888889
91,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.38461538461538464
92,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.3804347826086957
93,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.3763440860215054
94,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.3723404255319149
95,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.3684210526315789
96,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.3645833333333333
97,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.36082474226804123
98,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.35714285714285715
99,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.35353535353535354
100,35,6,969.9043185472552,0.018756698821007504,0.0034762456546929316,0.35
101,36,6,990.2279710021314,0.01929260450160772,0.0034762456546929316,0.3564356435643564
102,37,6,1010.5516234570076,0.01982851018220793,0.0034762456546929316,0.3627450980392157
103,38,6,1030.8752759118838,0.020364415862808145,0.0034762456546929316,0.36893203883495146
104,39,6,1051.19892836676,0.02090032154340836,0.0034762456546929316,0.375
105,40,6,1071.522580821636,0.021436227224008574,0.0034762456546929316,0.38095238095238093
106,40,6,1071.522580821636,0.021436227224008574,0.0034762456546929316,0.37735849056603776
107,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.38317757009345793
108,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.37962962962962965
109,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.3761467889908257
110,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.37272727272727274
111,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.36936936936936937
112,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.36607142857142855
113,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.36283185840707965
114,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.35964912280701755
115,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.3565217391304348
116,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.35344827586206895
117,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.3504273504273504
118,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.3474576271186441
119,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.3445378151260504
120,41,6,1091.846233276512,0.02197213290460879,0.0034762456546929316,0.3416666666666667
121,42,6,1176.9743093704897,0.022508038585209004,0.0034762456546929316,0.34710743801652894
122,43,6,1262.1023854644673,0.02304394426580922,0.0034762456546929316,0.3524590163934426
123,44,6,1347.2304615584449,0.023579849946409433,0.0034762456546929316,0.35772357723577236
124,45,6,1432.3585376524225,0.024115755627009645,0.0034762456546929316,0.3629032258064516
125,46,6,1517.4866137464,0.02465166130760986,0.0034762456546929316,0.368
126,47,6,1538.5786727940863,0.025187566988210074,0.0034762456546929316,0.373015873015873
127,48,6,1559.6707318417725,0.02572347266881029,0.0034762456546929316,0.3779527559055118
128,49,6,1580.7627908894588,0.026259378349410504,0.0034762456546929316,0.3828125
129,50,6,1601.854849937145,0.02679528403001072,0.0034762456546929316,0.3875968992248062
130,51,6,1622.9469089848312,0.027331189710610933,0.0034762456546929316,0.3923076923076923
131,52,6,1668.864821775593,0.027867095391211148,0.0034762456546929316,0.3969465648854962
132,53,6,1714.782734566355,0.02840300107181136,0.0034762456546929316,0.4015151515151515
133,54,7,1760.7006473571168,0.028938906752411574,0.004055619930475087,0.40601503759398494
134,55,7,1806.6185601478787,0.02947481243301179,0.004055619930475087,0.41044776119402987
135,56,7,1852.5364729386406,0.030010718113612004,0.004055619930475087,0.4148148148148148
136,57,7,1898.4543857294025,0.03054662379421222,0.004055619930475087,0.41911764705882354
137,58,7,1944.3722985201643,0.031082529474812434,0.004055619930475087,0.4233576642335766
138,59,8,1990.2902113109262,0.03161843515541265,0.004634994206257242,0.427536231884058
139,60,9,2036.208124101688,0.03215434083601286,0.005214368482039398,0.4316546762589928
140,61,10,2082.12603689245,0.03269024651661308,0.005793742757821553,0.4357142857142857
141,62,10,2128.043949683212,0.03322615219721329,0.005793742757821553,0.4397163120567376
142,63,11,2173.9618624739737,0.03376205787781351,0.006373117033603708,0.44366197183098594
143,64,12,2219.8797752647356,0.03429796355841372,0.006952491309385863,0.44755244755244755
144,65,13,2265.7976880554975,0.03483386923901393,0.007531865585168019,0.4513888888888889
145,66,14,2311.7156008462593,0.03536977491961415,0.008111239860950173,0.45517241379310347
146,67,15,2357.633513637021,0.03590568060021436,0.00869061413673233,0.4589041095890411
147,68,16,2403.551426427783,0.03644158628081458,0.009269988412514484,0.46258503401360546
148,69,17,2449.469339218545,0.03697749196141479,0.009849362688296639,0.46621621621621623
149,70,18,2495.387252009307,0.03751339764201501,0.010428736964078795,0.4697986577181208
150,71,19,2541.3051648000687,0.03804930332261522,0.01100811123986095,0.47333333333333333
151,72,20,2587.2230775908306,0.03858520900321544,0.011587485515643106,0.4768211920529801
152,73,21,2633.1409903815925,0.03912111468381565,0.01216685979142526,0.48026315789473684
153,74,22,2679.0589031723543,0.03965702036441586,0.012746234067207415,0.48366013071895425
154,75,23,2724.976815963116,0.04019292604501608,0.013325608342989572,0.487012987012987
155,76,24,2770.894728753878,0.04072883172561629,0.013904982618771726,0.49032258064516127
156,77,25,2816.81264154464,0.04126473740621651,0.014484356894553883,0.4935897435897436
157,78,26,2862.730554335402,0.04180064308681672,0.015063731170336037,0.4968152866242038
158,79,27,2908.6484671261637,0.04233654876741694,0.015643105446118192,0.5
159,80,28,2954.5663799169256,0.04287245444801715,0.016222479721900347,0.5031446540880503
160,81,29,3000.4842927076875,0.04340836012861737,0.016801853997682505,0.50625
161,82,30,3046.4022054984493,0.04394426580921758,0.01738122827346466,0.5093167701863354
162,83,31,3092.320118289211,0.04448017148981779,0.017960602549246814,0.5123456790123457
163,84,32,3138.238031079973,0.04501607717041801,0.01853997682502897,0.5153374233128835
164,85,33,3184.155943870735,0.04555198285101822,0.019119351100811123,0.5182926829268293
165,86,34,3230.073856661497,0.04608788853161844,0.019698725376593278,0.5212121212121212
166,87,35,3275.9917694522587,0.04662379421221865,0.020278099652375436,0.5240963855421686
167,88,36,3321.9096822430206,0.04715969989281887,0.02085747392815759,0.5269461077844312
168,89,37,3367.8275950337825,0.04769560557341908,0.021436848203939745,0.5297619047619048
169,90,38,3413.7455078245443,0.04823151125401929,0.0220162224797219,0.5325443786982249
170,91,39,3459.663420615306,0.04876741693461951,0.022595596755504054,0.5352941176470588
171,92,40,3505.581333406068,0.04930332261521972,0.023174971031286212,0.5380116959064327
172,93,41,3551.49924619683,0.04983922829581994,0.023754345307068367,0.5406976744186046
173,94,42,3597.417158987592,0.05037513397642015,0.02433371958285052,0.5433526011560693
174,95,43,3643.3350717783537,0.05091103965702037,0.024913093858632676,0.5459770114942529
175,96,44,3689.2529845691156,0.05144694533762058,0.02549246813441483,0.5485714285714286
176,97,45,3735.1708973598775,0.051982851018220796,0.02607184241019699,0.5511363636363636
177,98,46,3781.0888101506393,0.05251875669882101,0.026651216685979143,0.5536723163841808
178,99,47,3827.006722941401,0.05305466237942122,0.027230590961761298,0.5561797752808989
179,100,48,3872.924635732163,0.05359056806002144,0.027809965237543453,0.5586592178770949
180,101,49,3918.842548522925,0.05412647374062165,0.028389339513325607,0.5611111111111111
181,102,50,3964.760461313687,0.05466237942122187,0.028968713789107765,0.56353591160221
182,103,51,4010.6783741044487,0.05519828510182208,0.02954808806488992,0.5659340659340659
183,104,52,4056.5962868952106,0.055734190782422297,0.030127462340672075,0.5683060109289617
184,105,53,4102.514199685973,0.05627009646302251,0.03070683661645423,0.5706521739130435
185,106,54,4148.432112476735,0.05680600214362272,0.031286210892236384,0.572972972972973
186,107,55,4194.350025267497,0.05734190782422294,0.03186558516801854,0.5752688172043011
187,108,56,4240.267938058259,0.05787781350482315,0.03244495944380069,0.5775401069518716
188,109,57,4286.18585084902,0.05841371918542337,0.03302433371958285,0.5797872340425532
189,110,58,4332.103763639782,0.05894962486602358,0.03360370799536501,0.582010582010582
190,111,59,4378.021676430544,0.0594855305466238,0.034183082271147164,0.5842105263157895
191,112,60,4423.939589221306,0.06002143622722401,0.03476245654692932,0.5863874345549738
192,113,61,4469.857502012068,0.060557341907824226,0.03534183082271147,0.5885416666666666
193,114,62,4515.77541480283,0.06109324758842444,0.03592120509849363,0.5906735751295337
194,115,63,4561.693327593592,0.06162915326902465,0.03650057937427578,0.5927835051546392
195,116,64,4607.611240384354,0.06216505894962487,0.03707995365005794,0.5948717948717949
196,117,65,4653.529153175115,0.06270096463022508,0.03765932792584009,0.5969387755102041
197,118,66,4699.447065965877,0.0632368703108253,0.038238702201622246,0.5989847715736041
198,119,67,4745.364978756639,0.06377277599142551,0.0388180764774044,0.601010101010101
199,120,68,4791.282891547401,0.06430868167202572,0.039397450753186555,0.6030150753768844
200,121,69,4837.200804338163,0.06484458735262594,0.03997682502896872,0.605
201,122,70,4883.118717128925,0.06538049303322616,0.04055619930475087,0.6069651741293532
202,123,71,4929.036629919687,0.06591639871382636,0.041135573580533026,0.6089108910891089
203,124,72,4974.954542710449,0.06645230439442658,0.04171494785631518,0.6108374384236454
204,125,73,5020.87245550121,0.0669882100750268,0.042294322132097335,0.6127450980392157
205,126,74,5066.790368291972,0.06752411575562701,0.04287369640787949,0.6146341463414634
206,127,75,5112.708281082734,0.06806002143622722,0.043453070683661645,0.616504854368932
207,128,76,5158.626193873496,0.06859592711682744,0.0440324449594438,0.6183574879227053
208,129,77,5204.544106664258,0.06913183279742766,0.044611819235225954,0.6201923076923077
209,130,78,5250.46201945502,0.06966773847802786,0.04519119351100811,0.6220095693779905
210,131,79,5296.379932245782,0.07020364415862808,0.04577056778679027,0.6238095238095238
211,132,80,5342.297845036544,0.0707395498392283,0.046349942062572425,0.6255924170616114
212,133,81,5388.215757827305,0.07127545551982852,0.04692931633835458,0.6273584905660378
213,134,82,5434.133670618067,0.07181136120042872,0.047508690614136734,0.6291079812206573
214,135,83,5480.051583408829,0.07234726688102894,0.04808806488991889,0.6308411214953271
215,136,84,5525.969496199591,0.07288317256162916,0.04866743916570104,0.6325581395348837
216,137,85,5571.887408990353,0.07341907824222937,0.0492468134414832,0.6342592592592593
217,138,86,5617.805321781115,0.07395498392282958,0.04982618771726535,0.6359447004608295
218,139,87,5663.723234571877,0.0744908896034298,0.05040556199304751,0.6376146788990825
219,140,88,5709.641147362639,0.07502679528403002,0.05098493626882966,0.639269406392694
220,141,89,5755.5590601534,0.07556270096463022,0.051564310544611816,0.6409090909090909
221,142,90,5801.476972944162,0.07609860664523044,0.05214368482039398,0.6425339366515838
222,143,91,5847.394885734924,0.07663451232583066,0.05272305909617613,0.6441441441441441
223,144,92,5893.312798525686,0.07717041800643087,0.05330243337195829,0.6457399103139013
224,145,93,5939.230711316448,0.07770632368703108,0.05388180764774044,0.6473214285714286
225,146,94,5985.14862410721,0.0782422293676313,0.054461181923522596,0.6488888888888888
226,147,95,6031.066536897972,0.07877813504823152,0.05504055619930475,0.6504424778761062
227,148,96,6076.984449688734,0.07931404072883172,0.055619930475086905,0.6519823788546255
228,149,97,6122.902362479495,0.07984994640943194,0.05619930475086906,0.6535087719298246
229,150,98,6168.820275270257,0.08038585209003216,0.056778679026651215,0.6550218340611353
230,151,99,6214.738188061019,0.08092175777063237,0.05735805330243337,0.6565217391304348
231,152,100,6260.656100851781,0.08145766345123258,0.05793742757821553,0.658008658008658
232,153,101,6306.574013642543,0.0819935691318328,0.058516801853997685,0.6594827586206896
233,154,102,6352.491926433305,0.08252947481243302,0.05909617612977984,0.6609442060085837
234,155,103,6398.409839224067,0.08306538049303322,0.059675550405561995,0.6623931623931624
235,156,104,6444.327752014829,0.08360128617363344,0.06025492468134415,0.6638297872340425
236,157,105,6490.24566480559,0.08413719185423366,0.060834298957126304,0.6652542372881356
237,158,106,6536.163577596352,0.08467309753483387,0.06141367323290846,0.6666666666666666
238,159,107,6582.081490387114,0.08520900321543408,0.06199304750869061,0.6680672268907563
239,160,108,6627.999403177876,0.0857449088960343,0.06257242178447277,0.6694560669456067
240,161,109,6673.917315968638,0.08628081457663452,0.06315179606025492,0.6708333333333333
241,162,110,6719.8352287594,0.08681672025723473,0.06373117033603708,0.6721991701244814
242,163,111,6765.753141550162,0.08735262593783494,0.06431054461181923,0.6735537190082644
243,164,112,6811.671054340924,0.08788853161843516,0.06488991888760139,0.6748971193415638
244,165,113,6857.588967131685,0.08842443729903537,0.06546929316338354,0.6762295081967213
245,166,114,6903.506879922447,0.08896034297963558,0.0660486674391657,0.6775510204081633
246,167,115,6949.424792713209,0.0894962486602358,0.06662804171494785,0.6788617886178862
247,168,116,6995.342705503971,0.09003215434083602,0.06720741599073002,0.680161943319838
248,169,117,7041.260618294733,0.09056806002143623,0.06778679026651217,0.6814516129032258
249,170,118,7087.178531085495,0.09110396570203644,0.06836616454229433,0.6827309236947792
250,171,119,7133.096443876257,0.09163987138263666,0.06894553881807648,0.684
251,172,120,7179.014356667019,0.09217577706323687,0.06952491309385864,0.6852589641434262
252,173,121,7224.93226945778,0.09271168274383708,0.07010428736964079,0.6865079365079365
253,174,122,7270.850182248542,0.0932475884244373,0.07068366164542295,0.6877470355731226
254,175,123,7316.768095039304,0.09378349410503752,0.0712630359212051,0.6889763779527559
255,176,124,7362.686007830066,0.09431939978563773,0.07184241019698726,0.6901960784313725
256,177,125,7408.603920620828,0.09485530546623794,0.07242178447276941,0.69140625
257,178,126,7454.52183341159,0.09539121114683816,0.07300115874855156,0.6926070038910506
258,179,127,7500.439746202352,0.09592711682743837,0.07358053302433372,0.6937984496124031
259,180,128,7546.357658993114,0.09646302250803858,0.07415990730011587,0.694980694980695
260,181,129,7592.275571783875,0.0969989281886388,0.07473928157589803,0.6961538461538461
261,182,130,7638.193484574637,0.09753483386923902,0.07531865585168018,0.6973180076628352
262,183,131,7684.111397365399,0.09807073954983923,0.07589803012746234,0.6984732824427481
263,184,132,7730.029310156161,0.09860664523043944,0.07647740440324449,0.6996197718631179
264,185,133,7775.947222946923,0.09914255091103966,0.07705677867902665,0.7007575757575758
265,186,134,7821.865135737685,0.09967845659163987,0.0776361529548088,0.7018867924528301
266,187,135,7867.783048528447,0.10021436227224008,0.07821552723059096,0.7030075187969925
267,188,136,7913.700961319209,0.1007502679528403,0.07879490150637311,0.704119850187266
268,189,137,7959.61887410997,0.10128617363344052,0.07937427578215528,0.7052238805970149
269,190,138,8005.536786900732,0.10182207931404073,0.07995365005793743,0.7063197026022305
270,191,139,8051.454699691494,0.10235798499464094,0.08053302433371959,0.7074074074074074
271,192,140,8097.372612482256,0.10289389067524116,0.08111239860950174,0.7084870848708487
272,193,141,8143.290525273018,0.10342979635584137,0.0816917728852839,0.7095588235294118
273,194,142,8189.20843806378,0.10396570203644159,0.08227114716106605,0.7106227106227107
274,195,143,8235.126350854542,0.1045016077170418,0.0828505214368482,0.7116788321167883
275,196,144,8281.044263645304,0.10503751339764202,0.08342989571263036,0.7127272727272728
276,197,145,8326.962176436067,0.10557341907824223,0.08400926998841252,0.7137681159420289
277,198,146,8372.88008922683,0.10610932475884244,0.08458864426419467,0.7148014440433214
278,199,147,8418.798002017593,0.10664523043944266,0.08516801853997683,0.7158273381294964
279,200,148,8464.715914808356,0.10718113612004287,0.08574739281575898,0.7168458781362007
280,201,149,8510.633827599118,0.10771704180064309,0.08632676709154113,0.7178571428571429
281,202,150,8556.551740389881,0.1082529474812433,0.08690614136732329,0.7188612099644128
282,203,151,8602.469653180644,0.10878885316184352,0.08748551564310544,0.7198581560283688
283,204,152,8648.387565971407,0.10932475884244373,0.0880648899188876,0.7208480565371025
284,205,153,8694.30547876217,0.10986066452304394,0.08864426419466975,0.721830985915493
285,206,154,8740.223391552932,0.11039657020364416,0.08922363847045191,0.7228070175438597
286,207,155,8786.141304343695,0.11093247588424437,0.08980301274623406,0.7237762237762237
287,208,156,8832.059217134458,0.11146838156484459,0.09038238702201622,0.7247386759581882
288,209,157,8877.97712992522,0.1120042872454448,0.09096176129779837,0.7256944444444444
289,210,158,8923.895042715983,0.11254019292604502,0.09154113557358054,0.726643598615917
290,211,159,8969.812955506746,0.11307609860664523,0.0921205098493627,0.7275862068965517
291,212,160,9015.730868297509,0.11361200428724544,0.09269988412514485,0.7285223367697594
292,213,161,9061.648781088272,0.11414790996784566,0.093279258400927,0.7294520547945206
293,214,162,9107.566693879035,0.11468381564844587,0.09385863267670916,0.7303754266211604
294,215,163,9153.484606669797,0.1152197213290461,0.09443800695249131,0.7312925170068028
295,216,164,9199.40251946056,0.1157556270096463,0.09501738122827347,0.7322033898305085
296,217,165,9245.320432251323,0.11629153269024652,0.09559675550405562,0.7331081081081081
297,218,166,9291.238345042086,0.11682743837084673,0.09617612977983778,0.734006734006734
298,219,167,9337.156257832848,0.11736334405144695,0.09675550405561993,0.7348993288590604
299,220,168,9383.074170623611,0.11789924973204716,0.09733487833140209,0.7357859531772575
300,221,169,9428.992083414374,0.11843515541264737,0.09791425260718424,0.7366666666666667
301,222,170,9474.909996205137,0.1189710610932476,0.0984936268829664,0.7375415282392026
302,223,171,9510.969863784838,0.1195069667738478,0.09907300115874855,0.7384105960264901
303,224,171,9547.029731364539,0.12004287245444802,0.09907300115874855,0.7392739273927392
304,225,172,9583.08959894424,0.12057877813504823,0.0996523754345307,0.7401315789473685
305,226,172,9619.14946652394,0.12111468381564845,0.0996523754345307,0.740983606557377
306,227,172,9655.209334103642,0.12165058949624866,0.0996523754345307,0.7418300653594772
307,228,172,9691.269201683343,0.12218649517684887,0.0996523754345307,0.742671009771987
308,229,173,9727.329069263043,0.1227224008574491,0.10023174971031286,0.7435064935064936
309,230,173,9763.388936842744,0.1232583065380493,0.10023174971031286,0.7443365695792881
310,231,173,9799.448804422445,0.12379421221864952,0.10023174971031286,0.7451612903225806
311,232,173,9835.508672002146,0.12433011789924973,0.10023174971031286,0.7459807073954984
312,233,173,9871.568539581847,0.12486602357984995,0.10023174971031286,0.7467948717948718
313,234,174,9907.628407161548,0.12540192926045016,0.10081112398609501,0.7476038338658147
314,235,175,9943.68827474125,0.12593783494105038,0.10139049826187717,0.7484076433121019
315,236,176,9979.74814232095,0.1264737406216506,0.10196987253765932,0.7492063492063492
316,237,177,10015.808009900651,0.1270096463022508,0.10254924681344148,0.75
317,238,178,10051.867877480352,0.12754555198285103,0.10312862108922363,0.750788643533123
318,239,179,10087.927745060053,0.12808145766345122,0.1037079953650058,0.7515723270440252
319,240,180,10123.987612639754,0.12861736334405144,0.10428736964078796,0.7523510971786834
320,241,181,10160.047480219455,0.12915326902465166,0.10486674391657011,0.753125
321,242,182,10196.107347799156,0.12968917470525188,0.10544611819235226,0.7538940809968847
322,243,183,10232.167215378857,0.1302250803858521,0.10602549246813442,0.7546583850931677
323,244,184,10268.227082958558,0.1307609860664523,0.10660486674391657,0.7554179566563467
324,245,185,10304.286950538259,0.13129689174705253,0.10718424101969873,0.7561728395061729
325,246,186,10340.34681811796,0.13183279742765272,0.10776361529548088,0.7569230769230769
326,247,187,10376.40668569766,0.13236870310825294,0.10834298957126304,0.7576687116564417
327,248,188,10412.466553277362,0.13290460878885316,0.10892236384704519,0.7584097859327217
328,249,189,10448.526420857062,0.13344051446945338,0.10950173812282735,0.7591463414634146
329,250,190,10484.586288436763,0.1339764201500536,0.1100811123986095,0.7598784194528876
330,251,191,10520.646156016464,0.1345123258306538,0.11066048667439166,0.7606060606060606
331,252,192,10556.706023596165,0.13504823151125403,0.11123986095017381,0.7613293051359517
332,253,193,10592.765891175866,0.13558413719185422,0.11181923522595597,0.7620481927710844
333,254,194,10628.825758755567,0.13612004287245444,0.11239860950173812,0.7627627627627628
334,255,195,10664.885626335268,0.13665594855305466,0.11297798377752027,0.7634730538922155
335,256,196,10700.94549391497,0.13719185423365488,0.11355735805330243,0.764179104477612
336,257,197,10737.00536149467,0.1377277599142551,0.11413673232908458,0.7648809523809523
337,258,198,10773.065229074371,0.1382636655948553,0.11471610660486674,0.7655786350148368
338,259,199,10809.125096654072,0.13879957127545553,0.11529548088064889,0.7662721893491125
339,260,200,10845.184964233773,0.13933547695605572,0.11587485515643106,0.7669616519174042
340,261,201,10881.244831813474,0.13987138263665594,0.11645422943221322,0.7676470588235295
341,262,202,10917.304699393175,0.14040728831725616,0.11703360370799537,0.7683284457478006
342,263,203,10953.364566972876,0.14094319399785638,0.11761297798377753,0.7690058479532164
343,264,204,10989.424434552577,0.1414790996784566,0.11819235225955968,0.7696793002915452
344,265,205,11025.484302132278,0.1420150053590568,0.11877172653534183,0.7703488372093024
345,266,206,11061.544169711979,0.14255091103965703,0.11935110081112399,0.7710144927536232
346,267,207,11097.60403729168,0.14308681672025725,0.11993047508690614,0.7716763005780347
347,268,208,11133.66390487138,0.14362272240085744,0.1205098493626883,0.7723342939481268
348,269,209,11169.723772451081,0.14415862808145766,0.12108922363847045,0.7729885057471264
349,270,210,11205.783640030782,0.14469453376205788,0.12166859791425261,0.7736389684813754
350,271,211,11241.843507610483,0.1452304394426581,0.12224797219003476,0.7742857142857142
351,272,212,11277.903375190184,0.1457663451232583,0.12282734646581692,0.7749287749287749
