source_role,model,block_path,port_kind,port_handle,line_handle,connected,neighbor_blocks,is_physical_conserving_port
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus21,LConn,3581.00036621094,4272.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Load21 BusLabel,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus21,LConn,3582.00036621094,4302.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L15_HandwiredTimedBreaker,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus21,RConn,3583.00036621094,4082.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B21 to B16,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus6,LConn,3671.00012207031,4186.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B7 to B6,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus6,LConn,3672.00012207031,4271.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/TF B31 to B6,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus6,RConn,3673.00012207031,4267.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B6 to B5,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus6,RConn,3674.00012207031,4296.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L04_HandwiredTimedBreaker,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L04_HandwiredTimedBreaker,LConn,3896.00012207031,4294.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Simulink-PS
Converter3,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L04_HandwiredTimedBreaker,LConn,3897.00012207031,4296.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus6,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L04_HandwiredTimedBreaker,RConn,3898.00012207031,4297.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B11 to B6,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L15_HandwiredTimedBreaker,LConn,3902.00012207031,4301.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L15_SimulinkPSConverter,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L15_HandwiredTimedBreaker,LConn,3903.00012207031,4302.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus21,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L15_HandwiredTimedBreaker,RConn,3904.00012207031,4303.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B21 to B22,1
l15_source_lab,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15/Grid/L15_HandwiredTimedBreaker,LConn,8163.00012207031,8537.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15/Grid/Simulink-PS
Converter,1
l15_source_lab,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15/Grid/L15_HandwiredTimedBreaker,LConn,8164.00012207031,8539.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15/Grid/Bus21,1
l15_source_lab,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15/Grid/L15_HandwiredTimedBreaker,RConn,8165.00012207031,8540.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_clean_breaker_lab_L15/Grid/B21 to B22,1
l04_source_lab,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker/Grid/L04_HandwiredTimedBreaker,LConn,12417.0001220703,12807.0006103516,1,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker/Grid/Simulink-PS
Converter3,1
l04_source_lab,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker/Grid/L04_HandwiredTimedBreaker,LConn,12418.0001220703,12809.0006103516,1,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker/Grid/Bus6,1
l04_source_lab,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker/Grid/L04_HandwiredTimedBreaker,RConn,12419.0001220703,12810.0006103516,1,IEEE39BusSystem_dynamic_experiment_wrapper_handwired_breaker/Grid/B11 to B6,1
