target_bus,scenario_id,quality_review_passed_for_candidate_export,candidate_export_eligible_next_round,simulation_success,measurement_extraction_status,metrics_all_finite,signal_source_has_frequency_proxy,unstable_flag,min_voltage_pu,max_frequency_hz,max_rotor_angle_separation_deg,failed_checks,warning_checks,recommended_next_step
B14,BF_B14_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.45140219159943,50.2837473510252,67.36757864976,,,"export candidate label in a separate round, without training"
B15,BF_B15_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.599406107544658,50.2891011310327,73.8974096997215,,,"export candidate label in a separate round, without training"
B17,BF_B17_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.570859222408653,50.3243173253839,75.4414856721543,,,"export candidate label in a separate round, without training"
B18,BF_B18_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.666100118641434,50.2691454980597,70.7373479193739,,,"export candidate label in a separate round, without training"
B19,BF_B19_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.196611316999733,50.3996372145721,88.4225216592455,,,"export candidate label in a separate round, without training"
B20,BF_B20_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.146485909322149,50.3754140836783,87.9181495527854,,,"export candidate label in a separate round, without training"
B21,BF_B21_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.47048591136055,50.3158514310903,73.3871497478719,,,"export candidate label in a separate round, without training"
B22,BF_B22_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.241208164022292,50.3364546189401,71.7276616441695,,,"export candidate label in a separate round, without training"
B23,BF_B23_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.358575662320523,50.3791173567997,71.5868452489337,,,"export candidate label in a separate round, without training"
B24,BF_B24_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.547659043545634,50.326591418836,76.5097686225838,,,"export candidate label in a separate round, without training"
B25,BF_B25_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.26646365123709,50.3846381578049,82.0542916272526,,,"export candidate label in a separate round, without training"
B27,BF_B27_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.671787591776458,50.3356673550943,77.8678655481219,,,"export candidate label in a separate round, without training"
B28,BF_B28_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.437266185692279,50.3819463658952,86.4485729123849,,,"export candidate label in a separate round, without training"
B29,BF_B29_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.247132074701431,50.4351994197033,92.4902495364096,,,"export candidate label in a separate round, without training"
B30,BF_B30_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.0127678164746491,50.1977573975399,73.6151062664649,,,"export candidate label in a separate round, without training"
B31,BF_B31_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.00665565065938958,50.2599262356427,60.9738632357618,,,"export candidate label in a separate round, without training"
B32,BF_B32_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.00762329177101102,50.2884228205863,65.5793662206445,,,"export candidate label in a separate round, without training"
B33,BF_B33_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.00731674389149178,50.3601780901822,80.0240555318231,,,"export candidate label in a separate round, without training"
B34,BF_B34_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.004849476879389,50.3651656154349,87.9241012732882,,,"export candidate label in a separate round, without training"
B35,BF_B35_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.00854724943923104,50.2578072036866,67.9743241392649,,,"export candidate label in a separate round, without training"
B36,BF_B36_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.00704861501392914,50.3023908771086,67.7424274027544,,,"export candidate label in a separate round, without training"
B37,BF_B37_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.00734351202997418,50.3175716060771,68.932051129286,,,"export candidate label in a separate round, without training"
B38,BF_B38_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.00632617812673278,50.4093987279069,92.1734289978596,,,"export candidate label in a separate round, without training"
B16,BF_B16_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.418967829089903,50.3950521034568,82.715666817678,,,"export candidate label in a separate round, without training"
