table,method,top_k,num_cases,dynamic_unstable_count,dynamic_precision_at_k,mean_frequency_nadir_hz,min_frequency_nadir_hz,mean_rotor_angle_separation_coi_deg,max_rotor_angle_separation_coi_deg,mean_dynamic_stress_score,median_dynamic_stress_score,cases_with_security_redispatch_or_load_shed,cases_with_passive_relay_trip,total_dynamic_load_shed_mw,opa_critical_and_dynamic_unstable_count,opa_noncritical_but_dynamic_unstable_count,calibration_warning,all_stable_warning,all_unstable_warning,nondegenerate_dynamic_layer,preliminary_dynamic_discrimination_signal,event_strength_options_json,dynamic_discrimination_signal,dataset_source,dataset_scale,num_dataset_samples,num_dataset_positives,positive_ratio,model_auc,model_ap,num_paths,opa_is_critical_positive_count,mean_opa_total_load_shed_mw,stress_corr_with_opa_total_load_shed_mw,stress_corr_with_reranker_score,stress_corr_with_pio_score,stress_corr_with_lodf_score,dynamic_unstable_corr_with_opa_is_critical,summary_dynamic_precision_at_k,rank_depth_mean_stress_at_k,metric,estimate,ci_low,ci_high,bootstrap_n,random_seed
alignment,lodf,50,,14.0,,,,,,0.08868230825958,,,,,,,,,,,,,,,,,,,,,50.0,3.0,4.576977768182162,0.0305495349243552,0.1229472230961799,0.2168259018510968,-0.2937039487601544,0.0300099424404228,0.28,0.08868230825958,,,,,,
alignment,lodf,100,,30.0,,,,,,0.0900392178130809,,,,,,,,,,,,,,,,,,,,,100.0,8.0,5.842168003021437,-0.0314580186993059,-0.0961713709811648,0.0256232997147755,-0.1113562403591346,-0.0321744726043893,0.3,0.0900392178130809,,,,,,
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dynamic_precision_at_k,0.3,0.18,0.44,1000.0,20260824.0
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_dynamic_stress_score,0.0985310634191355,0.0697356132160842,0.132045738726276,1000.0,20260824.0
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_frequency_nadir_hz,49.40239293935422,49.37283418112288,49.43099048302533,1000.0,20260824.0
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_rotor_angle_coi_deg,179.8481372976387,179.8034824164933,179.8895738623247,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dynamic_precision_at_k,0.27,0.19,0.35,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_dynamic_stress_score,0.0871096484670206,0.06740595806751,0.1078596905610436,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_frequency_nadir_hz,49.41446450292288,49.39242188673638,49.435193662385785,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_rotor_angle_coi_deg,179.855628925069,179.8284911575652,179.8842922078432,1000.0,20260824.0
bootstrap,pio_gcn,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dynamic_precision_at_k,0.34,0.22,0.48,1000.0,20260824.0
bootstrap,pio_gcn,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_dynamic_stress_score,0.0997400190015217,0.0686516378652365,0.131563816546575,1000.0,20260824.0
bootstrap,pio_gcn,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_frequency_nadir_hz,49.40295543421468,49.371342825450434,49.43287204097782,1000.0,20260824.0
bootstrap,pio_gcn,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_rotor_angle_coi_deg,179.82549582663253,179.77264919071283,179.87071938918615,1000.0,20260824.0
bootstrap,pio_gcn,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dynamic_precision_at_k,0.36,0.27,0.45,1000.0,20260824.0
bootstrap,pio_gcn,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_dynamic_stress_score,0.1028680317048357,0.0803994406241793,0.1257643111981491,1000.0,20260824.0
bootstrap,pio_gcn,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_frequency_nadir_hz,49.399846062414845,49.37582043056881,49.42296863853203,1000.0,20260824.0
bootstrap,pio_gcn,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_rotor_angle_coi_deg,179.83075163242896,179.79805231696218,179.86258571888797,1000.0,20260824.0
bootstrap,lodf,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dynamic_precision_at_k,0.28,0.16,0.4,1000.0,20260824.0
bootstrap,lodf,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_dynamic_stress_score,0.08868230825958,0.0615572232900543,0.1172606202441794,1000.0,20260824.0
bootstrap,lodf,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_frequency_nadir_hz,49.41259707006566,49.38211990490891,49.441523573408375,1000.0,20260824.0
bootstrap,lodf,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_rotor_angle_coi_deg,179.81370431449818,179.76485326908667,179.85563453139173,1000.0,20260824.0
bootstrap,lodf,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dynamic_precision_at_k,0.3,0.22,0.4,1000.0,20260824.0
bootstrap,lodf,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_dynamic_stress_score,0.0900392178130809,0.068385599080664,0.1106731349851097,1000.0,20260824.0
bootstrap,lodf,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_frequency_nadir_hz,49.41187833748359,49.38961819495451,49.43155359422676,1000.0,20260824.0
bootstrap,lodf,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean_rotor_angle_coi_deg,179.83138912731934,179.79751671252166,179.8628412059971,1000.0,20260824.0
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_precision_minus_pio_gcn,-0.04,-0.22,0.14,1000.0,20260824.0
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_stress_minus_pio_gcn,-0.0012089555823861,-0.0458222407345095,0.0402260341565942,1000.0,20260824.0
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_precision_minus_lodf,0.0199999999999999,-0.1599999999999999,0.2,1000.0,20260824.0
bootstrap,learned_mlp,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_stress_minus_lodf,0.0098487551595555,-0.0322604563229184,0.0514481638575462,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_precision_minus_pio_gcn,-0.0899999999999999,-0.22,0.0399999999999999,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_stress_minus_pio_gcn,-0.0157583832378151,-0.0474433121046339,0.0133062146986693,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_precision_minus_lodf,-0.0299999999999999,-0.15,0.09,1000.0,20260824.0
bootstrap,learned_mlp,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learned_stress_minus_lodf,-0.0029295693460603,-0.0334765883691592,0.0267273308214832,1000.0,20260824.0
