setting,step,smoothed_episode_return
"lr=1e-3, ent=0p001",76.0,-79.08988965576283
"lr=1e-3, ent=0p001",77.0,-83.90964198028104
"lr=1e-3, ent=0p001",79.0,-88.21635811255416
"lr=1e-3, ent=0p001",80.0,-91.2913010383349
"lr=1e-3, ent=0p001",81.0,-93.05304083066791
"lr=1e-3, ent=0p001",82.0,-95.55487766124607
"lr=1e-3, ent=0p001",83.0,-98.13142003764217
"lr=1e-3, ent=0p001",84.0,-99.11622535914358
"lr=1e-3, ent=0p001",85.0,-99.31298028731487
"lr=1e-3, ent=0p001",86.0,-100.06147355888174
"lr=1e-3, ent=0p001",87.0,-100.49493511070003
"lr=1e-3, ent=0p001",89.0,-102.10083791167895
"lr=1e-3, ent=0p001",90.0,-102.38371524932899
"lr=1e-3, ent=0p001",91.0,-101.9269721994632
"lr=1e-3, ent=0p001",93.0,-103.57173477814135
"lr=1e-3, ent=0p001",94.0,-102.87738782251309
"lr=1e-3, ent=0p001",95.0,-102.99760580663593
"lr=1e-3, ent=0p001",96.0,-82.41808464530875
"lr=1e-3, ent=0p001",97.0,-86.79369028330999
"lr=1e-3, ent=0p001",99.0,-91.93127600712612
"lr=1e-3, ent=0p001",100.0,-94.26339033623034
"lr=1e-3, ent=0p001",101.0,-96.43992290569027
"lr=1e-3, ent=0p001",102.0,-98.45292847046218
"lr=1e-3, ent=0p001",103.0,-99.44823765470043
"lr=1e-3, ent=0p001",104.0,-79.57859012376035
"lr=1e-3, ent=0p001",105.0,-84.07889863287318
"lr=1e-3, ent=0p001",106.0,-87.67914544016344
"lr=1e-3, ent=0p001",107.0,-90.16331635213075
"lr=1e-3, ent=0p001",108.0,-72.1506530817046
"lr=1e-3, ent=0p001",109.0,-78.6286739141024
"lr=1e-3, ent=0p001",111.0,-84.42626003962386
"lr=1e-3, ent=0p001",113.0,-87.98472178142616
"lr=1e-3, ent=0p001",114.0,-90.40777742514092
"lr=1e-3, ent=0p001",115.0,-94.39542893259193
"lr=1e-3, ent=0p001",116.0,-96.12743247510338
"lr=1e-3, ent=0p001",117.0,-96.9219459800827
"lr=1e-3, ent=0p001",118.0,-97.76958676148098
"lr=1e-3, ent=0p001",119.0,-98.23566940918478
"lr=1e-3, ent=0p001",120.0,-98.60853552734783
"lr=1e-3, ent=0p001",122.0,-100.15197310620053
"lr=1e-3, ent=0p001",124.0,-101.82811582085725
"lr=1e-3, ent=0p001",125.0,-101.4824926566858
"lr=1e-3, ent=0p001",126.0,-101.90083057981454
"lr=1e-3, ent=0p001",127.0,-101.73966778886827
"lr=1e-3, ent=0p001",128.0,-103.07280205439294
"lr=1e-3, ent=0p01",1.0,-105.09380969316663
"lr=1e-3, ent=0p01",2.0,-105.15276263657302
"lr=1e-3, ent=0p01",3.0,-104.39534325416456
"lr=1e-3, ent=0p01",4.0,-103.53627460333165
"lr=1e-3, ent=0p01",5.0,-103.10042131310186
"lr=1e-3, ent=0p01",6.0,-82.50033705048149
"lr=1e-3, ent=0p01",7.0,-86.71974141934484
"lr=1e-3, ent=0p01",9.0,-90.20688246450571
"lr=1e-3, ent=0p01",10.0,-92.99867861799268
"lr=1e-3, ent=0p01",11.0,-95.01321197631782
"lr=1e-3, ent=0p01",12.0,-76.03056958105425
"lr=1e-3, ent=0p01",14.0,-82.7358335683462
"lr=1e-3, ent=0p01",15.0,-86.20866685467695
"lr=1e-3, ent=0p01",16.0,-88.98693348374155
"lr=1e-3, ent=0p01",18.0,-92.04256661795358
"lr=1e-3, ent=0p01",20.0,-94.2772722060967
"lr=1e-3, ent=0p01",22.0,-96.70124214219886
"lr=1e-3, ent=0p01",23.0,-98.93808231088755
"lr=1e-3, ent=0p01",25.0,-99.98155517773988
"lr=1e-3, ent=0p01",26.0,-100.43402873937758
"lr=1e-3, ent=0p01",27.0,-100.56622631651871
"lr=1e-3, ent=0p01",28.0,-100.47298105321497
"lr=1e-3, ent=0p01",29.0,-101.08784212565693
"lr=1e-3, ent=0p01",30.0,-102.0962185500761
"lr=1e-3, ent=0p01",31.0,-101.69697484006089
"lr=1e-3, ent=0p01",32.0,-102.96033135763074
"lr=1e-3, ent=0p01",33.0,-103.0258826791623
"lr=1e-3, ent=0p01",34.0,-104.01961473683264
"lr=1e-3, ent=0p01",35.0,-103.23569178946612
"lr=1e-3, ent=0p01",36.0,-103.61412236490575
"lr=1e-3, ent=0p01",37.0,-103.13694214358217
"lr=1e-3, ent=0p01",38.0,-103.17026788135476
"lr=1e-3, ent=0p01",39.0,-102.55621430508381
"lr=1e-3, ent=0p01",40.0,-102.55583990149658
"lr=1e-3, ent=0p01",41.0,-82.06467192119727
"lr=1e-3, ent=0p01",42.0,-65.67173753695782
"lr=1e-3, ent=0p01",43.0,-72.80984262889301
"lr=1e-3, ent=0p01",45.0,-78.74715258947339
"lr=1e-3, ent=0p01",46.0,-83.90373361292109
"lr=1e-3, ent=0p01",47.0,-88.7955151381415
"lr=1e-3, ent=0p01",49.0,-91.87144196939474
"lr=1e-3, ent=0p01",50.0,-94.18472654671422
"lr=1e-3, ent=0p01",51.0,-96.45285585348688
"lr=1e-3, ent=0p01",52.0,-97.8818248611263
"lr=1e-3, ent=0p01",53.0,-98.32545988890105
"lr=1e-3, ent=0p01",54.0,-100.35006712423937
"lr=1e-3, ent=0p01",55.0,-100.3000536993915
"lr=1e-3, ent=0p01",56.0,-100.48097678646035
"lr=1e-3, ent=0p01",57.0,-101.68271179365883
"lr=1e-3, ent=0p01",58.0,-102.18100088854354
"lr=1e-3, ent=0p01",59.0,-102.67544244549954
"lr=1e-3, ent=0p01",60.0,-102.8754944136037
"lr=1e-3, ent=0p01",61.0,-102.71642206474786
"lr=1e-3, ent=0p01",62.0,-103.02221800085252
"lr=1e-3, ent=0p01",63.0,-102.43777440068202
"lr=1e-3, ent=0p01",64.0,-102.65946818895542
"lr=1e-3, ent=0p01",65.0,-102.14757455116434
"lr=1e-3, ent=0p01",66.0,-81.71805964093147
"lr=1e-3, ent=0p01",67.0,-87.06013832647115
"lr=1e-3, ent=0p01",68.0,-90.69989282753329
"lr=1e-3, ent=0p01",69.0,-92.57991426202663
"lr=1e-3, ent=0p01",70.0,-94.0839314096213
"lr=1e-3, ent=0p01",71.0,-95.77500721317875
"lr=1e-3, ent=0p01",72.0,-96.640005770543
"lr=1e-3, ent=0p01",73.0,-97.9979484308586
"lr=1e-3, ent=0p01",75.0,-98.83736206970353
"lr=1e-3, ent=0p01",76.0,-79.08988965576283
"lr=1e-3, ent=0p01",77.0,-83.90964198028104
"lr=1e-3, ent=0p01",79.0,-88.21635811255416
"lr=1e-3, ent=0p01",80.0,-91.2913010383349
"lr=1e-3, ent=0p01",81.0,-93.05304083066791
"lr=1e-3, ent=0p01",82.0,-95.55487766124607
"lr=1e-3, ent=0p01",83.0,-98.13142003764217
"lr=1e-3, ent=0p01",84.0,-99.11622535914358
"lr=1e-3, ent=0p01",85.0,-99.31298028731487
"lr=1e-3, ent=0p01",86.0,-100.06147355888174
"lr=1e-3, ent=0p01",87.0,-100.49493511070003
"lr=1e-3, ent=0p01",89.0,-102.10083791167895
"lr=1e-3, ent=0p01",90.0,-102.38371524932899
"lr=1e-3, ent=0p01",91.0,-101.9269721994632
"lr=1e-3, ent=0p01",93.0,-103.57173477814135
"lr=1e-3, ent=0p01",94.0,-102.87738782251309
"lr=1e-3, ent=0p01",95.0,-102.99760580663593
"lr=1e-3, ent=0p01",96.0,-82.41808464530875
"lr=1e-3, ent=0p01",97.0,-86.79369028330999
"lr=1e-3, ent=0p01",99.0,-91.93127600712612
"lr=1e-3, ent=0p01",100.0,-94.26339033623034
"lr=1e-3, ent=0p01",101.0,-96.43992290569027
"lr=1e-3, ent=0p01",102.0,-98.45292847046218
"lr=1e-3, ent=0p01",103.0,-99.44823765470043
"lr=1e-3, ent=0p01",104.0,-79.57859012376035
"lr=1e-3, ent=0p01",105.0,-84.07889863287318
"lr=1e-3, ent=0p01",106.0,-87.67914544016344
"lr=1e-3, ent=0p01",107.0,-90.16331635213075
"lr=1e-3, ent=0p01",108.0,-72.1506530817046
"lr=1e-3, ent=0p01",109.0,-78.6286739141024
"lr=1e-3, ent=0p01",111.0,-84.42626003962386
"lr=1e-3, ent=0p01",113.0,-87.98472178142616
"lr=1e-3, ent=0p01",114.0,-90.40777742514092
"lr=1e-3, ent=0p01",115.0,-94.39542893259193
"lr=1e-3, ent=0p01",116.0,-96.12743247510338
"lr=1e-3, ent=0p01",117.0,-96.9219459800827
"lr=1e-3, ent=0p01",118.0,-97.76958676148098
"lr=1e-3, ent=0p01",119.0,-98.23566940918478
"lr=1e-3, ent=0p01",120.0,-98.60853552734783
"lr=1e-3, ent=0p01",122.0,-100.15197310620053
"lr=1e-3, ent=0p01",124.0,-101.82811582085725
"lr=1e-3, ent=0p01",125.0,-101.4824926566858
"lr=1e-3, ent=0p01",126.0,-101.90083057981454
"lr=1e-3, ent=0p01",127.0,-101.73966778886827
"lr=1e-3, ent=0p01",128.0,-103.07280205439294
"lr=1e-3, ent=0p1",1.0,-105.09380969316663
"lr=1e-3, ent=0p1",2.0,-105.15276263657302
"lr=1e-3, ent=0p1",3.0,-104.39534325416456
"lr=1e-3, ent=0p1",4.0,-103.53627460333165
"lr=1e-3, ent=0p1",5.0,-103.10042131310186
"lr=1e-3, ent=0p1",6.0,-82.50033705048149
"lr=1e-3, ent=0p1",7.0,-86.71974141934484
"lr=1e-3, ent=0p1",9.0,-90.20688246450571
"lr=1e-3, ent=0p1",10.0,-92.99867861799268
"lr=1e-3, ent=0p1",11.0,-95.01321197631782
"lr=1e-3, ent=0p1",12.0,-76.03056958105425
"lr=1e-3, ent=0p1",14.0,-82.7358335683462
"lr=1e-3, ent=0p1",15.0,-86.20866685467695
"lr=1e-3, ent=0p1",16.0,-88.98693348374155
"lr=1e-3, ent=0p1",18.0,-92.04256661795358
"lr=1e-3, ent=0p1",20.0,-94.2772722060967
"lr=1e-3, ent=0p1",22.0,-96.70124214219886
"lr=1e-3, ent=0p1",23.0,-98.93808231088755
"lr=1e-3, ent=0p1",25.0,-99.98155517773988
"lr=1e-3, ent=0p1",26.0,-100.43402873937758
"lr=1e-3, ent=0p1",27.0,-100.56622631651871
"lr=1e-3, ent=0p1",28.0,-100.47298105321497
"lr=1e-3, ent=0p1",29.0,-101.08784212565693
"lr=1e-3, ent=0p1",30.0,-102.0962185500761
"lr=1e-3, ent=0p1",31.0,-101.69697484006089
"lr=1e-3, ent=0p1",32.0,-102.96033135763074
"lr=1e-3, ent=0p1",33.0,-103.0258826791623
"lr=1e-3, ent=0p1",34.0,-104.01961473683264
"lr=1e-3, ent=0p1",35.0,-103.23569178946612
"lr=1e-3, ent=0p1",36.0,-103.61412236490575
"lr=1e-3, ent=0p1",37.0,-103.13694214358217
"lr=1e-3, ent=0p1",38.0,-103.17026788135476
"lr=1e-3, ent=0p1",39.0,-102.55621430508381
"lr=1e-3, ent=0p1",40.0,-102.55583990149658
"lr=1e-3, ent=0p1",41.0,-82.06467192119727
"lr=1e-3, ent=0p1",42.0,-65.67173753695782
"lr=1e-3, ent=0p1",43.0,-72.80984262889301
"lr=1e-3, ent=0p1",45.0,-78.74715258947339
"lr=1e-3, ent=0p1",46.0,-83.90373361292109
"lr=1e-3, ent=0p1",47.0,-88.7955151381415
"lr=1e-3, ent=0p1",49.0,-91.87144196939474
"lr=1e-3, ent=0p1",50.0,-94.18472654671422
"lr=1e-3, ent=0p1",51.0,-96.45285585348688
"lr=1e-3, ent=0p1",52.0,-97.8818248611263
"lr=1e-3, ent=0p1",53.0,-98.32545988890105
"lr=1e-3, ent=0p1",54.0,-100.35006712423937
"lr=1e-3, ent=0p1",55.0,-100.3000536993915
"lr=1e-3, ent=0p1",56.0,-100.48097678646035
"lr=1e-3, ent=0p1",57.0,-101.68271179365883
"lr=1e-3, ent=0p1",58.0,-102.18100088854354
"lr=1e-3, ent=0p1",59.0,-102.67544244549954
"lr=1e-3, ent=0p1",60.0,-102.8754944136037
"lr=1e-3, ent=0p1",61.0,-102.71642206474786
"lr=1e-3, ent=0p1",62.0,-103.02221800085252
"lr=1e-3, ent=0p1",63.0,-102.43777440068202
"lr=1e-3, ent=0p1",64.0,-102.65946818895542
"lr=1e-3, ent=0p1",65.0,-102.14757455116434
"lr=1e-3, ent=0p1",66.0,-81.71805964093147
"lr=1e-3, ent=0p1",67.0,-87.06013832647115
"lr=1e-3, ent=0p1",68.0,-90.69989282753329
"lr=1e-3, ent=0p1",69.0,-92.57991426202663
"lr=1e-3, ent=0p1",70.0,-94.0839314096213
"lr=1e-3, ent=0p1",71.0,-95.77500721317875
"lr=1e-3, ent=0p1",72.0,-96.640005770543
"lr=1e-3, ent=0p1",73.0,-97.9979484308586
"lr=1e-3, ent=0p1",75.0,-98.83736206970353
"lr=1e-3, ent=0p1",76.0,-79.08988965576283
"lr=1e-3, ent=0p1",77.0,-83.90964198028104
"lr=1e-3, ent=0p1",79.0,-88.21635811255416
"lr=1e-3, ent=0p1",80.0,-91.2913010383349
"lr=1e-3, ent=0p1",81.0,-93.05304083066791
"lr=1e-3, ent=0p1",82.0,-95.55487766124607
"lr=1e-3, ent=0p1",83.0,-98.13142003764217
"lr=1e-3, ent=0p1",84.0,-99.11622535914358
"lr=1e-3, ent=0p1",85.0,-99.31298028731487
"lr=1e-3, ent=0p1",86.0,-100.06147355888174
"lr=1e-3, ent=0p1",87.0,-100.49493511070003
"lr=1e-3, ent=0p1",89.0,-102.10083791167895
"lr=1e-3, ent=0p1",90.0,-102.38371524932899
"lr=1e-3, ent=0p1",91.0,-101.9269721994632
"lr=1e-3, ent=0p1",93.0,-103.57173477814135
"lr=1e-3, ent=0p1",94.0,-102.87738782251309
"lr=1e-3, ent=0p1",95.0,-102.99760580663593
"lr=1e-3, ent=0p1",96.0,-82.41808464530875
"lr=1e-3, ent=0p1",97.0,-86.79369028330999
"lr=1e-3, ent=0p1",99.0,-91.93127600712612
"lr=1e-3, ent=0p1",100.0,-94.26339033623034
"lr=1e-3, ent=0p1",101.0,-96.43992290569027
"lr=1e-3, ent=0p1",102.0,-98.45292847046218
"lr=1e-3, ent=0p1",103.0,-99.44823765470043
"lr=1e-3, ent=0p1",104.0,-79.57859012376035
"lr=1e-3, ent=0p1",105.0,-84.07889863287318
"lr=1e-3, ent=0p1",106.0,-87.67914544016344
"lr=1e-3, ent=0p1",107.0,-90.16331635213075
"lr=1e-3, ent=0p1",108.0,-72.1506530817046
"lr=1e-3, ent=0p1",109.0,-78.6286739141024
"lr=1e-3, ent=0p1",111.0,-84.42626003962386
"lr=1e-3, ent=0p1",113.0,-87.98472178142616
"lr=1e-3, ent=0p1",114.0,-90.40777742514092
"lr=1e-3, ent=0p1",115.0,-94.39542893259193
"lr=1e-3, ent=0p1",116.0,-96.12743247510338
"lr=1e-3, ent=0p1",117.0,-96.9219459800827
"lr=1e-3, ent=0p1",118.0,-97.76958676148098
"lr=1e-3, ent=0p1",119.0,-98.23566940918478
"lr=1e-3, ent=0p1",120.0,-98.60853552734783
"lr=1e-3, ent=0p1",122.0,-100.15197310620053
"lr=1e-3, ent=0p1",124.0,-101.82811582085725
"lr=1e-3, ent=0p1",125.0,-101.4824926566858
"lr=1e-3, ent=0p1",126.0,-101.90083057981454
"lr=1e-3, ent=0p1",127.0,-101.73966778886827
"lr=1e-3, ent=0p1",128.0,-103.07280205439294
"lr=1e-4, ent=0p001",1.0,-105.09380969316663
"lr=1e-4, ent=0p001",2.0,-105.15276263657302
"lr=1e-4, ent=0p001",3.0,-104.39534325416456
"lr=1e-4, ent=0p001",4.0,-103.53627460333165
"lr=1e-4, ent=0p001",5.0,-103.10042131310186
"lr=1e-4, ent=0p001",6.0,-82.50033705048149
"lr=1e-4, ent=0p001",7.0,-86.71974141934484
"lr=1e-4, ent=0p001",9.0,-90.20688246450571
"lr=1e-4, ent=0p001",10.0,-92.99867861799268
"lr=1e-4, ent=0p001",11.0,-95.01321197631782
"lr=1e-4, ent=0p001",12.0,-76.03056958105425
"lr=1e-4, ent=0p001",14.0,-82.7358335683462
"lr=1e-4, ent=0p001",15.0,-86.20866685467695
"lr=1e-4, ent=0p001",16.0,-88.98693348374155
"lr=1e-4, ent=0p001",18.0,-92.04256661795358
"lr=1e-4, ent=0p001",20.0,-94.2772722060967
"lr=1e-4, ent=0p001",22.0,-96.70124214219886
"lr=1e-4, ent=0p001",23.0,-98.93808231088755
"lr=1e-4, ent=0p001",25.0,-99.98155517773988
"lr=1e-4, ent=0p001",26.0,-100.43402873937758
"lr=1e-4, ent=0p001",27.0,-100.56622631651871
"lr=1e-4, ent=0p001",28.0,-100.47298105321497
"lr=1e-4, ent=0p001",29.0,-101.08784212565693
"lr=1e-4, ent=0p001",30.0,-102.0962185500761
"lr=1e-4, ent=0p001",31.0,-101.69697484006089
"lr=1e-4, ent=0p001",32.0,-102.96033135763074
"lr=1e-4, ent=0p001",33.0,-103.0258826791623
"lr=1e-4, ent=0p001",34.0,-104.01961473683264
"lr=1e-4, ent=0p001",35.0,-103.23569178946612
"lr=1e-4, ent=0p001",36.0,-103.61412236490575
"lr=1e-4, ent=0p001",37.0,-103.13694214358217
"lr=1e-4, ent=0p001",38.0,-103.17026788135476
"lr=1e-4, ent=0p001",39.0,-102.55621430508381
"lr=1e-4, ent=0p001",40.0,-102.55583990149658
"lr=1e-4, ent=0p001",41.0,-82.06467192119727
"lr=1e-4, ent=0p001",42.0,-65.67173753695782
"lr=1e-4, ent=0p001",43.0,-72.80984262889301
"lr=1e-4, ent=0p001",45.0,-78.74715258947339
"lr=1e-4, ent=0p001",46.0,-83.90373361292109
"lr=1e-4, ent=0p001",47.0,-88.7955151381415
"lr=1e-4, ent=0p001",49.0,-91.87144196939474
"lr=1e-4, ent=0p001",50.0,-94.18472654671422
"lr=1e-4, ent=0p001",51.0,-96.45285585348688
"lr=1e-4, ent=0p001",52.0,-97.8818248611263
"lr=1e-4, ent=0p001",53.0,-98.32545988890105
"lr=1e-4, ent=0p001",54.0,-100.35006712423937
"lr=1e-4, ent=0p001",55.0,-100.3000536993915
"lr=1e-4, ent=0p001",56.0,-100.48097678646035
"lr=1e-4, ent=0p001",57.0,-101.68271179365883
"lr=1e-4, ent=0p001",58.0,-102.18100088854354
"lr=1e-4, ent=0p001",59.0,-102.67544244549954
"lr=1e-4, ent=0p001",60.0,-102.8754944136037
"lr=1e-4, ent=0p001",61.0,-102.71642206474786
"lr=1e-4, ent=0p001",62.0,-103.02221800085252
"lr=1e-4, ent=0p001",63.0,-102.43777440068202
"lr=1e-4, ent=0p001",64.0,-102.65946818895542
"lr=1e-4, ent=0p001",65.0,-102.14757455116434
"lr=1e-4, ent=0p001",66.0,-81.71805964093147
"lr=1e-4, ent=0p001",67.0,-87.06013832647115
"lr=1e-4, ent=0p001",68.0,-90.69989282753329
"lr=1e-4, ent=0p001",69.0,-92.57991426202663
"lr=1e-4, ent=0p001",70.0,-94.0839314096213
"lr=1e-4, ent=0p001",71.0,-95.77500721317875
"lr=1e-4, ent=0p001",72.0,-96.640005770543
"lr=1e-4, ent=0p001",73.0,-97.9979484308586
"lr=1e-4, ent=0p001",75.0,-98.83736206970353
"lr=1e-4, ent=0p001",76.0,-79.08988965576283
"lr=1e-4, ent=0p001",77.0,-83.90964198028104
"lr=1e-4, ent=0p001",79.0,-88.21635811255416
"lr=1e-4, ent=0p001",80.0,-91.2913010383349
"lr=1e-4, ent=0p001",81.0,-93.05304083066791
"lr=1e-4, ent=0p001",82.0,-95.55487766124607
"lr=1e-4, ent=0p001",83.0,-98.13142003764217
"lr=1e-4, ent=0p001",84.0,-99.11622535914358
"lr=1e-4, ent=0p001",85.0,-99.31298028731487
"lr=1e-4, ent=0p001",86.0,-100.06147355888174
"lr=1e-4, ent=0p001",87.0,-100.49493511070003
"lr=1e-4, ent=0p001",89.0,-102.10083791167895
"lr=1e-4, ent=0p001",90.0,-102.38371524932899
"lr=1e-4, ent=0p001",91.0,-101.9269721994632
"lr=1e-4, ent=0p001",93.0,-103.57173477814135
"lr=1e-4, ent=0p001",94.0,-102.87738782251309
"lr=1e-4, ent=0p001",95.0,-102.99760580663593
"lr=1e-4, ent=0p001",96.0,-82.41808464530875
"lr=1e-4, ent=0p001",97.0,-86.79369028330999
"lr=1e-4, ent=0p001",99.0,-91.93127600712612
"lr=1e-4, ent=0p001",100.0,-94.26339033623034
"lr=1e-4, ent=0p001",101.0,-96.43992290569027
"lr=1e-4, ent=0p001",102.0,-98.45292847046218
"lr=1e-4, ent=0p001",103.0,-99.44823765470043
"lr=1e-4, ent=0p001",104.0,-79.57859012376035
"lr=1e-4, ent=0p001",105.0,-84.07889863287318
"lr=1e-4, ent=0p001",106.0,-87.67914544016344
"lr=1e-4, ent=0p001",107.0,-90.16331635213075
"lr=1e-4, ent=0p001",108.0,-72.1506530817046
"lr=1e-4, ent=0p001",109.0,-78.6286739141024
"lr=1e-4, ent=0p001",111.0,-84.42626003962386
"lr=1e-4, ent=0p001",113.0,-87.98472178142616
"lr=1e-4, ent=0p001",114.0,-90.40777742514092
"lr=1e-4, ent=0p001",115.0,-94.39542893259193
"lr=1e-4, ent=0p001",116.0,-96.12743247510338
"lr=1e-4, ent=0p001",117.0,-96.9219459800827
"lr=1e-4, ent=0p001",118.0,-97.76958676148098
"lr=1e-4, ent=0p001",119.0,-98.23566940918478
"lr=1e-4, ent=0p001",120.0,-98.60853552734783
"lr=1e-4, ent=0p001",122.0,-100.15197310620053
"lr=1e-4, ent=0p001",124.0,-101.82811582085725
"lr=1e-4, ent=0p001",125.0,-101.4824926566858
"lr=1e-4, ent=0p001",126.0,-101.90083057981454
"lr=1e-4, ent=0p001",127.0,-101.73966778886827
"lr=1e-4, ent=0p001",128.0,-103.07280205439294
"lr=1e-4, ent=0p01",1.0,-105.09380969316663
"lr=1e-4, ent=0p01",2.0,-105.15276263657302
"lr=1e-4, ent=0p01",3.0,-104.39534325416456
"lr=1e-4, ent=0p01",4.0,-103.53627460333165
"lr=1e-4, ent=0p01",5.0,-103.10042131310186
"lr=1e-4, ent=0p01",6.0,-82.50033705048149
"lr=1e-4, ent=0p01",7.0,-86.71974141934484
"lr=1e-4, ent=0p01",9.0,-90.20688246450571
"lr=1e-4, ent=0p01",10.0,-92.99867861799268
"lr=1e-4, ent=0p01",11.0,-95.01321197631782
"lr=1e-4, ent=0p01",12.0,-76.03056958105425
"lr=1e-4, ent=0p01",14.0,-82.7358335683462
"lr=1e-4, ent=0p01",15.0,-86.20866685467695
"lr=1e-4, ent=0p01",16.0,-88.98693348374155
"lr=1e-4, ent=0p01",18.0,-92.04256661795358
"lr=1e-4, ent=0p01",20.0,-94.2772722060967
"lr=1e-4, ent=0p01",22.0,-96.70124214219886
"lr=1e-4, ent=0p01",23.0,-98.93808231088755
"lr=1e-4, ent=0p01",25.0,-99.98155517773988
"lr=1e-4, ent=0p01",26.0,-100.43402873937758
"lr=1e-4, ent=0p01",27.0,-100.56622631651871
"lr=1e-4, ent=0p01",28.0,-100.47298105321497
"lr=1e-4, ent=0p01",29.0,-101.08784212565693
"lr=1e-4, ent=0p01",30.0,-102.0962185500761
"lr=1e-4, ent=0p01",31.0,-101.69697484006089
"lr=1e-4, ent=0p01",32.0,-102.96033135763074
"lr=1e-4, ent=0p01",33.0,-103.0258826791623
"lr=1e-4, ent=0p01",34.0,-104.01961473683264
"lr=1e-4, ent=0p01",35.0,-103.23569178946612
"lr=1e-4, ent=0p01",36.0,-103.61412236490575
"lr=1e-4, ent=0p01",37.0,-103.13694214358217
"lr=1e-4, ent=0p01",38.0,-103.17026788135476
"lr=1e-4, ent=0p01",39.0,-102.55621430508381
"lr=1e-4, ent=0p01",40.0,-102.55583990149658
"lr=1e-4, ent=0p01",41.0,-82.06467192119727
"lr=1e-4, ent=0p01",42.0,-65.67173753695782
"lr=1e-4, ent=0p01",43.0,-72.80984262889301
