block_path,block_type,mask_type
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_SCLoel",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_SCLuel",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Ifd_pu",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)",SubSystem,Lead-Lag (Discrete or Continuous)
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/1//T1",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/x",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Avoid Divide
by Zero",Fcn,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Avoid Divide
by Zero1",Fcn,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Avoid Divide
by Zero2",Fcn,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Bias",Bias,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero",SubSystem,Compare To Zero
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero/Compare",RelationalOperator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero1",SubSystem,Compare To Zero
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero1/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero1/Compare",RelationalOperator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero1/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Compare
To Zero1/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Constant1",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited1",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited1/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited1/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited1/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited1/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited1/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited2",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited2/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited2/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited2/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited2/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited2/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited3",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited3/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited3/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited3/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited3/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Data Type
Conversion
Inherited3/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Lag time
constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Lead time
constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Logical
Operator",Logic,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/MinMax1",MinMax,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/MinMax2",MinMax,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Probe",Probe,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Selector",Selector,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Sum1",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Sum3",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Switch",Switch,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/Switch1",Switch,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/product1",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/product2",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/T2//T1-1",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/reset",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/T1//T2",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Gains/T1",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Initialization",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Initialization/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Initialization/Init_u",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Initialization/Init_u/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Initialization/Init_u/x0",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Initialization/x0",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)",SubSystem,Integrator (Discrete or Continuous)
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Reset",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Discrete",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Discrete/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Discrete/Reset",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Discrete/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Discrete/Integrator",DiscreteIntegrator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Discrete/Saturation",Saturate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/Discrete/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Integrator
(Discrete or Continuous)/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Sum1",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/Sum2",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/T1//T2",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/T2//T1-1",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/[A,B]",Saturate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/(1+sT_C)//(1+sT_B)/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/E_FE",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Ifd",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited1",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited1/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited1/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited1/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited1/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Data Type
Conversion
Inherited1/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/V_E",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Ifd",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Data Type
Conversion
Inherited",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Data Type
Conversion
Inherited/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Data Type
Conversion
Inherited/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Data Type
Conversion
Inherited/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Data Type
Conversion
Inherited/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Data Type
Conversion
Inherited/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Divide",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Gain",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/Prevent
divide by zero",Fcn,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/fex",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/fex/I_N",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/fex/ Demux ",Demux,
