epoch,train_loss,total_accuracy,hit_rate,cover_rate,precision,recall,f1,pr_auc,average_precision,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels
11,0.21488076653211716,0.9636051842770995,0.279128748321647,0.8602298850574712,0.279128748321647,0.8602298850574712,0.4214913268754224,0.6108603858371668,0.6108603858371668,0.7825841638361954,0.054931694368887764,0.7276524694673077,0.04749891935175277,0.019784720696716954,1871,134112,4832,304,141119,2175
12,0.21209473515415678,0.9579858133915348,0.24966657775406775,0.8606896551724138,0.24966657775406775,0.8606896551724138,0.38705675591853617,0.5842822530011886,0.5842822530011886,0.7900683251020483,0.06054936744307317,0.7295189576589751,0.053132462673346606,0.022775104698871167,1872,133318,5626,303,141119,2175
13,0.20623537578565343,0.9532451335397785,0.23177683444511826,0.8786206896551724,0.23177683444511826,0.8786206896551724,0.3667946257197697,0.5532349665610178,0.5532349665610178,0.8033238336089905,0.06699771443120228,0.7363261191777882,0.058425867530240434,0.027437836152467067,1911,132610,6334,264,141119,2175
14,0.2048346756723489,0.9559591550393639,0.24378488077118213,0.8836781609195402,0.24378488077118213,0.8836781609195402,0.38214534247937165,0.6146181182816073,0.6146181182816073,0.821987381520756,0.06631065295136997,0.7556767285693861,0.05586774282697581,0.02560959190470454,1922,132982,5962,253,141119,2175
15,0.2014913098727559,0.9518208037188473,0.2274870344177275,0.8873563218390804,0.2274870344177275,0.8873563218390804,0.36213528473590395,0.5962402684457137,0.5962402684457137,0.8301074212767323,0.0659364698518027,0.7641709514249296,0.060119473635725874,0.029719598353162933,1930,132390,6554,245,141119,2175
16,0.19687895694474233,0.9585456246146868,0.25716928769657726,0.894712643678161,0.25716928769657726,0.894712643678161,0.39950728803120517,0.6155836439880231,0.6155836439880231,0.826551449480975,0.06368000896947991,0.7628714405114951,0.05362141171635287,0.023561674898489926,1946,133323,5621,229,141119,2175
17,0.19944143461060457,0.9666451718053558,0.29904761904761906,0.8662068965517241,0.29904761904761906,0.8662068965517241,0.44460176991150446,0.6392585105376519,0.6392585105376519,0.8076433567214428,0.048399636313555885,0.7592437204078869,0.04464317349187565,0.02042956653604405,1884,134528,4416,291,141119,2175
18,0.19726432141234085,0.9645759961450974,0.28606060606060607,0.8680459770114942,0.28606060606060607,0.8680459770114942,0.43031339031339033,0.641120656893075,0.641120656893075,0.8106020620615548,0.05106927915038304,0.7595327829111718,0.046769038896250684,0.02154210276433365,1888,134232,4712,287,141119,2175
19,0.1943334700589667,0.9778555687044268,0.39349775784753366,0.8068965517241379,0.39349775784753366,0.8068965517241379,0.5290128108515448,0.6421922835244174,0.6421922835244174,0.7538821970494786,0.03357787141159791,0.7203043256378806,0.031604532345042124,0.014788936996435633,1755,136239,2705,420,141119,2175
20,0.1930933819330337,0.952486908212218,0.2320794889992903,0.9020689655172414,0.2320794889992903,0.9020689655172414,0.3691786621507197,0.6211469403658394,0.6211469403658394,0.8467148569594445,0.06672714402480087,0.7799877129346436,0.05990688709528837,0.03125730766232754,1962,132452,6492,213,141119,2175
