path,first_line,second_line,critical,relay_cascade,total_load_shed_mw,critical_mechanism,p_shed_first,p_shed_second,path_prob_score,second_only_score,path_prob_rank,second_only_rank,rank_gap,relay_trip_labels,final_outage_labels,full_cascade_path
L093->L183,L093,L183,True,True,81.35922639729833,relay_cascade,0.00015086027,0.9999802112579346,0.00015085728466502905,0.9999802112579346,20810,65,20745,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L093,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L093->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L093->L181,L093,L181,True,True,20.772296104867053,relay_cascade,0.00015086027,0.9999212026596069,0.00015084838261195303,0.9999212026596069,20811,164,20647,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L093,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L093->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L183,L091,L183,True,True,81.35922639729833,relay_cascade,0.00015664459,0.9999817609786987,0.00015664173295598625,0.9999817609786987,20659,63,20596,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L091,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L091->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L181,L091,L181,True,True,20.772296104867053,relay_cascade,0.00015664459,0.999909520149231,0.00015663041682087303,0.999909520149231,20660,221,20439,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L091,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L091->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L093->L016,L093,L016,True,True,31.514792047850804,relay_cascade,0.00015086027,0.9995803236961365,0.00015079695751948655,0.9995803236961365,20817,441,20376,"L018,L045,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L016,L018,L045,L060,L093,L102,L115,L128,L134,L140,L155,L158,L178,L182",L093->L016->L018->L045->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L016,L091,L016,True,True,31.514792047850804,relay_cascade,0.00015664459,0.9996535778045654,0.00015659032483722926,0.9996535778045654,20662,392,20270,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L016,L018,L046,L060,L091,L102,L115,L128,L134,L140,L155,L158,L178,L182",L091->L016->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L093->L180,L093,L180,True,True,7.272188818003705,relay_cascade,0.00015086027,0.979852557182312,0.00014782082133671403,0.979852557182312,20888,843,20045,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L093,L102,L115,L128,L134,L140,L155,L158,L178,L180,L182",L093->L180->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L061,L091,L061,True,True,33.88157185629734,relay_cascade,0.00015664459,0.41084587574005127,6.435678375849127e-05,0.41084587574005127,23838,3947,19891,"L018,L060,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L061,L091,L115,L128,L134,L140,L155,L158,L178,L182",L091->L061->L018->L060->L115->L128->L134->L140->L155->L158->L178->L182
L093->L051,L093,L051,True,True,36.76716258821504,relay_cascade,0.00015086027,0.9600990414619446,0.00014484080062169015,0.9600990414619446,20948,1060,19888,"L018,L044,L045,L046,L056,L057,L058,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L044,L045,L046,L051,L056,L057,L058,L060,L093,L102,L115,L128,L134,L140,L155,L158,L178,L182",L093->L051->L018->L044->L045->L046->L056->L057->L058->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L093->L061,L093,L061,True,True,33.88157185629734,relay_cascade,0.00015086027,0.4421581029891968,6.670409079963804e-05,0.4421581029891968,23700,3825,19875,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L061,L093,L102,L115,L128,L134,L140,L155,L158,L178,L182",L093->L061->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L184,L091,L184,True,True,21.648461416338748,relay_cascade,0.00015664459,0.5096977353096008,7.984139277150095e-05,0.5096977353096008,23078,3207,19871,"L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L046,L060,L091,L102,L115,L128,L134,L140,L155,L158,L178,L182,L184",L091->L184->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L147,L091,L147,True,True,43.59265123807146,relay_cascade,0.00015664459,0.9504863023757935,0.0001488885371362722,0.9504863023757935,20861,1149,19712,"L018,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L182","L018,L060,L091,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L182",L091->L147->L018->L060->L102->L115->L128->L134->L140->L155->L156->L158->L178->L182
L093->L047,L093,L047,True,True,31.300605334860517,relay_cascade,0.00015086027,0.9287537336349487,0.00014011203901967645,0.9287537336349487,21075,1379,19696,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L047,L060,L093,L102,L115,L128,L134,L140,L155,L158,L178,L182",L093->L047->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L093->L184,L093,L184,True,True,21.648461416338748,relay_cascade,0.00015086027,0.8259523510932922,0.00012460339469306888,0.8259523510932922,21530,1939,19591,"L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L046,L060,L093,L102,L115,L128,L134,L140,L155,L158,L178,L182,L184",L093->L184->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L093->L147,L093,L147,True,True,43.59265123807146,relay_cascade,0.00015086027,0.8106130361557007,0.00012228930149996877,0.8106130361557007,21595,2034,19561,"L018,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L182","L018,L060,L093,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L182",L093->L147->L018->L060->L102->L115->L128->L134->L140->L155->L156->L158->L178->L182
L091->L180,L091,L180,True,True,7.272188818003705,relay_cascade,0.00015664459,0.9189056754112244,0.00014394160277346433,0.9189056754112244,20963,1440,19523,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L091,L102,L115,L128,L134,L140,L155,L158,L178,L180,L182",L091->L180->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L051,L091,L051,True,True,36.76716258821504,relay_cascade,0.00015664459,0.8441022634506226,0.00013222405297629475,0.8441022634506226,21300,1784,19516,"L018,L044,L045,L046,L056,L057,L058,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L044,L045,L046,L051,L056,L057,L058,L060,L091,L102,L115,L128,L134,L140,L155,L158,L178,L182",L091->L051->L018->L044->L045->L046->L056->L057->L058->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L091->L047,L091,L047,True,True,31.300605334860517,relay_cascade,0.00015664459,0.8053533434867859,0.00012615424429561673,0.8053533434867859,21481,2066,19415,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L047,L060,L091,L102,L115,L128,L134,L140,L155,L158,L178,L182",L091->L047->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L088->L181,L088,L181,True,True,20.772296104867053,relay_cascade,0.00023202553,0.9999220371246338,0.00023200744062252285,0.9999220371246338,19133,162,18971,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L088,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L088->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L088->L183,L088,L183,True,True,81.35922639729833,relay_cascade,0.00023202553,0.9998692274093628,0.00023199518742034794,0.9998692274093628,19134,288,18846,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L088,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L088->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L088->L016,L088,L016,True,True,31.514792047850804,relay_cascade,0.00023202553,0.9976798892021179,0.0002314872050624627,0.9976798892021179,19141,508,18633,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L016,L018,L046,L060,L088,L102,L115,L128,L134,L140,L155,L158,L178,L182",L088->L016->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L088->L090,L088,L090,True,False,5.922413146222316,island_only,0.00023202553,0.4599466025829315,0.00010671935423600406,0.4599466025829315,22089,3521,18568,,"L088,L090",L088->L090
L088->L061,L088,L061,True,True,33.88157185629734,relay_cascade,0.00023202553,0.4365765154361725,0.00010129689737963111,0.4365765154361725,22286,3838,18448,"L018,L060,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L061,L088,L115,L128,L134,L140,L155,L158,L178,L182",L088->L061->L018->L060->L115->L128->L134->L140->L155->L158->L178->L182
L088->L180,L088,L180,True,True,7.272188818003705,relay_cascade,0.00023202553,0.9676088094711304,0.00022450994685020806,0.9676088094711304,19264,980,18284,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L088,L102,L115,L128,L134,L140,L155,L158,L178,L180,L182",L088->L180->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L088->L008,L088,L008,True,True,25.67010059251546,relay_cascade,0.00023202553,0.9494364261627197,0.00022029348998171093,0.9494364261627197,19336,1162,18174,"L018,L019,L020,L022,L045,L060,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182","L008,L018,L019,L020,L022,L045,L060,L088,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182",L088->L008->L018->L019->L020->L022->L045->L060->L102->L109->L111->L115->L128->L134->L140->L155->L178->L182
L088->L147,L088,L147,True,True,43.59265123807146,relay_cascade,0.00023202553,0.8441002368927002,0.00019585280483815431,0.8441002368927002,19820,1785,18035,"L018,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L182","L018,L060,L088,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L182",L088->L147->L018->L060->L102->L115->L128->L134->L140->L155->L156->L158->L178->L182
L088->L051,L088,L051,True,True,36.76716258821504,relay_cascade,0.00023202553,0.8636288046836853,0.00020038393112999857,0.8636288046836853,19725,1699,18026,"L018,L044,L045,L046,L056,L057,L058,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L044,L045,L046,L051,L056,L057,L058,L060,L088,L102,L115,L128,L134,L140,L155,L158,L178,L182",L088->L051->L018->L044->L045->L046->L056->L057->L058->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L088->L184,L088,L184,True,True,21.648461416338748,relay_cascade,0.00023202553,0.8364986181259155,0.00019408903521493317,0.8364986181259155,19842,1852,17990,"L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L046,L060,L088,L102,L115,L128,L134,L140,L155,L158,L178,L182,L184",L088->L184->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L088->L047,L088,L047,True,True,31.300605334860517,relay_cascade,0.00023202553,0.7950303554534912,0.0001844673395901847,0.7950303554534912,20057,2134,17923,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L047,L060,L088,L102,L115,L128,L134,L140,L155,L158,L178,L182",L088->L047->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L181,L089,L181,True,True,20.772296104867053,relay_cascade,0.0003553937,0.999910831451416,0.0003553620100595951,0.999910831451416,17413,216,17197,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L089,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L089->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L016,L089,L016,True,True,31.514792047850804,relay_cascade,0.0003553937,0.9997742772102356,0.0003553134795425713,0.9997742772102356,17414,313,17101,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L016,L018,L046,L060,L089,L102,L115,L128,L134,L140,L155,L158,L178,L182",L089->L016->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L183,L089,L183,True,True,81.35922639729833,relay_cascade,0.0003553937,0.9997605681419373,0.0003553086074260652,0.9997605681419373,17415,320,17095,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L089,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L089->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L061,L089,L061,True,True,33.88157185629734,relay_cascade,0.0003553937,0.3971514105796814,0.0001411451092661321,0.3971514105796814,21036,4046,16990,"L018,L060,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L061,L089,L115,L128,L134,L140,L155,L158,L178,L182",L089->L061->L018->L060->L115->L128->L134->L140->L155->L158->L178->L182
L089->L184,L089,L184,True,True,21.648461416338748,relay_cascade,0.0003553937,0.5328950881958008,0.00018938755710573194,0.5328950881958008,19942,3095,16847,"L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L046,L060,L089,L102,L115,L128,L134,L140,L155,L158,L178,L182,L184",L089->L184->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L180,L089,L180,True,True,7.272188818003705,relay_cascade,0.0003553937,0.9884948134422302,0.00035130482918004394,0.9884948134422302,17469,712,16757,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L089,L102,L115,L128,L134,L140,L155,L158,L178,L180,L182",L089->L180->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L181,L084,L181,True,True,20.772296104867053,relay_cascade,0.00041880563,0.9999228715896606,0.00041877332818751693,0.9999228715896606,16746,156,16590,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L084,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L084->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L087->L181,L087,L181,True,True,20.772296104867053,relay_cascade,0.00042327464,0.9999204874038696,0.00042324098433449745,0.9999204874038696,16705,173,16532,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L087,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L087->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L147,L089,L147,True,True,43.59265123807146,relay_cascade,0.0003553937,0.9480153918266296,0.00033691869775821564,0.9480153918266296,17636,1186,16450,"L018,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L182","L018,L060,L089,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L182",L089->L147->L018->L060->L102->L115->L128->L134->L140->L155->L156->L158->L178->L182
L084->L183,L084,L183,True,True,81.35922639729833,relay_cascade,0.00041880563,0.9997931122779846,0.00041871898425724206,0.9997931122779846,16748,311,16437,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L084,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L084->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L087->L183,L087,L183,True,True,81.35922639729833,relay_cascade,0.00042327464,0.9998549222946167,0.00042321323228648185,0.9998549222946167,16706,295,16411,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L087,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L087->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L061,L084,L061,True,True,33.88157185629734,relay_cascade,0.00041880563,0.4599466025829315,0.00019262822666110425,0.4599466025829315,19877,3505,16372,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L061,L084,L102,L115,L128,L134,L140,L155,L158,L178,L182",L084->L061->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L051,L089,L051,True,True,36.76716258821504,relay_cascade,0.0003553937,0.8884100914001465,0.0003157353495000362,0.8884100914001465,17892,1609,16283,"L018,L044,L045,L046,L056,L057,L058,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L044,L045,L046,L051,L056,L057,L058,L060,L089,L102,L115,L128,L134,L140,L155,L158,L178,L182",L089->L051->L018->L044->L045->L046->L056->L057->L058->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L016,L084,L016,True,True,31.514792047850804,relay_cascade,0.00041880563,0.9976239800453186,0.0004178105394659871,0.9976239800453186,16757,509,16248,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L016,L018,L046,L060,L084,L102,L115,L128,L134,L140,L155,L158,L178,L182",L084->L016->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L089->L047,L089,L047,True,True,31.300605334860517,relay_cascade,0.0003553937,0.8196871876716614,0.0002913116624692261,0.8196871876716614,18234,1990,16244,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L047,L060,L089,L102,L115,L128,L134,L140,L155,L158,L178,L182",L089->L047->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L087->L016,L087,L016,True,True,31.514792047850804,relay_cascade,0.00042327464,0.9976180195808411,0.0004222664080955935,0.9976180195808411,16712,510,16202,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L016,L018,L046,L060,L087,L102,L115,L128,L134,L140,L155,L158,L178,L182",L087->L016->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L087->L061,L087,L061,True,True,33.88157185629734,relay_cascade,0.00042327464,0.45334863662719727,0.00019189098096286775,0.45334863662719727,19892,3786,16106,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L061,L087,L102,L115,L128,L134,L140,L155,L158,L178,L182",L087->L061->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L180,L084,L180,True,True,7.272188818003705,relay_cascade,0.00041880563,0.9672501087188721,0.0004050897911495757,0.9672501087188721,16892,985,15907,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L084,L102,L115,L128,L134,L140,L155,L158,L178,L180,L182",L084->L180->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L087->L180,L087,L180,True,True,7.272188818003705,relay_cascade,0.00042327464,0.9668686985969543,0.0004092510003258944,0.9668686985969543,16844,992,15852,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L087,L102,L115,L128,L134,L140,L155,L158,L178,L180,L182",L087->L180->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L008,L084,L008,True,True,25.67010059251546,relay_cascade,0.00041880563,0.9494410753250122,0.0003976312676993692,0.9494410753250122,16977,1161,15816,"L018,L019,L020,L022,L045,L060,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182","L008,L018,L019,L020,L022,L045,L060,L084,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182",L084->L008->L018->L019->L020->L022->L045->L060->L102->L109->L111->L115->L128->L134->L140->L155->L178->L182
L087->L008,L087,L008,True,True,25.67010059251546,relay_cascade,0.00042327464,0.9487329125404358,0.00040157458201170443,0.9487329125404358,16924,1173,15751,"L018,L019,L020,L022,L045,L060,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182","L008,L018,L019,L020,L022,L045,L060,L087,L102,L109,L111,L115,L128,L134,L140,L155,L178,L182",L087->L008->L018->L019->L020->L022->L045->L060->L102->L109->L111->L115->L128->L134->L140->L155->L178->L182
L079->L181,L079,L181,True,True,20.772296104867053,relay_cascade,0.0005169866,0.9999204874038696,0.0005169454930532693,0.9999204874038696,15897,172,15725,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L060,L079,L102,L115,L128,L134,L140,L155,L158,L178,L181,L182",L079->L181->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L087->L051,L087,L051,True,True,36.76716258821504,relay_cascade,0.00042327464,0.9413328766822815,0.0003984423344978571,0.9413328766822815,16967,1287,15680,"L018,L044,L045,L046,L056,L057,L058,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L044,L045,L046,L051,L056,L057,L058,L060,L087,L102,L115,L128,L134,L140,L155,L158,L178,L182",L087->L051->L018->L044->L045->L046->L056->L057->L058->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L147,L084,L147,True,True,43.59265123807146,relay_cascade,0.00041880563,0.840965747833252,0.0003522011898297262,0.840965747833252,17452,1813,15639,"L018,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L182","L018,L060,L084,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L182",L084->L147->L018->L060->L102->L115->L128->L134->L140->L155->L156->L158->L178->L182
L084->L184,L084,L184,True,True,21.648461416338748,relay_cascade,0.00041880563,0.8362010717391968,0.0003502057166564095,0.8362010717391968,17478,1855,15623,"L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L046,L060,L084,L102,L115,L128,L134,L140,L155,L158,L178,L182,L184",L084->L184->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L051,L084,L051,True,True,36.76716258821504,relay_cascade,0.00041880563,0.8311570286750793,0.00034809324302319467,0.8311570286750793,17505,1894,15611,"L018,L044,L045,L046,L056,L057,L058,L060,L077,L078,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L044,L045,L046,L051,L056,L057,L058,L060,L077,L078,L084,L102,L115,L128,L134,L140,L155,L158,L178,L182",L084->L051->L018->L044->L045->L046->L056->L057->L058->L060->L077->L078->L102->L115->L128->L134->L140->L155->L158->L178->L182
L079->L183,L079,L183,True,True,81.35922639729833,relay_cascade,0.0005169866,0.9998509883880615,0.0005169095629933834,0.9998509883880615,15900,296,15604,"L018,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L060,L079,L102,L115,L128,L134,L140,L155,L158,L178,L182,L183",L079->L183->L018->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L087->L147,L087,L147,True,True,43.59265123807146,relay_cascade,0.00042327464,0.8420579433441162,0.0003564217728281212,0.8420579433441162,17399,1804,15595,"L018,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L182","L018,L060,L087,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L182",L087->L147->L018->L060->L102->L115->L128->L134->L140->L155->L156->L158->L178->L182
L087->L047,L087,L047,True,True,31.300605334860517,relay_cascade,0.00042327464,0.8785919547080994,0.00037188569333596706,0.8785919547080994,17228,1651,15577,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L047,L060,L087,L102,L115,L128,L134,L140,L155,L158,L178,L182",L087->L047->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
L084->L047,L084,L047,True,True,31.300605334860517,relay_cascade,0.00041880563,0.8209584951400757,0.00034382203976099135,0.8209584951400757,17551,1975,15576,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L158,L178,L182","L018,L046,L047,L060,L084,L102,L115,L128,L134,L140,L155,L158,L178,L182",L084->L047->L018->L046->L060->L102->L115->L128->L134->L140->L155->L158->L178->L182
