top_rank,top_bucket,scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,error
43,"top_50,top_100",1,20260708,L001->L059,L001,L059,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L059",2,
44,"top_50,top_100",1,20260708,L001->L060,L001,L060,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L060",2,
45,"top_50,top_100",1,20260708,L001->L061,L001,L061,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L061",2,
46,"top_50,top_100",1,20260708,L001->L062,L001,L062,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L062",2,
47,"top_50,top_100",1,20260708,L001->L063,L001,L063,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L063",2,
48,"top_50,top_100",1,20260708,L001->L064,L001,L064,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L064",2,
49,"top_50,top_100",1,20260708,L001->L065,L001,L065,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L065",2,
50,"top_50,top_100",1,20260708,L001->L066,L001,L066,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L066",2,
51,top_100,1,20260708,L001->L067,L001,L067,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L067",2,
52,top_100,1,20260708,L001->L068,L001,L068,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L068",2,
53,top_100,1,20260708,L001->L069,L001,L069,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L069",2,
54,top_100,1,20260708,L001->L070,L001,L070,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L070",2,
55,top_100,1,20260708,L001->L071,L001,L071,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L071",2,
56,top_100,1,20260708,L001->L072,L001,L072,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L072",2,
57,top_100,1,20260708,L001->L073,L001,L073,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L073",2,
58,top_100,1,20260708,L001->L074,L001,L074,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L074",2,
59,top_100,1,20260708,L001->L075,L001,L075,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L075",2,
60,top_100,1,20260708,L001->L076,L001,L076,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L076",2,
61,top_100,1,20260708,L001->L077,L001,L077,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L077",2,
62,top_100,1,20260708,L001->L078,L001,L078,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L078",2,
63,top_100,1,20260708,L001->L079,L001,L079,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L079",2,
64,top_100,1,20260708,L001->L080,L001,L080,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L080",2,
65,top_100,1,20260708,L001->L081,L001,L081,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L081",2,
66,top_100,1,20260708,L001->L082,L001,L082,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L082",2,
67,top_100,1,20260708,L001->L083,L001,L083,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L083",2,
68,top_100,1,20260708,L001->L084,L001,L084,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L084",2,
69,top_100,1,20260708,L001->L085,L001,L085,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L085",2,
70,top_100,1,20260708,L001->L086,L001,L086,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L086",2,
71,top_100,1,20260708,L001->L087,L001,L087,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L087",2,
72,top_100,1,20260708,L001->L088,L001,L088,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L088",2,
73,top_100,1,20260708,L001->L089,L001,L089,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L089",2,
74,top_100,1,20260708,L001->L090,L001,L090,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L090",2,
75,top_100,1,20260708,L001->L091,L001,L091,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L091",2,
76,top_100,1,20260708,L001->L092,L001,L092,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L092",2,
77,top_100,1,20260708,L001->L097,L001,L097,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L097",2,
78,top_100,1,20260708,L001->L098,L001,L098,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L098",2,
79,top_100,1,20260708,L001->L099,L001,L099,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L099",2,
80,top_100,1,20260708,L001->L100,L001,L100,True,False,0.0,0.0,0.0,0.0555555555555555,"L001,L100",2,
81,top_100,1,20260708,L001->L038,L001,L038,True,False,0.0,0.0,0.0,0.0487151504656329,"L001,L038",2,
82,top_100,1,20260708,L001->L002,L001,L002,True,False,0.0,0.0,0.0,0.0484191904112607,"L001,L002",2,
83,top_100,1,20260708,L001->L047,L001,L047,True,False,0.0,0.0,0.0,0.0476947258998762,"L001,L047",2,
84,top_100,1,20260708,L001->L009,L001,L009,True,False,0.0,0.0,0.0,0.046756711413985,"L001,L009",2,
85,top_100,1,20260708,L001->L032,L001,L032,True,False,0.0,0.0,0.0,0.0460108528606803,"L001,L032",2,
86,top_100,1,20260708,L001->L008,L001,L008,True,False,0.0,0.0,0.0,0.0458863116399776,"L001,L008",2,
87,top_100,1,20260708,L001->L101,L001,L101,True,False,0.0,0.0,0.0,0.0441590299384797,"L001,L101",2,
88,top_100,1,20260708,L001->L010,L001,L010,True,False,0.0,0.0,0.0,0.0439837220898578,"L001,L010",2,
89,top_100,1,20260708,L001->L093,L001,L093,True,False,0.0,0.0,0.0,0.0437251090257893,"L001,L093",2,
90,top_100,1,20260708,L001->L007,L001,L007,True,False,0.0,0.0,0.0,0.0404260723775037,"L001,L007",2,
91,top_100,1,20260708,L001->L095,L001,L095,True,False,0.0,0.0,0.0,0.0400170084804882,"L001,L095",2,
92,top_100,1,20260708,L001->L044,L001,L044,True,False,0.0,0.0,0.0,0.0386837599614767,"L001,L044",2,
93,top_100,1,20260708,L001->L014,L001,L014,True,False,0.0,0.0,0.0,0.0386494168477162,"L001,L014",2,
94,top_100,1,20260708,L001->L054,L001,L054,True,False,0.0,0.0,0.0,0.0383058115656945,"L001,L054",2,
95,top_100,1,20260708,L001->L094,L001,L094,True,False,0.0,0.0,0.0,0.03766412647198,"L001,L094",2,
96,top_100,1,20260708,L001->L055,L001,L055,True,False,0.0,0.0,0.0,0.0375845721830009,"L001,L055",2,
97,top_100,1,20260708,L001->L018,L001,L018,True,False,0.0,0.0,0.0,0.0372327094226286,"L001,L018",2,
98,top_100,1,20260708,L001->L016,L001,L016,True,False,0.0,0.0,0.0,0.0372223278393736,"L001,L016",2,
99,top_100,1,20260708,L001->L051,L001,L051,True,False,0.0,0.0,0.0,0.0371311137212639,"L001,L051",2,
100,top_100,1,20260708,L001->L096,L001,L096,True,False,0.0,0.0,0.0,0.036314049119409,"L001,L096",2,
