group,frequency_threshold_hz,rotor_angle_threshold_deg,num_cases,unstable_count,unstable_fraction,mean_frequency_nadir_hz,mean_rotor_angle_separation_coi_deg,mean_dynamic_stress_score
low_score_top20,48.5,180.0,20,19,0.95,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.5,360.0,20,19,0.95,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.5,540.0,20,19,0.95,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.5,720.0,20,19,0.95,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,48.5,900.0,20,19,0.95,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.0,180.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.0,360.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.0,540.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.0,720.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.0,900.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.5,180.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.5,360.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.5,540.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.5,720.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
low_score_top20,49.5,900.0,20,20,1.0,46.51841339594373,179.97544871196686,11.752783793910762
random_top20,48.0,180.0,20,18,0.9,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.0,360.0,20,18,0.9,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.0,540.0,20,18,0.9,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.0,720.0,20,18,0.9,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.0,900.0,20,18,0.9,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.5,180.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.5,360.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.5,540.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.5,720.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,48.5,900.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.0,180.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.0,360.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.0,540.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.0,720.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.0,900.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.5,180.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.5,360.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.5,540.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.5,720.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
random_top20,49.5,900.0,20,20,1.0,45.93163308006833,179.96676451895524,16.14368768433357
