check,value
target_bus_missing_rows,"[""single_line_trip"", ""clean_lab_handwired_line_trip_L02"", ""clean_lab_handwired_line_trip_L03"", ""clean_lab_handwired_line_trip_L04"", ""clean_lab_handwired_line_trip_L05"", ""clean_lab_handwired_line_trip_L07"", ""clean_lab_handwired_line_trip_L06"", ""clean_lab_handwired_line_trip_L08"", ""clean_lab_handwired_line_trip_L09"", ""clean_lab_handwired_line_trip_L10"", ""clean_lab_handwired_line_trip_L17"", ""clean_lab_handwired_line_trip_L15"", ""clean_lab_handwired_line_trip_L14"", ""clean_lab_handwired_line_trip_L13"", ""clean_lab_handwired_line_trip_L11"", ""clean_lab_handwired_line_trip_L18"", ""clean_lab_handwired_line_trip_L16"", ""clean_lab_handwired_line_trip_L24"", ""clean_lab_handwired_line_trip_L23"", ""clean_lab_handwired_line_trip_L22"", ""clean_lab_handwired_line_trip_L21"", ""clean_lab_handwired_line_trip_L20"", ""clean_lab_handwired_line_trip_L19"", ""clean_lab_handwired_line_trip_L27"", ""clean_lab_handwired_line_trip_L28"", ""clean_lab_handwired_line_trip_L29"", ""clean_lab_handwired_line_trip_L30"", ""clean_lab_handwired_line_trip_L31"", ""clean_lab_handwired_line_trip_L32"", ""clean_lab_handwired_line_trip_L25"", ""clean_lab_handwired_line_trip_L26"", ""clean_lab_handwired_line_trip_L33"", ""clean_lab_handwired_line_trip_L34"", ""relay_trip_test"", ""three_phase_fault_clear"", ""NF01"", ""NF02"", ""NF03"", ""NF04"", ""NF06""]"
target_bus_or_component_missing_rows,"[""three_phase_fault_clear""]"
line_id_missing_rows,"[""single_line_trip"", ""clean_lab_handwired_line_trip_L02"", ""clean_lab_handwired_line_trip_L03"", ""clean_lab_handwired_line_trip_L04"", ""clean_lab_handwired_line_trip_L05"", ""clean_lab_handwired_line_trip_L07"", ""clean_lab_handwired_line_trip_L06"", ""clean_lab_handwired_line_trip_L08"", ""clean_lab_handwired_line_trip_L09"", ""clean_lab_handwired_line_trip_L10"", ""clean_lab_handwired_line_trip_L17"", ""clean_lab_handwired_line_trip_L15"", ""clean_lab_handwired_line_trip_L14"", ""clean_lab_handwired_line_trip_L13"", ""clean_lab_handwired_line_trip_L11"", ""clean_lab_handwired_line_trip_L18"", ""clean_lab_handwired_line_trip_L16"", ""clean_lab_handwired_line_trip_L24"", ""clean_lab_handwired_line_trip_L23"", ""clean_lab_handwired_line_trip_L22"", ""clean_lab_handwired_line_trip_L21"", ""clean_lab_handwired_line_trip_L20"", ""clean_lab_handwired_line_trip_L19"", ""clean_lab_handwired_line_trip_L27"", ""clean_lab_handwired_line_trip_L28"", ""clean_lab_handwired_line_trip_L29"", ""clean_lab_handwired_line_trip_L30"", ""clean_lab_handwired_line_trip_L31"", ""clean_lab_handwired_line_trip_L32"", ""clean_lab_handwired_line_trip_L25"", ""clean_lab_handwired_line_trip_L26"", ""clean_lab_handwired_line_trip_L33"", ""clean_lab_handwired_line_trip_L34"", ""relay_trip_test"", ""three_phase_fault_clear"", ""NF01"", ""NF02"", ""NF03"", ""NF04"", ""NF06""]"
dynamic_stress_score_missing_rows,[]
dynamic_stress_score_nonfinite_rows,[]
dynamic_stress_score_out_of_range_rows,[]
unstable_flag_value_counts,"{""true"": 45, ""false"": 34}"
unstable_flag_false_buses,"[""B1""]"
num_formal_or_existing_line_trip_rows,33
num_non_line_trip_rows,44
num_bus_fault_rows,39
num_temporary_smoke_candidates,39
num_candidate_not_formal_label_rows,39
num_training_ready_label_candidate_rows,39
num_training_ready_label_v2_rows,79
compact_dynamic_measurement_columns_present,"[""min_voltage_pu"", ""max_voltage_pu"", ""min_frequency_hz"", ""max_frequency_hz"", ""max_speed_deviation"", ""max_rotor_angle_separation_deg""]"
compact_dynamic_measurement_features_are_post_fault,True
target_feature_leakage_risk_if_used_as_inputs,True
no_dynamic_measurement_feature_set_required_for_future_audit,True
label_family_holdout_required_for_future_audit,True
bus_fault_holdout_required_for_future_audit,True
leave_one_bus_fault_out_required_for_future_audit,True
simulink_run,False
actual_smoke_run,False
labels_exported,False
gcn_trained,False
reranker_retrained,False
gcn_usefulness_audit_run,False
preview_training_run,False
should_train_now,False
failed_checks,[]
composition_review_passed,True
recommended_next_step,"run v2-plus-all-bus-fault preview/no-leakage comparison in a separate round, not GCN training"
source_export_summary_count,79
source_coverage_all_buses,True
