method,candidate_evaluations,total_physical_evaluations,critical_paths_found,relay_cascade_paths_found,island_only_paths_found,captured_load_shed_mw,critical_paths_found_std,relay_cascade_paths_found_std,island_only_paths_found_std,captured_load_shed_mw_std
LODF_yP,16500,16500,901.0,791.0,110.0,30037.12642939225,,,,
LODF_yP,17000,17000,925.0,815.0,110.0,30896.18502885185,,,,
LODF_yP,17500,17500,954.0,844.0,110.0,31871.852097442297,,,,
LODF_yP,18000,18000,982.0,872.0,110.0,32741.12378729957,,,,
LODF_yP,18500,18500,1005.0,895.0,110.0,33602.21624022371,,,,
LODF_yP,19000,19000,1035.0,925.0,110.0,34593.32829783822,,,,
LODF_yP,19500,19500,1062.0,952.0,110.0,35476.86080929203,,,,
LODF_yP,20000,20000,1087.0,977.0,110.0,36318.0829488607,,,,
LODF_yP,20500,20500,1114.0,1004.0,110.0,37229.949580232445,,,,
LODF_yP,21000,21000,1142.0,1032.0,110.0,38115.58880422851,,,,
LODF_yP,21500,21500,1168.0,1058.0,110.0,38971.62223487173,,,,
LODF_yP,22000,22000,1191.0,1081.0,110.0,39781.70011207262,,,,
LODF_yP,22500,22500,1219.0,1109.0,110.0,40731.69708007051,,,,
LODF_yP,23000,23000,1247.0,1137.0,110.0,41683.61628935806,,,,
LODF_yP,23500,23500,1271.0,1161.0,110.0,42499.604969006185,,,,
LODF_yP,24000,24000,1300.0,1190.0,110.0,43455.11258179052,,,,
LODF_yP,24500,24500,1327.0,1217.0,110.0,44323.61571547372,,,,
LODF_yP,25000,25000,1350.0,1240.0,110.0,45102.40059186165,,,,
LODF_yP,25500,25500,1379.0,1269.0,110.0,46102.97887387453,,,,
LODF_yP,26000,26000,1407.0,1297.0,110.0,47052.97584187242,,,,
LODF_yP,26500,26500,1432.0,1322.0,110.0,47841.16033975983,,,,
LODF_yP,27000,27000,1459.0,1349.0,110.0,48758.69029774859,,,,
LODF_yP,27500,27500,1488.0,1378.0,110.0,49743.80439903912,,,,
LODF_yP,28000,28000,1516.0,1406.0,110.0,50601.858604362846,,,,
LODF_yP,28500,28500,1541.0,1431.0,110.0,51388.25840373356,,,,
LODF_yP,29000,29000,1569.0,1459.0,110.0,52343.15317621909,,,,
LODF_yP,29500,29500,1598.0,1488.0,110.0,53258.998446138205,,,,
LODF_yP,30000,30000,1626.0,1515.0,111.0,54122.47695860504,,,,
LODF_yP,30500,30500,1649.0,1538.0,111.0,54932.05672182415,,,,
LODF_yP,31000,31000,1679.0,1568.0,111.0,55915.96754134953,,,,
LODF_yP,31500,31500,1704.0,1593.0,111.0,56693.8785804684,,,,
LODF_yP,32000,32000,1727.0,1616.0,111.0,57503.95645766929,,,,
LODF_yP,32500,32500,1754.0,1643.0,111.0,58428.28332507466,,,,
LODF_yP,32560,32560,1754.0,1643.0,111.0,58428.28332507466,,,,
N1_gate_plus_LODF_yP,50,236,42.0,38.0,4.0,1430.2432912443696,,,,
N1_gate_plus_LODF_yP,100,286,86.0,82.0,4.0,2934.0209076651686,,,,
N1_gate_plus_LODF_yP,150,336,131.0,127.0,4.0,4474.565686674183,,,,
N1_gate_plus_LODF_yP,163,349,142.0,134.0,8.0,4805.466756858494,,,,
N1_gate_plus_LODF_yP,200,386,174.0,159.0,15.0,5941.576140506772,,,,
N1_gate_plus_LODF_yP,250,436,218.0,203.0,15.0,7445.353756927577,,,,
N1_gate_plus_LODF_yP,300,486,263.0,248.0,15.0,8985.898535936592,,,,
N1_gate_plus_LODF_yP,326,512,286.0,271.0,15.0,9742.035538337208,,,,
N1_gate_plus_LODF_yP,350,536,308.0,293.0,15.0,10526.443314945607,,,,
N1_gate_plus_LODF_yP,400,586,351.0,329.0,22.0,11993.453768778194,,,,
N1_gate_plus_LODF_yP,450,636,396.0,374.0,22.0,13533.998547787209,,,,
N1_gate_plus_LODF_yP,500,686,440.0,412.0,28.0,15037.77616420801,,,,
N1_gate_plus_LODF_yP,550,736,482.0,443.0,39.0,16468.019455452377,,,,
N1_gate_plus_LODF_yP,600,786,522.0,461.0,61.0,17824.72842152032,,,,
N1_gate_plus_LODF_yP,650,836,564.0,497.0,67.0,19254.97171276469,,,,
N1_gate_plus_LODF_yP,651,837,565.0,498.0,67.0,19275.74400886956,,,,
N1_gate_plus_LODF_yP,700,886,609.0,542.0,67.0,20795.51649177371,,,,
N1_gate_plus_LODF_yP,750,936,652.0,585.0,67.0,22244.18044764542,,,,
N1_gate_plus_LODF_yP,800,986,697.0,630.0,67.0,23784.725226654435,,,,
N1_gate_plus_LODF_yP,850,1036,742.0,675.0,67.0,25325.27000566345,,,,
N1_gate_plus_LODF_yP,900,1086,787.0,720.0,67.0,26865.814784672464,,,,
N1_gate_plus_LODF_yP,950,1136,832.0,765.0,67.0,28406.35956368148,,,,
N1_gate_plus_LODF_yP,1000,1186,877.0,810.0,67.0,29946.904342690494,,,,
N1_gate_plus_LODF_yP,1500,1686,1324.0,1257.0,67.0,45242.05064501556,,,,
N1_gate_plus_LODF_yP,1628,1814,1439.0,1372.0,67.0,49144.45938262522,,,,
N1_gate_plus_LODF_yP,2000,2186,1559.0,1492.0,67.0,53240.344544251806,,,,
N1_gate_plus_LODF_yP,2116,2302,1560.0,1493.0,67.0,53262.8500010134,,,,
N1_gate_plus_LODF_yP,2500,2686,1567.0,1495.0,72.0,53418.07846844722,,,,
N1_gate_plus_LODF_yP,3000,3186,1569.0,1497.0,72.0,53476.25297759145,,,,
N1_gate_plus_LODF_yP,3256,3442,1572.0,1500.0,72.0,53539.11263421123,,,,
N1_gate_plus_LODF_yP,3500,3686,1573.0,1501.0,72.0,53561.61809097283,,,,
N1_gate_plus_LODF_yP,4000,4186,1574.0,1502.0,72.0,53620.2268216573,,,,
N1_gate_plus_LODF_yP,4500,4686,1580.0,1504.0,76.0,53753.46124670155,,,,
N1_gate_plus_LODF_yP,4884,5070,1586.0,1507.0,79.0,53861.57614176547,,,,
N1_gate_plus_LODF_yP,5000,5186,1586.0,1507.0,79.0,53861.57614176547,,,,
N1_gate_plus_LODF_yP,5500,5686,1587.0,1508.0,79.0,53907.96900875243,,,,
N1_gate_plus_LODF_yP,6000,6186,1591.0,1512.0,79.0,53961.08863947797,,,,
N1_gate_plus_LODF_yP,6500,6686,1594.0,1515.0,79.0,54016.01512883353,,,,
N1_gate_plus_LODF_yP,6512,6698,1594.0,1515.0,79.0,54016.01512883353,,,,
N1_gate_plus_LODF_yP,7000,7186,1596.0,1517.0,79.0,54164.58315044576,,,,
N1_gate_plus_LODF_yP,7500,7686,1599.0,1520.0,79.0,54338.876161066735,,,,
N1_gate_plus_LODF_yP,8000,8186,1600.0,1521.0,79.0,54369.93433267986,,,,
N1_gate_plus_LODF_yP,8500,8686,1606.0,1524.0,82.0,54582.70879321719,,,,
N1_gate_plus_LODF_yP,9000,9186,1609.0,1527.0,82.0,54804.06839326167,,,,
N1_gate_plus_LODF_yP,9500,9686,1610.0,1528.0,82.0,54850.46126024862,,,,
N1_gate_plus_LODF_yP,10000,10186,1610.0,1528.0,82.0,54850.46126024862,,,,
N1_gate_plus_LODF_yP,10500,10686,1615.0,1529.0,86.0,54972.109978821405,,,,
N1_gate_plus_LODF_yP,11000,11186,1623.0,1534.0,89.0,55162.98135111019,,,,
N1_gate_plus_LODF_yP,11500,11686,1635.0,1540.0,95.0,55446.8745723859,,,,
N1_gate_plus_LODF_yP,12000,12186,1646.0,1542.0,104.0,55708.75786198387,,,,
N1_gate_plus_LODF_yP,12500,12686,1652.0,1543.0,109.0,55843.73184990521,,,,
N1_gate_plus_LODF_yP,13000,13186,1653.0,1544.0,109.0,55855.55794075021,,,,
N1_gate_plus_LODF_yP,13500,13686,1656.0,1546.0,110.0,55973.2409922904,,,,
N1_gate_plus_LODF_yP,14000,14186,1658.0,1548.0,110.0,56013.59519214859,,,,
N1_gate_plus_LODF_yP,14500,14686,1660.0,1550.0,110.0,56109.57254929219,,,,
N1_gate_plus_LODF_yP,15000,15186,1660.0,1550.0,110.0,56109.57254929219,,,,
N1_gate_plus_LODF_yP,15500,15686,1664.0,1554.0,110.0,56182.31462843445,,,,
N1_gate_plus_LODF_yP,16000,16186,1668.0,1558.0,110.0,56343.85650929756,,,,
N1_gate_plus_LODF_yP,16500,16686,1672.0,1562.0,110.0,56471.8722099203,,,,
N1_gate_plus_LODF_yP,17000,17186,1672.0,1562.0,110.0,56471.8722099203,,,,
N1_gate_plus_LODF_yP,17500,17686,1675.0,1565.0,110.0,56548.18162582171,,,,
N1_gate_plus_LODF_yP,18000,18186,1677.0,1567.0,110.0,56604.90989802735,,,,
N1_gate_plus_LODF_yP,18500,18686,1679.0,1569.0,110.0,56656.250099212375,,,,
N1_gate_plus_LODF_yP,19000,19186,1683.0,1573.0,110.0,56794.72926179975,,,,
N1_gate_plus_LODF_yP,19500,19686,1686.0,1576.0,110.0,56865.670699102455,,,,
N1_gate_plus_LODF_yP,20000,20186,1687.0,1577.0,110.0,56887.1845526014,,,,
N1_gate_plus_LODF_yP,20500,20686,1689.0,1579.0,110.0,56949.39788446348,,,,
N1_gate_plus_LODF_yP,21000,21186,1693.0,1583.0,110.0,57031.23196658527,,,,
N1_gate_plus_LODF_yP,21500,21686,1696.0,1586.0,110.0,57107.1097459354,,,,
N1_gate_plus_LODF_yP,22000,22186,1699.0,1589.0,110.0,57156.91013600283,,,,
N1_gate_plus_LODF_yP,22500,22686,1700.0,1590.0,110.0,57182.58023659534,,,,
N1_gate_plus_LODF_yP,23000,23186,1702.0,1592.0,110.0,57245.01749977607,,,,
N1_gate_plus_LODF_yP,23500,23686,1706.0,1596.0,110.0,57409.49910132818,,,,
N1_gate_plus_LODF_yP,24000,24186,1708.0,1598.0,110.0,57451.60831359792,,,,
N1_gate_plus_LODF_yP,24500,24686,1711.0,1601.0,110.0,57503.56135508174,,,,
N1_gate_plus_LODF_yP,25000,25186,1713.0,1603.0,110.0,57550.7453091732,,,,
N1_gate_plus_LODF_yP,25500,25686,1714.0,1604.0,110.0,57587.512471761416,,,,
N1_gate_plus_LODF_yP,26000,26186,1719.0,1609.0,110.0,57723.32316333964,,,,
N1_gate_plus_LODF_yP,26500,26686,1720.0,1610.0,110.0,57748.99326393215,,,,
N1_gate_plus_LODF_yP,27000,27186,1725.0,1615.0,110.0,57867.81929979939,,,,
N1_gate_plus_LODF_yP,27500,27686,1728.0,1618.0,110.0,57939.83304139187,,,,
N1_gate_plus_LODF_yP,28000,28186,1730.0,1620.0,110.0,58000.62027527703,,,,
N1_gate_plus_LODF_yP,28500,28686,1735.0,1625.0,110.0,58032.41700367261,,,,
N1_gate_plus_LODF_yP,29000,29186,1737.0,1627.0,110.0,58083.75720485763,,,,
N1_gate_plus_LODF_yP,29500,29686,1741.0,1631.0,110.0,58178.28329518501,,,,
N1_gate_plus_LODF_yP,30000,30186,1745.0,1635.0,110.0,58245.95745612198,,,,
N1_gate_plus_LODF_yP,30500,30686,1746.0,1635.0,111.0,58251.8798692682,,,,
N1_gate_plus_LODF_yP,31000,31186,1750.0,1639.0,111.0,58344.0720251757,,,,
N1_gate_plus_LODF_yP,31500,31686,1753.0,1642.0,111.0,58402.6132244822,,,,
N1_gate_plus_LODF_yP,32000,32186,1754.0,1643.0,111.0,58428.28332507471,,,,
N1_gate_plus_LODF_yP,32500,32686,1754.0,1643.0,111.0,58428.28332507471,,,,
N1_gate_plus_LODF_yP,32560,32746,1754.0,1643.0,111.0,58428.28332507471,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,50,236,49.0,39.0,10.0,3212.650417951357,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,100,286,92.0,77.0,15.0,5258.988021770553,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,150,336,138.0,121.0,17.0,7668.826916308762,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,163,349,151.0,132.0,19.0,8526.881367213597,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,200,386,187.0,165.0,22.0,10732.251731160048,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,250,436,232.0,210.0,22.0,13722.895756884223,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,300,486,276.0,253.0,23.0,16344.806954637925,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,326,512,301.0,274.0,27.0,17464.68504766731,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,350,536,320.0,292.0,28.0,18259.190206515144,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,400,586,356.0,326.0,30.0,19887.01603754568,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,450,636,389.0,354.0,35.0,21211.990778687585,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,500,686,413.0,373.0,40.0,22041.90533408112,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,550,736,437.0,395.0,42.0,22713.999427747443,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,600,786,472.0,426.0,46.0,23727.123620622115,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,650,836,512.0,465.0,47.0,24790.26272772081,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,651,837,513.0,466.0,47.0,24824.144299577107,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,700,886,549.0,501.0,48.0,25955.426622110284,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,750,936,589.0,540.0,49.0,27290.395376970224,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,800,986,632.0,582.0,50.0,28715.983241757403,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,850,1036,678.0,627.0,51.0,30211.65924933065,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,900,1086,725.0,674.0,51.0,31473.225562365853,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,950,1136,764.0,710.0,54.0,32631.02163707148,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,1000,1186,811.0,755.0,56.0,34117.15276902389,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,1500,1686,1299.0,1233.0,66.0,48579.76538944154,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,1628,1814,1424.0,1357.0,67.0,50794.824290847726,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,2000,2186,1576.0,1508.0,68.0,53745.73751079424,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,2116,2302,1596.0,1519.0,77.0,54231.12915705282,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,2500,2686,1626.0,1546.0,80.0,54913.592326201375,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,3000,3186,1652.0,1569.0,83.0,55501.39900299962,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,3256,3442,1673.0,1589.0,84.0,56159.12929861954,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,3500,3686,1687.0,1601.0,86.0,56505.01355165741,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,4000,4186,1703.0,1616.0,87.0,57197.03332264663,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,4500,4686,1713.0,1625.0,88.0,57410.70633368267,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,4884,5070,1716.0,1628.0,88.0,57464.04497738824,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,5000,5186,1716.0,1628.0,88.0,57464.04497738824,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,5500,5686,1719.0,1630.0,89.0,57522.934758729,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,6000,6186,1720.0,1630.0,90.0,57537.61885799468,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,6500,6686,1723.0,1632.0,91.0,57612.957532256645,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,6512,6698,1723.0,1632.0,91.0,57612.957532256645,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,7000,7186,1726.0,1634.0,92.0,57656.85152629987,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,7500,7686,1728.0,1634.0,94.0,57689.88212352642,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,8000,8186,1731.0,1635.0,96.0,57784.71798066306,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,8500,8686,1732.0,1635.0,97.0,57803.064478623935,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,9000,9186,1733.0,1635.0,98.0,57817.74857788961,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,9500,9686,1733.0,1635.0,98.0,57817.74857788961,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,10000,10186,1736.0,1637.0,99.0,57908.99177077584,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,10500,10686,1736.0,1637.0,99.0,57908.99177077584,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,11000,11186,1737.0,1637.0,100.0,57914.91418392206,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,11500,11686,1738.0,1638.0,100.0,57957.22226095748,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,12000,12186,1739.0,1639.0,100.0,57964.42325907896,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,12500,12686,1739.0,1639.0,100.0,57964.42325907896,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,13000,13186,1739.0,1639.0,100.0,57964.42325907896,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,13500,13686,1740.0,1640.0,100.0,57990.09335967147,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,14000,14186,1740.0,1640.0,100.0,57990.09335967147,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,14500,14686,1740.0,1640.0,100.0,57990.09335967147,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,15000,15186,1741.0,1640.0,101.0,58021.1515312846,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,15500,15686,1743.0,1640.0,103.0,58083.26787451085,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,16000,16186,1746.0,1641.0,105.0,58215.95116376664,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,16500,16686,1747.0,1641.0,106.0,58247.00933537977,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,17000,17186,1748.0,1642.0,106.0,58247.13808979187,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,17500,17686,1748.0,1642.0,106.0,58247.13808979187,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,18000,18186,1748.0,1642.0,106.0,58247.13808979187,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,18500,18686,1750.0,1642.0,108.0,58309.254433018126,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,19000,19186,1751.0,1642.0,109.0,58340.31260463125,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,19500,19686,1751.0,1642.0,109.0,58340.31260463125,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,20000,20186,1751.0,1642.0,109.0,58340.31260463125,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,20500,20686,1752.0,1643.0,109.0,58366.16698184773,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,21000,21186,1752.0,1643.0,109.0,58366.16698184773,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,21500,21686,1753.0,1643.0,110.0,58397.22515346086,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,22000,22186,1753.0,1643.0,110.0,58397.22515346086,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,22500,22686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,23000,23186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,23500,23686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,24000,24186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,24500,24686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,25000,25186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,25500,25686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,26000,26186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,26500,26686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,27000,27186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,27500,27686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,28000,28186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,28500,28686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,29000,29186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,29500,29686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,30000,30186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,30500,30686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,31000,31186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,31500,31686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,32000,32186,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,32500,32686,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,32560,32746,1754.0,1643.0,111.0,58428.28332507399,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,50,236,49.0,37.0,12.0,3218.327841703094,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,100,286,95.0,79.0,16.0,5685.831772560678,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,150,336,136.0,119.0,17.0,7492.323846097715,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,163,349,148.0,130.0,18.0,8140.495249718365,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,200,386,184.0,163.0,21.0,10408.180913316472,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,250,436,232.0,210.0,22.0,13559.64620281976,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,300,486,275.0,253.0,22.0,16504.983880290813,,,,
