method,universe,K,candidate_path_evaluations,n1_prescreen_evaluations,total_physical_evaluations,search_budget_ratio,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,island_only_hit_count,recall_island_only,captured_load_shed_mw,critical_hit_count_std,recall_critical_std,precision_at_k_std,relay_cascade_hit_count_std,recall_relay_cascade_std,island_only_hit_count_std,recall_island_only_std,captured_load_shed_mw_std
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,500,500,186,686,0.0153562653562653,413.0,0.2354618015963512,0.826,373.0,0.227023737066342,40.0,0.3603603603603603,22041.905334081144,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,500,500,186,686,0.0153562653562653,413.0,0.2354618015963512,0.826,374.0,0.2276323797930614,39.0,0.3513513513513513,22067.742963046738,,,,,,,,
N1_gate_plus_line_order,full,500,500,186,686,0.0153562653562653,440.0,0.2508551881413911,0.88,408.0,0.2483262325015216,32.0,0.2882882882882883,15023.514458381378,,,,,,,,
N1_gate_plus_random,full,500,500,186,686,0.0153562653562653,438.7,0.2501140250855188,0.8774,420.5,0.2559342665855143,18.2,0.1639639639639639,14877.857774918724,5.313504806936127,0.0030293642000776,0.0106270096138722,7.199537022151725,0.0043819458442798,3.22490309931942,0.0290531810749497,305.79128446004626
line_order,full,500,500,0,500,0.0153562653562653,24.0,0.0136830102622576,0.048,24.0,0.0146074254412659,0.0,0.0,796.0256844307969,,,,,,,,
random,full,500,500,0,500,0.0153562653562653,29.8,0.0169897377423033,0.0596,28.2,0.0171637248934875,1.6,0.0144144144144144,976.0689854793652,4.263540521418529,0.0024307528628383,0.008527081042837,4.685675570881488,0.0028519023559838,1.2649110640673518,0.0113955951717779,149.12243373773683
LODF_yP,full,1000,1000,0,1000,0.0307125307125307,58.0,0.0330672748004561,0.058,49.0,0.0298234936092513,9.0,0.081081081081081,1860.291077897772,,,,,,,,
N1_gate_plus_LODF_yP,full,1000,1000,186,1186,0.0307125307125307,877.0,0.5,0.877,810.0,0.4930006086427267,67.0,0.6036036036036037,29946.90434269048,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,1000,1000,186,1186,0.0307125307125307,811.0,0.4623717217787913,0.811,755.0,0.4595252586731588,56.0,0.5045045045045045,34117.15276902382,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,1000,1000,186,1186,0.0307125307125307,810.0,0.4618015963511973,0.81,754.0,0.4589166159464394,56.0,0.5045045045045045,34126.90618572592,,,,,,,,
N1_gate_plus_line_order,full,1000,1000,186,1186,0.0307125307125307,880.0,0.5017103762827823,0.88,848.0,0.5161290322580645,32.0,0.2882882882882883,30042.944124628502,,,,,,,,
N1_gate_plus_random,full,1000,1000,186,1186,0.0307125307125307,882.9,0.5033637400228049,0.8829,846.4,0.5151552038953134,36.5,0.3288288288288288,30007.68031794019,6.349978127696364,0.0036202839952658,0.0063499781276963,7.820201759261429,0.0047597089222528,5.126185499743233,0.0461818513490381,423.45018385077
line_order,full,1000,1000,0,1000,0.0307125307125307,56.0,0.0319270239452679,0.056,56.0,0.0340839926962872,0.0,0.0,1820.9871955717624,,,,,,,,
random,full,1000,1000,0,1000,0.0307125307125307,60.0,0.0342075256556442,0.06,56.7,0.0345100426049908,3.3,0.0297297297297297,2014.7746853164504,8.793937305515279,0.0050136472665423,0.0087939373055152,8.628763269180327,0.0052518340043702,1.7029386365926402,0.0153417895188526,266.7196019790382
LODF_yP,full,2000,2000,0,2000,0.0614250614250614,112.0,0.0638540478905359,0.056,103.0,0.0626902008520998,9.0,0.081081081081081,3638.6604895806913,,,,,,,,
N1_gate_plus_LODF_yP,full,2000,2000,186,2186,0.0614250614250614,1559.0,0.8888255416191562,0.7795,1492.0,0.9080949482653682,67.0,0.6036036036036037,53240.34454425251,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,2000,2000,186,2186,0.0614250614250614,1576.0,0.8985176738882554,0.788,1508.0,0.9178332318928788,68.0,0.6126126126126126,53745.73751079568,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,2000,2000,186,2186,0.0614250614250614,1583.0,0.902508551881414,0.7915,1515.0,0.9220937309799148,68.0,0.6126126126126126,53729.36183700032,,,,,,,,
N1_gate_plus_line_order,full,2000,2000,186,2186,0.0614250614250614,1558.0,0.8882554161915621,0.779,1491.0,0.9074863055386488,67.0,0.6036036036036037,53211.43110585978,,,,,,,,
N1_gate_plus_random,full,2000,2000,186,2186,0.0614250614250614,1557.5,0.8879703534777652,0.77875,1490.3,0.9070602556299452,67.2,0.6054054054054054,53197.15110886477,1.4337208778404378,0.0008174007285293,0.0007168604389202,1.1595018087284057,0.0007057223425005,0.4216370213557839,0.0037985317239259,38.97051385705617
line_order,full,2000,2000,0,2000,0.0614250614250614,114.0,0.064994298745724,0.057,91.0,0.0553864881314668,23.0,0.2072072072072072,3632.523316453448,,,,,,,,
random,full,2000,2000,0,2000,0.0614250614250614,111.2,0.0633979475484606,0.0556,103.8,0.0631771150334753,7.4,0.0666666666666666,3688.431812605512,10.87096029694607,0.0061978108876545,0.005435480148473,10.008884941779367,0.0060918350223854,2.6331223544175333,0.0237218230127705,426.3376415867488
LODF_yP,full,3000,3000,0,3000,0.0921375921375921,170.0,0.096921322690992,0.0566666666666666,153.0,0.0931223371880706,17.0,0.1531531531531531,5512.701955983548,,,,,,,,
N1_gate_plus_LODF_yP,full,3000,3000,186,3186,0.0921375921375921,1569.0,0.8945267958950969,0.523,1497.0,0.9111381618989652,72.0,0.6486486486486487,53476.25297759214,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,3000,3000,186,3186,0.0921375921375921,1652.0,0.9418472063854048,0.5506666666666666,1569.0,0.9549604382227632,83.0,0.7477477477477478,55501.39900300108,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,3000,3000,186,3186,0.0921375921375921,1665.0,0.9492588369441276,0.555,1582.0,0.9628727936701156,83.0,0.7477477477477478,55858.28355872384,,,,,,,,
N1_gate_plus_line_order,full,3000,3000,186,3186,0.0921375921375921,1569.0,0.8945267958950969,0.523,1498.0,0.9117468046256848,71.0,0.6396396396396397,53444.60868082182,,,,,,,,
N1_gate_plus_random,full,3000,3000,186,3186,0.0921375921375921,1565.8,0.8927023945267958,0.5219333333333334,1496.0,0.9105295191722458,69.8,0.6288288288288288,53420.38497367639,2.14993539954628,0.0012257328389659,0.000716645133182,2.3570226039551585,0.0014345846646105,1.7511900715418265,0.0157764871310074,37.76998831644124
line_order,full,3000,3000,0,3000,0.0921375921375921,171.0,0.0974914481185861,0.057,148.0,0.0900791235544735,23.0,0.2072072072072072,5488.024247008922,,,,,,,,
random,full,3000,3000,0,3000,0.0921375921375921,170.1,0.0969783352337514,0.0566999999999999,159.0,0.0967741935483871,11.1,0.1,5675.019623897466,12.3868209534704,0.0070620415926285,0.0041289403178234,11.794537341969422,0.0071786593682102,3.2472210341220142,0.0292542435506487,392.9677197789459
LODF_yP,full,5000,5000,0,5000,0.1535626535626535,275.0,0.1567844925883694,0.055,248.0,0.1509433962264151,27.0,0.2432432432432432,8933.271628610466,,,,,,,,
N1_gate_plus_LODF_yP,full,5000,5000,186,5186,0.1535626535626535,1586.0,0.904218928164196,0.3172,1507.0,0.9172245891661596,79.0,0.7117117117117117,53861.57614176617,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_path_prob,full,5000,5000,186,5186,0.1535626535626535,1716.0,0.9783352337514252,0.3432,1628.0,0.9908703590992088,88.0,0.7927927927927928,57464.04497738973,,,,,,,,
N1_gate_plus_RTS79_residual_reachable_GCN_second_only,full,5000,5000,186,5186,0.1535626535626535,1716.0,0.9783352337514252,0.3432,1628.0,0.9908703590992088,88.0,0.7927927927927928,57464.04497738973,,,,,,,,
N1_gate_plus_line_order,full,5000,5000,186,5186,0.1535626535626535,1587.0,0.9047890535917902,0.3174,1511.0,0.9196591600730372,76.0,0.6846846846846847,53842.50931461487,,,,,,,,
N1_gate_plus_random,full,5000,5000,186,5186,0.1535626535626535,1580.0,0.9007981755986318,0.3159999999999999,1506.3,0.9167985392574558,73.7,0.663963963963964,53839.07078291722,2.943920288775949,0.0016784038134412,0.0005887840577551,3.056868404829433,0.0018605407211378,2.263232692902394,0.0203894837198413,92.6394993857692
line_order,full,5000,5000,0,5000,0.1535626535626535,281.0,0.1602052451539338,0.0562,258.0,0.1570298234936092,23.0,0.2072072072072072,9105.886062534735,,,,,,,,
random,full,5000,5000,0,5000,0.1535626535626535,275.4,0.157012542759407,0.05508,256.6,0.156177723676202,18.8,0.1693693693693694,9134.130890705886,15.181860521322442,0.0086555647213924,0.0030363721042644,14.660604807897023,0.0089230704856342,4.315347288715269,0.0388770026010384,453.0840496190977
