sample_index,seed,split,sample_type,current_outage_labels,num_candidate_labels,num_positive_labels
173,20260701,train,S1,"L102,L105",184,9
174,20260701,train,S1,L135,185,9
175,20260701,train,S1,L056,185,10
176,20260701,train,S1,L123,185,8
177,20260701,train,S1,L119,185,9
178,20260701,train,S1,"L018,L019,L025,L026,L038,L039,L045,L102,L109,L110,L111,L113,L115,L134,L140,L143,L155,L156,L178,L179",166,13
179,20260701,train,S1,"L045,L046,L049,L102,L109,L110,L111,L113,L115,L134,L140,L143,L155,L156,L178",171,10
180,20260701,train,S1,L169,185,8
181,20260701,train,S1,L039,185,10
182,20260701,train,S1,L091,185,8
183,20260701,train,S1,"L009,L018,L019,L030,L045,L102,L109,L110,L111,L113,L134,L140,L143,L155,L156,L178",170,11
184,20260701,train,S1,L079,185,9
185,20260701,train,S1,L173,185,10
186,20260701,train,S1,L087,185,9
187,20260701,train,S1,"L045,L066",184,9
188,20260701,train,S1,L163,185,9
189,20260701,train,S1,L069,185,10
190,20260701,train,S1,L040,185,11
191,20260701,train,S1,"L028,L045",184,12
192,20260701,train,S1,L155,185,9
193,20260701,train,S1,L109,185,8
194,20260701,train,S1,L001,185,10
195,20260701,train,S1,L053,185,8
196,20260701,train,S1,L140,185,8
197,20260701,train,S1,L018,185,9
198,20260701,train,S1,"L030,L045,L102,L109,L110,L111,L113,L115,L134,L140,L141,L143,L155,L156,L178",171,10
199,20260701,train,S1,L175,185,10
200,20260701,train,S1,L151,185,10
201,20260701,train,S1,"L099,L102",184,8
202,20260702,train,S0,,186,8
203,20260702,train,S1,"L104,L116",184,8
204,20260702,train,S1,"L028,L104",184,11
205,20260702,train,S1,"L018,L104,L109,L110,L112,L113,L134,L140,L155,L178",176,10
206,20260702,train,S1,"L018,L021",184,10
207,20260702,train,S1,L064,185,8
208,20260702,train,S1,L173,185,11
209,20260702,train,S1,L010,185,7
210,20260702,train,S1,"L009,L018,L104,L110,L113,L134,L140,L143,L155,L178",176,10
211,20260702,train,S1,"L041,L104,L109,L110",182,10
212,20260702,train,S1,L044,185,10
213,20260702,train,S1,L153,185,8
214,20260702,train,S1,L161,185,11
215,20260702,train,S1,L149,185,9
216,20260702,train,S1,L179,185,7
217,20260702,train,S1,L125,185,12
218,20260702,train,S1,L169,185,8
219,20260702,train,S1,L164,185,9
220,20260702,train,S1,"L104,L119",184,8
221,20260702,train,S1,L055,185,10
222,20260702,train,S1,"L093,L104",184,9
223,20260702,train,S1,L025,185,12
224,20260702,train,S1,L151,185,9
225,20260702,train,S1,"L140,L146",184,11
226,20260702,train,S1,"L033,L182",184,9
227,20260702,train,S1,L035,185,11
228,20260702,train,S1,L114,185,8
229,20260702,train,S1,L060,185,11
230,20260702,train,S1,L148,185,8
231,20260702,train,S1,L049,185,8
232,20260702,train,S1,"L071,L104",184,8
233,20260702,train,S1,"L104,L107,L110",183,10
234,20260702,train,S1,L077,185,8
235,20260702,train,S1,"L018,L104,L109,L110,L112,L113,L134,L140,L155,L177,L178",175,10
236,20260702,train,S1,L159,185,8
237,20260702,train,S1,"L138,L140",184,10
238,20260702,train,S1,L112,185,9
239,20260702,train,S1,"L140,L144",184,10
240,20260702,train,S1,"L018,L019,L020,L037,L104,L109,L110,L112,L113,L134,L140,L143,L155,L178",172,12
241,20260702,train,S1,"L018,L104,L109,L110,L112,L113,L134,L140,L141,L143,L155,L178",174,10
242,20260702,train,S1,"L075,L104",184,9
243,20260702,train,S1,"L008,L018,L019,L020,L045,L102,L104,L109,L110,L112,L113,L134,L140,L155",172,14
244,20260702,train,S1,L157,185,9
245,20260702,train,S1,L034,185,10
246,20260702,train,S1,L128,185,9
247,20260702,train,S1,"L018,L045,L048,L051,L057,L059,L102,L104,L109,L110,L112,L134,L140,L155,L178",171,12
248,20260702,train,S1,"L018,L045,L046,L050,L059,L104,L109,L110,L112,L113,L134,L140,L155,L178",172,12
249,20260702,train,S1,"L104,L105,L109,L110",182,11
250,20260702,train,S1,L018,185,8
251,20260702,train,S1,L043,185,9
252,20260702,train,S1,L061,185,12
253,20260702,train,S1,L186,185,9
254,20260702,train,S1,"L096,L104,L109,L110,L112,L134,L140,L155,L178",177,11
255,20260702,train,S1,"L018,L104,L109,L110,L112,L113,L134,L140,L143,L155,L178",175,10
256,20260702,train,S1,"L099,L104",184,7
257,20260702,train,S1,"L132,L140",184,10
258,20260702,train,S1,L042,185,10
259,20260702,train,S1,"L104,L126",184,8
260,20260702,train,S1,"L018,L104,L109,L110,L112,L113,L134,L139,L140,L143,L155,L178",174,11
261,20260702,train,S1,L090,185,8
262,20260702,train,S1,L074,185,11
263,20260702,train,S1,L046,185,7
264,20260702,train,S1,L004,185,12
265,20260702,train,S1,"L129,L140",184,10
266,20260702,train,S1,L084,185,8
267,20260702,train,S1,L172,185,11
268,20260702,train,S1,L155,185,8
269,20260702,train,S1,L180,185,10
270,20260702,train,S1,L015,185,10
271,20260702,train,S1,L160,185,11
272,20260702,train,S1,L174,185,7
273,20260702,train,S1,L111,185,9
274,20260702,train,S1,"L104,L117",184,7
275,20260702,train,S1,L023,185,7
276,20260702,train,S1,L040,185,11
277,20260702,train,S1,L058,185,8
278,20260702,train,S1,L083,185,9
279,20260702,train,S1,"L076,L104",184,9
280,20260702,train,S1,L101,185,9
281,20260702,train,S1,"L018,L036,L104",183,7
282,20260702,train,S1,L067,185,9
283,20260702,train,S1,L068,185,9
284,20260702,train,S1,"L131,L140",184,9
285,20260702,train,S1,"L104,L123",184,10
286,20260702,train,S1,L109,185,8
287,20260702,train,S1,L121,185,11
288,20260702,train,S1,"L094,L104",184,9
289,20260702,train,S1,L066,185,9
290,20260702,train,S1,"L018,L104,L109,L110,L112,L113,L133,L140,L155,L178",176,10
291,20260702,train,S1,L104,185,10
292,20260702,train,S1,L168,185,8
293,20260702,train,S1,L124,185,9
294,20260702,train,S1,"L070,L104",184,10
295,20260702,train,S1,L166,185,9
296,20260702,train,S1,L006,185,9
297,20260702,train,S1,L005,185,7
298,20260702,train,S1,L171,185,11
299,20260702,train,S1,"L137,L140",184,11
300,20260702,train,S1,"L029,L104",184,12
301,20260702,train,S1,L065,185,9
302,20260702,train,S1,L080,185,11
303,20260703,train,S0,,186,8
304,20260703,train,S1,L100,185,10
305,20260703,train,S1,L056,185,11
306,20260703,train,S1,L117,185,9
307,20260703,train,S1,"L018,L032,L109,L111,L179",181,9
308,20260703,train,S1,"L018,L030,L046,L049,L104,L109,L110,L111,L113,L134,L140,L143,L155,L178,L179",171,10
309,20260703,train,S1,L088,185,9
310,20260703,train,S1,"L018,L046,L057,L096,L104,L109,L110,L111,L112,L134,L140,L143,L155,L178,L179",171,12
311,20260703,train,S1,L015,185,10
312,20260703,train,S1,"L003,L018",184,8
313,20260703,train,S1,L094,185,9
314,20260703,train,S1,L103,185,9
315,20260703,train,S1,L178,185,9
316,20260703,train,S1,"L041,L111",184,8
317,20260703,train,S1,L150,185,10
318,20260703,train,S1,L013,185,9
319,20260703,train,S1,L044,185,8
320,20260703,train,S1,L072,185,11
321,20260703,train,S1,L120,185,9
322,20260703,train,S1,L149,185,10
323,20260703,train,S1,L069,185,10
324,20260703,train,S1,L095,185,10
325,20260703,train,S1,L083,185,11
326,20260703,train,S1,L171,185,11
327,20260703,train,S1,L002,185,8
328,20260703,train,S1,"L018,L029",184,13
329,20260703,train,S1,L091,185,10
330,20260703,train,S1,L081,185,10
331,20260703,train,S1,"L129,L140",184,8
332,20260703,train,S1,L101,185,9
333,20260703,train,S1,L076,185,9
334,20260703,train,S1,"L140,L142",184,9
335,20260703,train,S1,L175,185,11
336,20260703,train,S1,L057,185,10
337,20260703,train,S1,"L018,L023",184,9
338,20260703,train,S1,L160,185,10
339,20260703,train,S1,L073,185,11
340,20260703,train,S1,"L018,L030,L046,L109,L110,L111,L112,L113,L115,L134,L140,L143,L155,L176,L178,L179",170,10
341,20260703,train,S1,L052,185,9
342,20260703,train,S1,L061,185,11
343,20260703,train,S1,"L018,L045,L046,L050,L059,L104,L109,L110,L111,L112,L113,L134,L140,L143,L155,L178,L179",169,12
344,20260703,train,S1,L111,185,8
345,20260703,train,S1,L153,185,11
346,20260703,train,S1,L045,185,9
347,20260703,train,S1,L084,185,9
348,20260703,train,S1,"L104,L107,L111",183,10
349,20260703,train,S1,"L018,L030,L046,L104,L109,L110,L111,L112,L113,L133,L140,L143,L155,L178,L179",171,10
350,20260703,train,S1,L035,185,12
351,20260703,train,S1,L079,185,10
352,20260703,train,S1,L168,185,10
353,20260703,train,S1,L105,185,10
354,20260703,train,S1,L093,185,9
355,20260703,train,S1,L098,185,10
356,20260703,train,S1,L157,185,10
357,20260703,train,S1,L030,185,8
358,20260703,train,S1,L169,185,9
359,20260703,train,S1,L090,185,9
360,20260703,train,S1,L110,185,8
361,20260703,train,S1,L167,185,12
362,20260703,train,S1,L040,185,12
363,20260703,train,S1,"L018,L033,L179,L182",182,10
364,20260703,train,S1,L125,185,10
365,20260703,train,S1,L162,185,10
366,20260703,train,S1,L112,185,8
367,20260703,train,S1,L004,185,12
368,20260703,train,S1,L119,185,9
369,20260703,train,S1,L152,185,10
370,20260703,train,S1,L122,185,10
371,20260703,train,S1,L186,185,9
372,20260703,train,S1,L151,185,10
373,20260703,train,S1,L099,185,10
374,20260703,train,S1,L043,185,11
375,20260703,train,S1,L114,185,9
376,20260703,train,S1,L082,185,11
377,20260703,train,S1,L121,185,10
378,20260703,train,S1,L165,185,10
379,20260703,train,S1,L067,185,10
380,20260703,train,S1,"L018,L019,L036,L045,L179",181,11
381,20260703,train,S1,L174,185,9
382,20260703,train,S1,L024,185,9
383,20260703,train,S1,L063,185,9
384,20260703,train,S1,"L018,L030,L046,L109,L110,L111,L112,L113,L134,L140,L143,L155,L178,L179",172,10
385,20260703,train,S1,"L138,L140",184,10
386,20260703,train,S1,"L012,L018",184,9
387,20260703,train,S1,L158,185,10
388,20260703,train,S1,L080,185,10
389,20260703,train,S1,"L018,L030,L046,L104,L109,L110,L111,L112,L113,L134,L140,L143,L155,L178,L179",171,10
390,20260703,train,S1,"L005,L018",184,10
391,20260703,train,S1,L115,185,11
392,20260703,train,S1,L048,185,8
393,20260703,train,S1,L146,185,10
394,20260703,train,S1,L126,185,10
395,20260703,train,S1,L086,185,10
396,20260703,train,S1,L145,185,8
397,20260703,train,S1,L140,185,9
398,20260703,train,S1,"L018,L030,L046,L104,L109,L110,L111,L112,L113,L134,L139,L140,L143,L155,L178,L179",170,11
399,20260703,train,S1,L172,185,9
400,20260703,train,S1,L182,185,9
401,20260703,train,S1,L143,185,9
402,20260703,train,S1,L065,185,9
403,20260703,train,S1,L128,185,9
404,20260704,train,S0,,186,9
405,20260704,train,S1,L092,185,9
406,20260704,train,S1,"L045,L102,L109,L110,L112,L113,L128,L134,L155,L158",176,11
407,20260704,train,S1,L130,185,12
408,20260704,train,S1,L143,185,10
409,20260704,train,S1,L112,185,8
410,20260704,train,S1,L012,185,11
411,20260704,train,S1,L149,185,11
412,20260704,train,S1,"L045,L046,L050,L102,L109",181,9
413,20260704,train,S1,"L095,L102",184,8
414,20260704,train,S1,L123,185,9
415,20260704,train,S1,L006,185,11
416,20260704,train,S1,L137,185,12
417,20260704,train,S1,"L102,L103",184,9
418,20260704,train,S1,L003,185,10
419,20260704,train,S1,L081,185,12
420,20260704,train,S1,L110,185,8
421,20260704,train,S1,L139,185,11
422,20260704,train,S1,"L023,L026,L045,L109",182,8
423,20260704,train,S1,L087,185,10
424,20260704,train,S1,L049,185,10
425,20260704,train,S1,L135,185,8
426,20260704,train,S1,L117,185,9
427,20260704,train,S1,L159,185,9
428,20260704,train,S1,L026,185,10
429,20260704,train,S1,L067,185,10
430,20260704,train,S1,"L032,L109",184,8
431,20260704,train,S1,"L008,L018,L019,L020,L045,L102,L109,L110,L112,L113,L128,L134,L155",173,13
432,20260704,train,S1,L073,185,12
433,20260704,train,S1,"L007,L018,L019,L102,L109,L110,L111,L113,L128,L134,L155,L156,L158",173,11
434,20260704,train,S1,L174,185,10
435,20260704,train,S1,L035,185,10
436,20260704,train,S1,L104,185,11
437,20260704,train,S1,L046,185,8
438,20260704,train,S1,L164,185,10
439,20260704,train,S1,L146,185,11
440,20260704,train,S1,L011,185,10
441,20260704,train,S1,L060,185,12
442,20260704,train,S1,L155,185,10
443,20260704,train,S1,L161,185,12
444,20260704,train,S1,"L031,L109,L182",183,9
445,20260704,train,S1,"L018,L019,L021,L026,L045,L109",180,8
446,20260704,train,S1,L034,185,10
447,20260704,train,S1,L168,185,10
448,20260704,train,S1,L102,185,10
449,20260704,train,S1,L079,185,10
450,20260704,train,S1,"L102,L107,L109",183,8
451,20260704,train,S1,"L045,L054,L109",183,12
452,20260704,train,S1,L101,185,9
453,20260704,train,S1,"L109,L116",184,8
454,20260704,train,S1,"L102,L106",184,11
455,20260704,train,S1,L075,185,10
456,20260704,train,S1,L125,185,10
457,20260704,train,S1,"L028,L109",184,12
458,20260704,train,S1,L062,185,9
459,20260704,train,S1,"L093,L102",184,7
460,20260704,train,S1,L136,185,10
461,20260704,train,S1,L144,185,11
462,20260704,train,S1,L056,185,12
463,20260704,train,S1,L127,185,8
464,20260704,train,S1,L118,185,11
465,20260704,train,S1,L152,185,11
466,20260704,train,S1,L066,185,10
467,20260704,train,S1,L179,185,8
468,20260704,train,S1,L040,185,10
469,20260704,train,S1,L057,185,10
470,20260704,train,S1,L084,185,10
471,20260704,train,S1,L100,185,10
472,20260704,train,S1,L014,185,10
473,20260704,train,S1,L082,185,11
474,20260704,train,S1,L150,185,10
475,20260704,train,S1,L151,185,11
476,20260704,train,S1,L185,185,12
477,20260704,train,S1,L024,185,9
478,20260704,train,S1,"L094,L102",184,7
479,20260704,train,S1,L068,185,11
480,20260704,train,S1,L043,185,11
481,20260704,train,S1,L064,185,11
482,20260704,train,S1,L165,185,10
483,20260704,train,S1,L002,185,8
484,20260704,train,S1,L128,185,10
485,20260704,train,S1,L005,185,10
486,20260704,train,S1,"L045,L096,L102,L109,L110,L111,L112,L134,L155,L158",176,12
487,20260704,train,S1,L186,185,11
488,20260704,train,S1,L001,185,9
489,20260704,train,S1,L044,185,8
490,20260704,train,S1,"L018,L019,L020,L037,L045,L102,L109,L110,L113,L134,L155,L158",174,11
491,20260704,train,S1,"L098,L102",184,10
492,20260704,train,S1,"L099,L102",184,10
493,20260704,train,S1,L088,185,10
494,20260704,train,S1,L160,185,12
495,20260704,train,S1,L072,185,12
496,20260704,train,S1,L154,185,10
497,20260704,train,S1,L178,185,8
498,20260704,train,S1,L080,185,12
499,20260704,train,S1,L156,185,8
500,20260704,train,S1,L138,185,11
501,20260704,train,S1,"L019,L024,L025,L026,L038,L039,L045,L102,L109,L110,L111,L113,L134,L155,L158,L178,L179,L182",168,13
502,20260704,train,S1,L083,185,11
503,20260704,train,S1,L167,185,8
504,20260704,train,S1,L175,185,12
505,20260705,train,S0,,186,11
506,20260705,train,S1,"L030,L108,L115",183,11
507,20260705,train,S1,"L137,L140",184,12
508,20260705,train,S1,L061,185,13
509,20260705,train,S1,L056,185,10
510,20260705,train,S1,L135,185,12
511,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L133,L140,L143,L155,L156",175,12
512,20260705,train,S1,L085,185,11
513,20260705,train,S1,L150,185,10
514,20260705,train,S1,L030,185,10
515,20260705,train,S1,L014,185,11
516,20260705,train,S1,L011,185,11
517,20260705,train,S1,L172,185,11
518,20260705,train,S1,L024,185,10
519,20260705,train,S1,"L114,L115",184,12
520,20260705,train,S1,L170,185,9
521,20260705,train,S1,L092,185,10
522,20260705,train,S1,"L030,L045,L046,L057,L058,L060,L096,L102,L111,L113,L115,L134,L140,L143,L155,L156",170,15
523,20260705,train,S1,L012,185,11
524,20260705,train,S1,"L093,L102",184,11
525,20260705,train,S1,L044,185,12
526,20260705,train,S1,L048,185,10
527,20260705,train,S1,"L033,L182",184,8
528,20260705,train,S1,L145,185,10
529,20260705,train,S1,L002,185,10
530,20260705,train,S1,"L065,L105",184,12
531,20260705,train,S1,"L018,L030,L038,L045,L046,L102,L104,L111,L113,L115,L134,L140,L143,L155,L156,L178,L179,L182",168,11
532,20260705,train,S1,L058,185,11
533,20260705,train,S1,L148,185,10
534,20260705,train,S1,"L042,L182",184,10
535,20260705,train,S1,"L115,L117",184,12
536,20260705,train,S1,L130,185,10
537,20260705,train,S1,L013,185,11
538,20260705,train,S1,L179,185,9
539,20260705,train,S1,L102,185,10
540,20260705,train,S1,L025,185,14
541,20260705,train,S1,L153,185,11
542,20260705,train,S1,"L138,L140",184,12
543,20260705,train,S1,L019,185,10
544,20260705,train,S1,L119,185,10
545,20260705,train,S1,L124,185,10
546,20260705,train,S1,L110,185,11
547,20260705,train,S1,L091,185,11
548,20260705,train,S1,L126,185,10
549,20260705,train,S1,L017,185,11
550,20260705,train,S1,L046,185,10
551,20260705,train,S1,L040,185,13
552,20260705,train,S1,"L030,L041,L182",183,11
553,20260705,train,S1,L111,185,11
554,20260705,train,S1,L020,185,10
555,20260705,train,S1,"L098,L102",184,11
556,20260705,train,S1,L028,185,14
557,20260705,train,S1,L132,185,10
558,20260705,train,S1,L103,185,11
559,20260705,train,S1,"L129,L140,L156",183,10
560,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L118,L134,L140,L143,L155,L156,L186",173,12
561,20260705,train,S1,L167,185,10
562,20260705,train,S1,L069,185,11
563,20260705,train,S1,"L136,L140",184,11
564,20260705,train,S1,"L030,L107",184,11
565,20260705,train,S1,L168,185,10
566,20260705,train,S1,L080,185,12
567,20260705,train,S1,L057,185,11
568,20260705,train,S1,L146,185,10
569,20260705,train,S1,L068,185,14
570,20260705,train,S1,"L030,L045,L054",183,16
571,20260705,train,S1,"L099,L102",184,11
572,20260705,train,S1,L074,185,14
573,20260705,train,S1,"L029,L030,L045",183,14
574,20260705,train,S1,L152,185,11
575,20260705,train,S1,L077,185,10
576,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L134,L140,L143,L155,L156,L177",174,12
577,20260705,train,S1,L086,185,11
578,20260705,train,S1,L003,185,11
579,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L134,L140,L141,L143,L155",175,12
580,20260705,train,S1,L039,185,12
581,20260705,train,S1,L178,185,12
582,20260705,train,S1,L082,185,11
583,20260705,train,S1,L064,185,11
584,20260705,train,S1,L035,185,14
585,20260705,train,S1,"L030,L031,L045,L111,L182",181,11
586,20260705,train,S1,"L115,L116",184,11
587,20260705,train,S1,L109,185,12
588,20260705,train,S1,"L034,L182",184,12
589,20260705,train,S1,L078,185,10
590,20260705,train,S1,L166,185,9
591,20260705,train,S1,"L018,L019,L030,L036,L045,L182",180,15
592,20260705,train,S1,L001,185,13
593,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L134,L139,L140,L143,L155",175,13
594,20260705,train,S1,"L030,L045,L046,L102,L113,L115,L134,L140,L143,L155",176,12
595,20260705,train,S1,L026,185,11
596,20260705,train,S1,"L030,L045,L046,L049,L102,L113,L115,L134,L140,L143,L155,L156",174,13
597,20260705,train,S1,L052,185,11
598,20260705,train,S1,L157,185,10
599,20260705,train,S1,L065,185,10
600,20260705,train,S1,L062,185,11
601,20260705,train,S1,L161,185,12
602,20260705,train,S1,L071,185,13
603,20260705,train,S1,L131,185,10
604,20260705,train,S1,L063,185,12
605,20260705,train,S1,L022,185,10
606,20260706,train,S0,,186,9
607,20260706,train,S1,L121,185,12
608,20260706,train,S1,L076,185,8
609,20260706,train,S1,L087,185,9
610,20260706,train,S1,L067,185,8
611,20260706,train,S1,L166,185,9
612,20260706,train,S1,L127,185,11
613,20260706,train,S1,L109,185,9
614,20260706,train,S1,L095,185,9
615,20260706,train,S1,"L018,L019,L020,L030,L037,L046,L104,L111,L113,L134,L155,L156",174,10
616,20260706,train,S1,L167,185,10
617,20260706,train,S1,L026,185,8
618,20260706,train,S1,L132,185,12
619,20260706,train,S1,L039,185,9
620,20260706,train,S1,L056,185,8
621,20260706,train,S1,L149,185,10
622,20260706,train,S1,L078,185,9
623,20260706,train,S1,L130,185,12
624,20260706,train,S1,L088,185,9
625,20260706,train,S1,L179,185,10
626,20260706,train,S1,L175,185,10
627,20260706,train,S1,L164,185,8
628,20260706,train,S1,L154,185,8
