seed,method,top_k,total_critical_paths,critical_found,critical_path_recall,total_load_shed_found_mw,runtime_seconds,notes
20260722,LODF_yP,50,55,10,0.18181818181818182,1730.4152170382972,2.2418816089630127,physical-rule ranking baseline
20260722,LODF_yP,100,55,11,0.2,1888.5013650316048,2.2418816089630127,physical-rule ranking baseline
20260722,random,20,55,1,0.01818181818181818,27.98107265493719,0.0013089179992675781,fixed random seed baseline
20260722,random,50,55,3,0.05454545454545454,577.5332348135103,0.0013089179992675781,fixed random seed baseline
20260722,random,100,55,4,0.07272727272727272,615.5866134443114,0.0013089179992675781,fixed random seed baseline
20260722,line_order,20,55,0,0.0,0.0,0.0004391670227050781,line-number order baseline
20260722,line_order,50,55,1,0.01818181818181818,27.981072654937165,0.0004391670227050781,line-number order baseline
20260722,line_order,100,55,3,0.05454545454545454,141.80279420385395,0.0004391670227050781,line-number order baseline
20260722,oracle,20,55,20,0.36363636363636365,7892.844648323115,0.0019073486328125,upper bound only; not deployable
20260722,oracle,50,55,50,0.9090909090909091,10440.358248935794,0.0019073486328125,upper bound only; not deployable
20260722,oracle,100,55,55,1.0,10503.266708282139,0.0019073486328125,upper bound only; not deployable
20260723,physics_ce_no_mask,20,52,9,0.17307692307692307,3605.60410277628,0.610889196395874,physics features; CE-only; no candidate probability mask
20260723,physics_ce_no_mask,50,52,18,0.34615384615384615,5727.698408636782,0.610889196395874,physics features; CE-only; no candidate probability mask
20260723,physics_ce_no_mask,100,52,21,0.40384615384615385,6118.577236524223,0.610889196395874,physics features; CE-only; no candidate probability mask
20260723,physics_ce_mask,20,52,9,0.17307692307692307,3605.60410277628,0.6559088230133057,physics features; CE-only; candidate probability mask enabled
20260723,physics_ce_mask,50,52,18,0.34615384615384615,5727.698408636782,0.6559088230133057,physics features; CE-only; candidate probability mask enabled
20260723,physics_ce_mask,100,52,21,0.40384615384615385,6118.577236524223,0.6559088230133057,physics features; CE-only; candidate probability mask enabled
20260723,physics_loss_no_mask,20,52,9,0.17307692307692307,3605.60410277628,0.665050745010376,physics features; physics-informed loss; no candidate probability mask
20260723,physics_loss_no_mask,50,52,18,0.34615384615384615,5727.698408636782,0.665050745010376,physics features; physics-informed loss; no candidate probability mask
20260723,physics_loss_no_mask,100,52,22,0.4230769230769231,6169.742148024221,0.665050745010376,physics features; physics-informed loss; no candidate probability mask
20260723,physics_loss_mask,20,52,9,0.17307692307692307,3605.60410277628,0.6168277263641357,physics features; physics-informed loss; candidate probability mask enabled
20260723,physics_loss_mask,50,52,18,0.34615384615384615,5727.698408636782,0.6168277263641357,physics features; physics-informed loss; candidate probability mask enabled
20260723,physics_loss_mask,100,52,22,0.4230769230769231,6169.742148024221,0.6168277263641357,physics features; physics-informed loss; candidate probability mask enabled
20260723,paper_gcn_path_prob,20,52,3,0.057692307692307696,385.14122666534774,3.5405220985412598,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260723,paper_gcn_path_prob,50,52,4,0.07692307692307693,791.6749584537431,3.5405220985412598,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260723,paper_gcn_path_prob,100,52,5,0.09615384615384616,926.8194880871704,3.5405220985412598,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260723,LODF_yP,20,52,2,0.038461538461538464,34.84596444351662,2.1435368061065674,physical-rule ranking baseline
20260723,LODF_yP,50,52,6,0.11538461538461539,1280.668591154073,2.1435368061065674,physical-rule ranking baseline
20260723,LODF_yP,100,52,10,0.19230769230769232,2526.4912178646296,2.1435368061065674,physical-rule ranking baseline
20260723,random,20,52,1,0.019230769230769232,472.0667894447986,0.0005125999450683594,fixed random seed baseline
20260723,random,50,52,1,0.019230769230769232,472.0667894447986,0.0005125999450683594,fixed random seed baseline
20260723,random,100,52,3,0.057692307692307696,907.1965294918441,0.0005125999450683594,fixed random seed baseline
20260723,line_order,20,52,0,0.0,0.0,0.00028586387634277344,line-number order baseline
20260723,line_order,50,52,1,0.019230769230769232,216.37758156688287,0.00028586387634277344,line-number order baseline
20260723,line_order,100,52,3,0.057692307692307696,517.2202408687514,0.00028586387634277344,line-number order baseline
20260723,oracle,20,52,20,0.38461538461538464,8553.124114172228,0.0006411075592041016,upper bound only; not deployable
20260723,oracle,50,52,50,0.9615384615384616,12341.45544419276,0.0006411075592041016,upper bound only; not deployable
20260723,oracle,100,52,52,1.0,12353.812863047482,0.0006411075592041016,upper bound only; not deployable
20260724,physics_ce_no_mask,20,59,14,0.23728813559322035,4487.427794144953,0.5696859359741211,physics features; CE-only; no candidate probability mask
20260724,physics_ce_no_mask,50,59,22,0.3728813559322034,6748.483998663058,0.5696859359741211,physics features; CE-only; no candidate probability mask
20260724,physics_ce_no_mask,100,59,26,0.4406779661016949,7444.152947977877,0.5696859359741211,physics features; CE-only; no candidate probability mask
20260724,physics_ce_mask,20,59,14,0.23728813559322035,4487.427794144953,0.6068427562713623,physics features; CE-only; candidate probability mask enabled
20260724,physics_ce_mask,50,59,22,0.3728813559322034,6748.483998663058,0.6068427562713623,physics features; CE-only; candidate probability mask enabled
20260724,physics_ce_mask,100,59,26,0.4406779661016949,7444.152947977877,0.6068427562713623,physics features; CE-only; candidate probability mask enabled
20260724,physics_loss_no_mask,20,59,13,0.22033898305084745,4342.193779975122,0.5471713542938232,physics features; physics-informed loss; no candidate probability mask
20260724,physics_loss_no_mask,50,59,22,0.3728813559322034,6462.578186459766,0.5471713542938232,physics features; physics-informed loss; no candidate probability mask
20260724,physics_loss_no_mask,100,59,26,0.4406779661016949,7444.152947977877,0.5471713542938232,physics features; physics-informed loss; no candidate probability mask
20260724,physics_loss_mask,20,59,13,0.22033898305084745,4342.193779975122,0.5015420913696289,physics features; physics-informed loss; candidate probability mask enabled
20260724,physics_loss_mask,50,59,22,0.3728813559322034,6462.578186459766,0.5015420913696289,physics features; physics-informed loss; candidate probability mask enabled
20260724,physics_loss_mask,100,59,26,0.4406779661016949,7444.152947977877,0.5015420913696289,physics features; physics-informed loss; candidate probability mask enabled
20260724,paper_gcn_path_prob,20,59,7,0.11864406779661017,1115.0490451729936,3.0137155055999756,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260724,paper_gcn_path_prob,50,59,9,0.15254237288135594,1335.773203067961,3.0137155055999756,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260724,paper_gcn_path_prob,100,59,9,0.15254237288135594,1335.773203067961,3.0137155055999756,original paper 4-feature GCN_path_prob; weak paper model if trained from smoke data
20260724,LODF_yP,20,59,2,0.03389830508474576,35.71042029191764,1.8887100219726562,physical-rule ranking baseline
20260724,LODF_yP,50,59,8,0.13559322033898305,1351.7995898785637,1.8887100219726562,physical-rule ranking baseline
20260724,LODF_yP,100,59,14,0.23728813559322035,2667.8887594652097,1.8887100219726562,physical-rule ranking baseline
20260724,random,20,59,0,0.0,0.0,0.000492095947265625,fixed random seed baseline
20260724,random,50,59,0,0.0,0.0,0.000492095947265625,fixed random seed baseline
20260724,random,100,59,2,0.03389830508474576,432.25434343298843,0.000492095947265625,fixed random seed baseline
20260724,line_order,20,59,2,0.03389830508474576,75.24872904299379,0.00040435791015625,line-number order baseline
20260724,line_order,50,59,3,0.05084745762711865,90.66164094390875,0.00040435791015625,line-number order baseline
20260724,line_order,100,59,5,0.0847457627118644,190.09540046223955,0.00040435791015625,line-number order baseline
20260724,oracle,20,59,20,0.3389830508474576,7446.82157012073,0.0013287067413330078,upper bound only; not deployable
20260724,oracle,50,59,50,0.847457627118644,11806.917880112764,0.0013287067413330078,upper bound only; not deployable
20260724,oracle,100,59,59,1.0,11948.076385466044,0.0013287067413330078,upper bound only; not deployable
