stage,model_or_target,metric,value,source,caveat
PR #18,max_shed_top10,positive_ratio,0.1067761806981519,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,max_shed_top10,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,max_shed_top20,positive_ratio,0.2067077344284736,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,max_shed_top20,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,max_shed_top30,positive_ratio,0.3066392881587953,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,max_shed_top30,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,composite_top10,positive_ratio,0.1067761806981519,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,composite_top10,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,composite_top20,positive_ratio,0.2067077344284736,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,composite_top20,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,composite_top30,positive_ratio,0.3066392881587953,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,composite_top30,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
