line_label,legacy_line_label,from_bus,to_bus,status,F_MW,abs_F_MW,F_max_MW,loading_ratio
L043,L43,27,32,1,12.769871321165915,12.769871321165915,9900.0,0.0012898859920369612
L044,L44,15,33,1,8.30083953163594,8.30083953163594,9900.0,0.0008384686395591859
L045,L45,19,34,1,-2.489922227139618,2.489922227139618,9900.0,0.0002515072956706685
L046,L46,35,36,1,0.8349514568095628,0.8349514568095628,9900.0,8.433853099086493e-05
L047,L47,35,37,1,-33.83495145680931,33.83495145680931,9900.0,0.0034176718643241723
L048,L48,33,37,1,-14.699160468364036,14.699160468364036,9900.0,0.001484763683673135
L049,L49,34,36,1,30.165048538143235,30.165048538143235,9900.0,0.003046974599812448
L050,L50,34,37,1,-93.79683951496176,93.79683951496176,9900.0,0.009474428233834521
L051,L51,38,37,1,242.1306781379946,242.1306781379946,9900.0,0.02445764425636309
L052,L52,37,39,1,55.007037624036755,55.007037624036755,9900.0,0.005556266426670379
L053,L53,37,40,1,44.79268907382217,44.79268907382217,9900.0,0.004524514047860825
L054,L54,30,38,1,65.25941449034028,65.25941449034028,9900.0,0.0065918600495293205
L055,L55,39,40,1,28.0070376240368,28.0070376240368,9900.0,0.0028289936993976567
L056,L56,40,41,1,17.01486224879116,17.01486224879116,9900.0,0.0017186729544233497
L057,L57,40,42,1,-10.215135545885534,10.215135545885534,9900.0,0.0010318318733217712
L058,L58,41,42,1,-19.985137751208782,19.985137751208782,9900.0,0.002018700782950382
L059,L59,43,44,1,-15.85813124527422,15.85813124527422,9900.0,0.001601831438916588
L060,L60,34,43,1,2.141868754725773,2.141868754725773,9900.0,0.0002163503792652296
L061,L61,44,45,1,-31.85813124527419,31.85813124527419,9900.0,0.0032179930550782013
L062,L62,45,46,1,-35.36739160290239,35.36739160290239,9900.0,0.0035724637982729682
L063,L63,46,47,1,-30.761118897021245,30.761118897021245,9900.0,0.003107183726971843
L064,L64,46,48,1,-14.19398443477078,14.19398443477078,9900.0,0.001433735801491998
L065,L65,47,49,1,-8.044754755294292,8.044754755294292,9900.0,0.0008126014904337669
L066,L66,42,49,1,-63.10013664602376,63.10013664602376,9900.0,0.006373751176366037
L067,L67,42,49,1,-63.10013664602376,63.10013664602376,9900.0,0.006373751176366037
L068,L68,45,49,1,-49.490739642371786,49.490739642371786,9900.0,0.004999064610340585
L069,L69,48,49,1,-34.19398443477064,34.19398443477064,9900.0,0.0034539378216940043
L070,L70,49,50,1,51.50514140944171,51.50514140944171,9900.0,0.005202539536307243
L071,L71,49,51,1,63.682600185986125,63.682600185986125,9900.0,0.006432585877372336
L072,L72,51,52,1,28.25200067543925,28.25200067543925,9900.0,0.0028537374419635602
L073,L73,52,53,1,10.252000675439099,10.252000675439099,9900.0,0.001035555623781727
L074,L74,53,54,1,-12.747999324560855,12.747999324560855,9900.0,0.0012876766994505914
L075,L75,49,54,1,36.35529431845603,36.35529431845603,9900.0,0.003672251951359195
L076,L76,49,54,1,36.10542975269345,36.10542975269345,9900.0,0.003647013106332672
L077,L77,54,55,1,6.844968460796252,6.844968460796252,9900.0,0.0006914109556359851
L078,L78,54,56,1,17.19289895010121,17.19289895010121,9900.0,0.0017366564596061828
L079,L79,55,56,1,-21.175303655949307,21.175303655949307,9900.0,0.0021389195612070006
L080,L80,56,57,1,-22.50514140944162,22.50514140944162,9900.0,0.002273246607014305
L081,L81,50,57,1,34.50514140944168,34.50514140944168,9900.0,0.003485367819135523
L082,L82,56,58,1,-6.430599510546964,6.430599510546964,9900.0,0.000649555506115855
L083,L83,51,58,1,18.43059951054693,18.43059951054693,9900.0,0.0018616767182370636
L084,L84,54,59,1,-30.80979505424819,30.80979505424819,9900.0,0.0031121005105301204
L085,L85,56,59,1,-28.800311517579978,28.800311517579978,9900.0,0.002909122375513129
L086,L86,56,59,1,-30.246352263232534,30.246352263232534,9900.0,0.003055187097296216
L087,L87,55,59,1,-34.97972787820856,34.97972787820856,9900.0,0.0035333058462836925
L088,L88,59,60,1,-43.89931992376308,43.89931992376308,9900.0,0.004434274739774049
L089,L89,59,61,1,-52.56935146635229,52.56935146635229,9900.0,0.0053100355016517465
L090,L90,60,61,1,-112.59269118571815,112.59269118571815,9900.0,0.0113729991096685
L091,L91,60,62,1,-9.306628738044154,9.306628738044154,9900.0,0.0009400635088933489
L092,L92,61,62,1,26.539879223481755,26.539879223481755,9900.0,0.0026807958811597733
L093,L93,63,59,1,155.16187806944527,155.16187806944527,9900.0,0.015672916976711644
L094,L94,63,64,1,-155.16187806944544,155.16187806944544,9900.0,0.01567291697671166
L095,L95,64,61,1,36.65101125757335,36.65101125757335,9900.0,0.0037021223492498334
L096,L96,38,65,1,-176.8712636476542,176.8712636476542,9900.0,0.017865784206833758
L097,L97,64,65,1,-191.8128893270186,191.8128893270186,9900.0,0.019375039325961477
L098,L98,49,66,1,-123.90554375527375,123.90554375527375,9900.0,0.012515711490431692
L099,L99,49,66,1,-123.90554375527375,123.90554375527375,9900.0,0.012515711490431692
L100,L100,62,66,1,-36.42848744061664,36.42848744061664,9900.0,0.0036796451960218832
L101,L101,62,67,1,-23.338262068898928,23.338262068898928,9900.0,0.00235740020897969
L102,L102,65,66,1,-5.296954773756823,5.296954773756823,9900.0,0.0005350459367431135
L103,L103,66,67,1,51.338262068899,51.338262068899,9900.0,0.0051856830372625255
L104,L104,65,68,1,15.51916938741904,15.51916938741904,9900.0,0.0015675928674160648
L105,L105,47,69,1,-56.716364141726984,56.716364141726984,9900.0,0.005728925670881514
L106,L106,49,69,1,-47.07718761224034,47.07718761224034,9900.0,0.004755271475983872
L107,L107,68,69,1,-124.22732116933162,124.22732116933162,9900.0,0.012548214259528446
L108,L108,69,70,1,103.19127873455676,103.19127873455676,9900.0,0.010423361488339066
L109,L109,24,70,1,-5.57694107361284,5.57694107361284,9900.0,0.0005633273811730141
L110,L110,70,71,1,16.77499695967164,16.77499695967164,9900.0,0.0016944441373405697
L111,L111,24,72,1,1.225003030234717,1.225003030234717,9900.0,0.0001237376798216886
L112,L112,71,72,1,10.77499696471853,10.77499696471853,9900.0,0.0010883835317897505
L113,L113,71,73,1,5.999999994953065,5.999999994953065,9900.0,0.0006060606055508146
L114,L114,70,74,1,15.460806114641867,15.460806114641867,9900.0,0.0015616975873375624
L115,L115,70,75,1,-0.6214654083227522,0.6214654083227522,9900.0,6.277428366896487e-05
L116,L116,69,75,1,106.70217849766557,106.70217849766557,9900.0,0.010777997828047028
L117,L117,74,75,1,-52.539193880311075,52.539193880311075,9900.0,0.0053069892808395025
L118,L118,76,77,1,-60.92262501906865,60.92262501906865,9900.0,0.006153800506976631
L119,L119,69,77,1,62.513348603180404,62.513348603180404,9900.0,0.00631447965688691
L120,L120,75,77,1,-33.53585576685334,33.53585576685334,9900.0,0.003387460178470034
L121,L121,77,78,1,46.971314526732044,46.971314526732044,9900.0,0.004744577224922429
L122,L122,78,79,1,-24.028685473269107,24.028685473269107,9900.0,0.002427139946794859
L123,L123,77,80,1,-91.56855840689566,91.56855840689566,9900.0,0.009249349334029865
L124,L124,77,80,1,-42.29595316889938,42.29595316889938,9900.0,0.004272318501909028
L125,L125,79,80,1,-63.028685473269164,63.028685473269164,9900.0,0.006366533886188804
L126,L126,68,81,1,-44.25350943820092,44.25350943820092,9900.0,0.004470051458404133
L127,L127,81,80,1,-44.25350943820128,44.25350943820128,9900.0,0.00447005145840417
L128,L128,77,82,1,-6.051935128631847,6.051935128631847,9900.0,0.0006113065786496815
L129,L129,82,83,1,-49.513236151775786,49.513236151775786,9900.0,0.005001336985027857
L130,L130,83,84,1,-27.849052457026513,27.849052457026513,9900.0,0.00281303560171985
L131,L131,83,85,1,-41.66418369474933,41.66418369474933,9900.0,0.004208503403510033
L132,L132,84,85,1,-38.849052457026545,38.849052457026545,9900.0,0.003924146712830964
L133,L133,85,86,1,17.123727234393815,17.123727234393815,9900.0,0.0017296694176155369
L134,L134,86,87,1,-3.8762727656062257,3.8762727656062257,9900.0,0.0003915427035965885
L135,L135,85,88,1,-50.911596374737925,50.911596374737925,9900.0,0.00514258549239777
L136,L136,85,89,1,-70.72536700638507,70.72536700638507,9900.0,0.0071439764652914215
L137,L137,88,89,1,-98.91159637473805,98.91159637473805,9900.0,0.009991070340882632
L138,L138,89,90,1,56.96600997818662,56.96600997818662,9900.0,0.005754142422039052
L139,L139,89,90,1,107.41835382045215,107.41835382045215,9900.0,0.010850338769742642
L140,L140,90,91,1,1.3843638036854067,1.3843638036854067,9900.0,0.00013983472764499057
L141,L141,89,92,1,192.66205477936467,192.66205477936467,9900.0,0.019460813614077237
L142,L142,89,92,1,61.53974551776042,61.53974551776042,9900.0,0.006216135910884891
L143,L143,91,92,1,-8.61563619126784,8.61563619126784,9900.0,0.0008702662819462464
L144,L144,92,93,1,57.36790077125491,57.36790077125491,9900.0,0.00579473745164191
L145,L145,92,94,1,51.80840710036887,51.80840710036887,9900.0,0.005233172434380694
L146,L146,93,94,1,45.36790077125508,45.36790077125508,9900.0,0.004582616239520715
L147,L147,94,95,1,41.18383944852759,41.18383944852759,9900.0,0.004159983782679555
L148,L148,80,96,1,18.496120716971376,18.496120716971376,9900.0,0.0018682950219163007
L149,L149,82,96,1,-10.53869897685562,10.53869897685562,9900.0,0.0010645150481672343
L150,L150,94,96,1,20.05448388838378,20.05448388838378,9900.0,0.0020257054432710887
L151,L151,80,97,1,25.80425492297307,25.80425492297307,9900.0,0.002606490396259906
L152,L152,80,98,1,28.06258684181735,28.06258684181735,9900.0,0.002834604731496702
L153,L153,80,99,1,18.73498929060662,18.73498929060662,9900.0,0.0018924231606673354
L154,L154,92,100,1,28.91569974532755,28.91569974532755,9900.0,0.002920777752053288
L155,L155,94,100,1,5.937984534712726,5.937984534712726,9900.0,0.00059979641764775
L156,L156,95,96,1,-0.8161605514725778,0.8161605514725778,9900.0,8.244045974470483e-05
L157,L157,96,97,1,-10.804254922972945,10.804254922972945,9900.0,0.0010913388811083782
L158,L158,98,100,1,-5.937413158182681,5.937413158182681,9900.0,0.0005997387028467354
L159,L159,99,100,1,-23.26501070434661,23.26501070434661,9900.0,0.0023500010812471323
L160,L160,100,101,1,-15.494156493953115,15.494156493953115,9900.0,0.0015650663125205168
L161,L161,92,102,1,42.494156493953206,42.494156493953206,9900.0,0.004292339039793253
L162,L162,101,102,1,-37.494156493953135,37.494156493953135,9900.0,0.0037872885347427407
L163,L163,100,103,1,115.52011427505047,115.52011427505047,9900.0,0.01166869841162126
L164,L164,100,104,1,54.411866290453005,54.411866290453005,9900.0,0.005496148110146769
L165,L165,103,104,1,31.787971741238998,31.787971741238998,9900.0,0.0032109062364887877
L166,L166,103,105,1,42.197960625236774,42.197960625236774,9900.0,0.004262420265175431
L167,L167,100,106,1,58.418864774622726,58.418864774622726,9900.0,0.005900895431780073
L168,L168,104,105,1,48.19983803673846,48.19983803673846,9900.0,0.004868670508761461
L169,L169,105,106,1,8.335382675456504,8.335382675456504,9900.0,0.0008419578460057075
L170,L170,105,107,1,26.24575254487411,26.24575254487411,9900.0,0.0026510861156438495
L171,L171,105,108,1,24.81666344669149,24.81666344669149,9900.0,0.0025067336814839887
L172,L172,106,107,1,23.75424745007919,23.75424745007919,9900.0,0.0023994189343514334
L173,L173,108,109,1,22.8166634466918,22.8166634466918,9900.0,0.002304713479463818
L174,L174,103,110,1,57.2969095631882,57.2969095631882,9900.0,0.005787566622544263
L175,L175,109,110,1,14.816663446691702,14.816663446691702,9900.0,0.0014966326713830003
L176,L176,110,111,1,-34.886426980026556,34.886426980026556,9900.0,0.0035238815131339958
L177,L177,110,112,1,67.99999999495326,67.99999999495326,9900.0,0.006868686868177097
L178,L178,17,113,1,1.1405211574215812,1.1405211574215812,9900.0,0.00011520415731531124
L179,L179,32,113,1,4.859478837531772,4.859478837531772,9900.0,0.0004908564482355326
L180,L180,32,114,1,9.211219734055831,9.211219734055831,9900.0,0.0009304262357632153
L181,L181,27,115,1,20.788780265943664,20.788780265943664,9900.0,0.002099876794539764
L182,L182,114,115,1,1.2112197340563569,1.2112197340563569,9900.0,0.0001223454276824603
L183,L183,68,116,1,183.99999999495265,183.99999999495265,9900.0,0.018585858585348752
L184,L184,12,117,1,20.000000000000018,20.000000000000018,9900.0,0.002020202020202022
L185,L185,75,118,1,40.07737497588471,40.07737497588471,9900.0,0.004048219694533809
L186,L186,76,118,1,-7.077374975884609,7.077374975884609,9900.0,0.0007148863612004656
